"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","GeneName"
"RPS21",5.37380545597074e-83,0.625742626884003,0.629,0.268,1.57108576310761e-78,"RPS21"
"ACE2",6.97887531403408e-83,0.356816637770055,0.198,0.009,2.040343986811e-78,"ACE2"
"TMEM45A",1.1398868105451e-82,0.461587804639406,0.386,0.09,3.33257307930965e-78,"TMEM45A"
"ADAMTS5",3.14581168902985e-82,0.785674672612752,0.574,0.221,9.19709505404767e-78,"ADAMTS5"
"RPL39",1.220157929115e-81,0.659391326680433,0.679,0.32,3.56725372156062e-77,"RPL39"
"CATSPERB",1.48178506935257e-80,0.664217733653098,0.417,0.112,4.33214682875917e-76,"CATSPERB"
"ABHD15-AS1",2.30880496241972e-80,0.438414360812173,0.328,0.063,6.7500221881303e-76,"ABHD15-AS1"
"FOXO1",1.37840017668191e-79,0.886766773029896,0.828,0.517,4.02989075654723e-75,"FOXO1"
"RPL38",5.87372485578122e-79,0.646232000133953,0.664,0.311,1.7172421988362e-74,"RPL38"
"RNF144A",1.13314450624077e-78,0.70006131252829,0.573,0.229,3.31286127844553e-74,"RNF144A"
"EFHD1",1.27554759336105e-78,0.573225081941528,0.454,0.139,3.72919094395035e-74,"EFHD1"
"H1F0",1.6549790225039e-78,0.418744764119563,0.308,0.055,4.8384966701924e-74,"H1F0"
"ST3GAL5",2.26259978288863e-78,0.408212296581777,0.313,0.057,6.61493672525321e-74,"ST3GAL5"
"TTTY14",4.26303414707701e-78,0.700235477439576,0.39,0.097,1.24634066323944e-73,"TTTY14"
"BMPER",2.99373406628252e-77,0.668841539127591,0.353,0.082,8.75248091618357e-73,"BMPER"
"RPS17",5.41541669589568e-77,0.621656066095922,0.708,0.352,1.58325122521206e-72,"RPS17"
"CDH19",6.49743592153854e-77,0.900768589509767,0.935,0.77,1.89959036602101e-72,"CDH19"
"H1FX",1.66108475802948e-76,0.486226792612912,0.404,0.11,4.85634739857499e-72,"H1FX"
"SSH2",1.78888361399352e-76,0.740176983560971,0.684,0.343,5.22998013387146e-72,"SSH2"
"ABCA6",9.71543586487932e-76,0.77347838864662,0.939,0.775,2.84040482945612e-71,"ABCA6"
"DNER",1.5947932656368e-75,0.424186798855771,0.243,0.03,4.66253759141574e-71,"DNER"
"ADGRD1",7.72966320711985e-75,0.76280199630338,0.764,0.427,2.25984433523356e-70,"ADGRD1"
"AC072022.2",8.26100380047713e-75,0.352094049159388,0.283,0.047,2.41518707110749e-70,"AC072022.2"
"HSD17B11",1.28280150544615e-74,0.500127772442337,0.504,0.176,3.75039848132237e-70,"HSD17B11"
"RPLP0",1.98150249689774e-73,0.649107762845091,0.711,0.387,5.79312069993024e-69,"RPLP0"
"IGFBP5",4.66585406689267e-73,1.423162455069,0.662,0.364,1.36410909499674e-68,"IGFBP5"
"HIST1H4C",5.88484244657037e-73,0.406790835642244,0.371,0.093,1.72049253767931e-68,"HIST1H4C"
"RPL34",2.4146108393846e-72,0.710782019788117,0.772,0.46,7.05935625002481e-68,"RPL34"
"KLF9",2.80976815361482e-72,0.589594935226577,0.68,0.329,8.21463817390829e-68,"KLF9"
"FTH1",4.8720692988657e-72,0.674182469782372,0.924,0.715,1.42439818021638e-67,"FTH1"
"PDE3B",1.44366388578506e-71,1.0777111417109,0.467,0.168,4.2206957364812e-67,"PDE3B"
"GRIK2",4.9259589872756e-71,0.616723554945425,0.224,0.027,1.44015336951989e-66,"GRIK2"
"IRX3",5.4269789232681e-71,0.373693457856419,0.264,0.043,1.58663155800666e-66,"IRX3"
"CHST7",6.57809676425345e-71,0.424056094756596,0.367,0.093,1.92317236999714e-66,"CHST7"
"SERPING1",3.90965687891161e-70,0.659707892588897,0.89,0.616,1.1430272851186e-65,"SERPING1"
"EEF1A1",5.01580815325982e-70,0.686164903866794,0.927,0.77,1.46642167168704e-65,"EEF1A1"
"BNIP3L",9.19383063575167e-70,0.576757728544995,0.758,0.425,2.68790832466836e-65,"BNIP3L"
"AC016745.1",1.00555645086804e-69,0.296496812220255,0.149,0.003,2.9398448397578e-65,"AC016745.1"
"MAOA",1.31043830707576e-69,0.300605777475206,0.179,0.011,3.8311974345667e-65,"MAOA"
"RASSF4",2.3441028360777e-69,0.477374809664887,0.392,0.112,6.85321905155675e-65,"RASSF4"
"METTL7A",5.3583997230839e-69,0.497410546760452,0.553,0.227,1.56658174304081e-64,"METTL7A"
"LAMA2",3.38211694429625e-68,0.623190914854169,0.99,0.991,9.88795709834452e-64,"LAMA2"
"HS6ST2",3.70529799437565e-68,0.943954909231146,0.219,0.027,1.08328092163567e-63,"HS6ST2"
"POLA2",1.21368875692857e-67,0.320268472179732,0.246,0.037,3.54834044975636e-63,"POLA2"
"CYP4X1",3.51793770293862e-67,0.35540100641914,0.268,0.048,1.02850426683114e-62,"CYP4X1"
"RNASE4",5.04720828816904e-67,0.479456912691117,0.521,0.204,1.4756018151291e-62,"RNASE4"
"RPS28",5.61159850468696e-67,0.647589888093714,0.759,0.452,1.64060693883028e-62,"RPS28"
"CYBRD1",9.62129034186704e-67,0.587565381452581,0.792,0.479,2.81288044434825e-62,"CYBRD1"
"RPL36",1.77408160948939e-66,0.555162059533321,0.67,0.339,5.18670499350318e-62,"RPL36"
"GRK5",5.69511541105263e-66,0.73839074810815,0.784,0.483,1.66502394157535e-61,"GRK5"
"ZFAND5",6.98649365333432e-66,0.507575079345652,0.565,0.244,2.04257128448882e-61,"ZFAND5"
"IRS2",6.99012719677634e-66,0.573820969125223,0.585,0.258,2.04363358724953e-61,"IRS2"
"FMO2",1.16438726550514e-65,0.725268199154758,0.749,0.444,3.40420260943083e-61,"FMO2"
"JUNB",1.62062147040309e-65,-1.02171754975143,0.253,0.561,4.73804893087047e-61,"JUNB"
"RPL35A",2.56826044313023e-64,0.631224531974786,0.739,0.443,7.50856623153555e-60,"RPL35A"
"GABARAPL1",3.14713703851943e-64,0.409227835089966,0.444,0.151,9.20096984581542e-60,"GABARAPL1"
"RPL27",8.0051704691923e-64,0.490068991021997,0.59,0.268,2.34039163837306e-59,"RPL27"
"SPATA6",1.40613800790033e-63,0.646798149169003,0.769,0.489,4.11098507989742e-59,"SPATA6"
"CRISPLD2",2.70588663941967e-63,0.31294106215937,0.776,0.457,7.91093017900736e-59,"CRISPLD2"
"VIM",4.72511382921181e-63,0.612039512517679,0.954,0.799,1.38143427910836e-58,"VIM"
"COLEC12",6.40879083627447e-63,0.819876180081897,0.714,0.428,1.87367408889321e-58,"COLEC12"
"ASPN",1.14408482918422e-62,-0.819383396655473,0.228,0.543,3.344846406603e-58,"ASPN"
"PRKAG2",2.33682283558999e-62,0.471520577759733,0.417,0.138,6.8319352421309e-58,"PRKAG2"
"HIST2H2AC",2.36456340992286e-62,0.264426034985128,0.194,0.021,6.91303758525047e-58,"HIST2H2AC"
