"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","GeneName"
"AKR1C1",6.81939827460381e-44,0.51392773103432,0.476,0.229,1.99371927956317e-39,"AKR1C1"
"PPP1CB",2.21643488385232e-43,0.402118833469512,0.613,0.337,6.47996902643065e-39,"PPP1CB"
"RPL7A",2.73475378007658e-43,0.467648474288475,0.728,0.482,7.99532615143188e-39,"RPL7A"
"THBS1",2.96080193429804e-43,-1.12283660699298,0.283,0.514,8.65620053511374e-39,"THBS1"
"FAU",3.18203491443799e-43,0.461396298352139,0.717,0.457,9.30299727585089e-39,"FAU"
"ADI1",3.55822493801187e-43,0.317672894847294,0.352,0.129,1.04028264287715e-38,"ADI1"
"RPL11",3.98700664182672e-43,0.474835660616509,0.774,0.524,1.16564126180446e-38,"RPL11"
"BTG1",5.43121234055397e-43,0.419471403551092,0.442,0.2,1.58786923988436e-38,"BTG1"
"GRAMD2B",7.81499320085581e-43,0.412073300010864,0.411,0.174,2.28479141220221e-38,"GRAMD2B"
"ENOX2",9.1880338047545e-43,0.525700836415468,0.487,0.233,2.68621356315802e-38,"ENOX2"
"RRBP1",1.68666016908364e-42,-0.55635028419021,0.38,0.603,4.93111967033294e-38,"RRBP1"
"LOXL2",3.14625540260825e-42,-0.563387032019391,0.046,0.275,9.19839229506548e-38,"LOXL2"
"LRRFIP1",3.55066532654506e-42,-0.625981508037613,0.243,0.498,1.03807251486871e-37,"LRRFIP1"
"PDGFRL",3.9183354312413e-42,0.373024085842848,0.422,0.182,1.14556454667771e-37,"PDGFRL"
"RPL29",4.43706088380995e-42,0.434028466266032,0.662,0.396,1.29721911999068e-37,"RPL29"
"MEOX1",4.71066257996959e-42,-0.612521045233265,0.018,0.23,1.37720931187991e-37,"MEOX1"
"RPS23",4.95158291457305e-42,0.544515015102894,0.774,0.562,1.44764478090458e-37,"RPS23"
"BTF3",6.54737801215775e-42,0.366308680476239,0.544,0.278,1.91419143563444e-37,"BTF3"
"TENT5A",6.96295539637439e-42,0.660714292491971,0.535,0.299,2.03568963968402e-37,"TENT5A"
"DHRS3",8.72146400553015e-42,0.311039778744626,0.268,0.08,2.54980721665679e-37,"DHRS3"
"PTPRS",1.30013812848694e-41,0.413630140437547,0.634,0.369,3.80108383244443e-37,"PTPRS"
"SCN7A",1.30381138348005e-41,0.569461946634375,0.952,0.796,3.81182296074226e-37,"SCN7A"
"MACF1",1.68070864841843e-41,-0.570931182741811,0.469,0.683,4.91371980451612e-37,"MACF1"
"GPM6B",1.77177464081306e-41,0.380524422437242,0.207,0.048,5.17996033988106e-37,"GPM6B"
"CALCOCO2",1.82843857070188e-41,0.330132230449826,0.424,0.184,5.34562300530401e-37,"CALCOCO2"
"ZNF608",1.8628951118566e-41,0.368845763464973,0.302,0.102,5.44636014902396e-37,"ZNF608"
"MXRA5",2.14966593980587e-41,-0.400184402965018,0.02,0.231,6.28476334161644e-37,"MXRA5"
"RARRES1",2.45935262049697e-41,0.295187380083735,0.33,0.116,7.19016332128494e-37,"RARRES1"
"CAMK2D",2.51490651495727e-41,-0.685403637175953,0.412,0.657,7.35258068712909e-37,"CAMK2D"
"PTPRG",2.8504887276187e-41,0.590221238663291,0.927,0.83,8.33368884406604e-37,"PTPRG"
"MT-ND1",3.2153234762069e-41,0.48463037603396,0.836,0.632,9.40031971503848e-37,"MT-ND1"
"SVIL",3.27699660628087e-41,-0.730420968607121,0.368,0.599,9.58062727812274e-37,"SVIL"
"BICC1",3.56169485010271e-41,-0.737453720798312,0.828,0.864,1.04129710637603e-36,"BICC1"
"MT-CO3",3.85494133691974e-41,0.489016995581723,0.99,0.913,1.12703064926186e-36,"MT-CO3"
"PDK4",4.65878787716285e-41,0.32354719947879,0.434,0.186,1.36204322376733e-36,"PDK4"
"MECOM",5.82029834108339e-41,0.64394287368155,0.728,0.483,1.70162242299914e-36,"MECOM"
"LPAR1",6.47453724006652e-41,0.599271559265329,0.658,0.419,1.89289570750585e-36,"LPAR1"
"STXBP6",6.67548352244976e-41,0.427356438888233,0.378,0.151,1.95164436262341e-36,"STXBP6"
"UBALD2",1.00272339485522e-40,0.265750536931217,0.254,0.074,2.93156211719872e-36,"UBALD2"
"RPS15",1.10122135179025e-40,0.482988691828811,0.742,0.493,3.21953074409398e-36,"RPS15"
"ELMO1",1.37041739954356e-40,0.600434074866256,0.595,0.349,4.00655230930556e-36,"ELMO1"
"RPSA",1.89809274806571e-40,0.394277931984895,0.604,0.343,5.54926395824491e-36,"RPSA"
"MT-ND2",2.44478615462396e-40,0.481660743567641,0.842,0.623,7.14757680165861e-36,"MT-ND2"
"RPL35",5.88607322038169e-40,0.40952945121859,0.657,0.394,1.72085236671079e-35,"RPL35"
"RPL26",7.77794306042057e-40,0.461151442733177,0.722,0.481,2.27395943314456e-35,"RPL26"
"POLR2L",9.45880124322799e-40,0.352064755901549,0.362,0.148,2.76537513147013e-35,"POLR2L"
"TIMP3",1.61064057237635e-39,0.475353312812959,0.776,0.555,4.70886877739949e-35,"TIMP3"
"TMEM72-AS1",1.90118973186064e-39,0.273440942870199,0.262,0.08,5.55831830006776e-35,"TMEM72-AS1"
"PDE10A",2.27944621993105e-39,0.575944404382789,0.514,0.276,6.66418896859041e-35,"PDE10A"
"RPL13",3.00563788392166e-39,0.481632849215264,0.885,0.706,8.78728291743336e-35,"RPL13"
"SSBP2",3.19562037603633e-39,0.612115501889753,0.782,0.596,9.34271573137983e-35,"SSBP2"
"RBP1",3.20271610478721e-39,0.25069736636663,0.223,0.059,9.36346080395589e-35,"RBP1"
"CDKN1C",3.75268617486848e-39,0.341229772471254,0.43,0.189,1.09713533008455e-34,"CDKN1C"
"DYNC2H1",3.77087550693763e-39,0.464751380314174,0.554,0.303,1.10245316320829e-34,"DYNC2H1"
"NRP1",4.99284624990095e-39,-0.495428777519859,0.064,0.292,1.45970852962104e-34,"NRP1"
"OGN",5.69576367072745e-39,-0.511577841849419,0.173,0.417,1.66521346677388e-34,"OGN"
"ADGRB3",7.62582342994468e-39,0.852726800178458,0.609,0.376,2.22948573797863e-34,"ADGRB3"
"RPL10",8.98899400437089e-39,0.489105403191199,0.891,0.703,2.62802228711787e-34,"RPL10"
"GNA14",1.56591461466423e-38,-0.677223144047612,0.142,0.375,4.57810796743233e-34,"GNA14"
"TIMP4",2.69761706193704e-38,0.28501332516263,0.272,0.088,7.88675324227914e-34,"TIMP4"
"PITPNC1",2.85066836518663e-38,0.547315240623442,0.398,0.179,8.33421403245964e-34,"PITPNC1"
"EBF1",3.39811352431999e-38,0.580736421045634,0.865,0.715,9.93472469970192e-34,"EBF1"
"BCL2",5.98221715765695e-38,0.513959511961329,0.514,0.269,1.74896100821259e-33,"BCL2"
"RPS3",6.01934481325668e-38,0.429342831455251,0.702,0.452,1.75981564960372e-33,"RPS3"
"NDRG2",1.0294819653103e-37,0.276618814267944,0.301,0.107,3.0097934737812e-33,"NDRG2"
"IGF1R",1.10771879066638e-37,0.624707413572076,0.684,0.478,3.23852665639223e-33,"IGF1R"
"LARP6",1.34078471955267e-37,0.3315776349489,0.44,0.207,3.91991820608418e-33,"LARP6"
"RPLP1",1.3546255228631e-37,0.524343678079719,0.853,0.691,3.96038317864256e-33,"RPLP1"
"RPL22",1.44042680457538e-37,0.419467439585902,0.584,0.35,4.21123180585657e-33,"RPL22"
"SASH1",1.44175525434959e-37,0.466163873259874,0.738,0.492,4.21511566161645e-33,"SASH1"
"RPL36A",1.69733058125145e-37,0.374222754800563,0.486,0.246,4.96231568734674e-33,"RPL36A"
"OPHN1",1.79628740178848e-37,0.592876052981669,0.521,0.288,5.2516258478688e-33,"OPHN1"
"DDAH1",1.98986578022911e-37,-0.698897064890265,0.112,0.342,5.81757159507784e-33,"DDAH1"
"CCL2",2.02947244092778e-37,-0.874940232781997,0.07,0.285,5.93336562829644e-33,"CCL2"
"ERI2",2.34437889093466e-37,0.328123397908954,0.296,0.106,6.85402612553658e-33,"ERI2"
"RPS13",2.50018143722941e-37,0.445325585124793,0.704,0.455,7.30953044988389e-33,"RPS13"
"AL078600.1",3.07265666713807e-37,0.329918698412729,0.282,0.097,8.98321903204487e-33,"AL078600.1"
"SGIP1",4.42030639799078e-37,0.860525118751317,0.639,0.428,1.29232077851659e-32,"SGIP1"
"COL1A1",4.83407677706549e-37,-0.914832669278222,0.223,0.448,1.41329068654287e-32,"COL1A1"
"AC016831.7",6.71991752515282e-37,0.472932917948595,0.477,0.249,1.96463508765368e-32,"AC016831.7"
"LAMTOR5",7.19071490789151e-37,0.285947740683846,0.38,0.162,2.10227741047116e-32,"LAMTOR5"
"SRP14",7.38392600410353e-37,0.35234083137159,0.588,0.33,2.15876460655971e-32,"SRP14"
"ICA1L",7.45422234486604e-37,0.325064928048182,0.296,0.107,2.17931644474504e-32,"ICA1L"
"CCN2",7.55411728617954e-37,-1.0499874748165,0.373,0.585,2.20852172978745e-32,"CCN2"
"FBXL3",9.48534358755634e-37,0.307041966429513,0.426,0.198,2.77313505125797e-32,"FBXL3"
"GAS1",1.05289407967664e-36,0.389623925915611,0.446,0.218,3.07824113134263e-32,"GAS1"
"EBF3",1.48717346515487e-36,0.39066549608144,0.487,0.249,4.34790034272679e-32,"EBF3"
"AP002518.2",1.58124761946786e-36,0.50613137745083,0.638,0.403,4.62293554027624e-32,"AP002518.2"
"ADGRL3",2.06541022581651e-36,0.728057642151711,0.472,0.251,6.03843333619715e-32,"ADGRL3"
"TMEM132C",3.28991438410829e-36,0.470078892371998,0.342,0.136,9.61839369337899e-32,"TMEM132C"
"ZFHX3",3.39247785493949e-36,0.496546192418977,0.749,0.529,9.9182482567011e-32,"ZFHX3"
"AC004160.1",3.75825406985887e-36,0.631259053348094,0.387,0.176,1.09876315986394e-31,"AC004160.1"
"EGLN3",3.95302040638068e-36,0.385043284719281,0.459,0.225,1.15570504600946e-31,"EGLN3"
"IER3",4.47920468265899e-36,-0.545079013935502,0.049,0.252,1.30954028102218e-31,"IER3"
"PLPP3",4.85282583226972e-36,0.516381969328156,0.693,0.476,1.41877216032238e-31,"PLPP3"
"C3",4.97164251478118e-36,0.295340481771049,0.731,0.425,1.45350940562143e-31,"C3"
"SH3BGRL3",5.8921882657107e-36,0.379270709868179,0.505,0.26,1.72264016136318e-31,"SH3BGRL3"
"LINC02511",5.9489343231402e-36,-0.960910678976006,0.095,0.315,1.73923043871327e-31,"LINC02511"
"ABCA9",7.16961209426532e-36,0.66031517687555,0.851,0.695,2.09610779187941e-31,"ABCA9"
"ARHGAP24",8.47798889723565e-36,0.629887510625026,0.761,0.571,2.47862483399581e-31,"ARHGAP24"
"HBP1",1.0192010193526e-35,0.296826406604885,0.387,0.171,2.97973610017927e-31,"HBP1"
"THSD7A",1.33288113631571e-35,0.42079563958305,0.266,0.09,3.89681129013261e-31,"THSD7A"
"RBL2",1.63164256516351e-35,0.310018195040393,0.405,0.183,4.77027020351205e-31,"RBL2"
"TRIO",1.63681856161602e-35,-0.79668838090208,0.514,0.674,4.78540274674061e-31,"TRIO"
"ATP5F1E",1.7579109554189e-35,0.388816394557378,0.516,0.281,5.1394284692627e-31,"ATP5F1E"
"DLC1",1.94448696701167e-35,-0.648534449992214,0.541,0.749,5.68490209675531e-31,"DLC1"
"ATP8B1",2.12656215239954e-35,0.398987837657928,0.477,0.25,6.2172171087553e-31,"ATP8B1"
"TTC3",2.84455042800526e-35,-0.529942797957585,0.273,0.498,8.31632763131617e-31,"TTC3"
"CCDC28A",3.09418584282296e-35,0.252255700315703,0.252,0.082,9.0461617300772e-31,"CCDC28A"
"RPL14",3.6686781798241e-35,0.383953576009594,0.695,0.44,1.07257475265337e-30,"RPL14"
"CTSL",5.87619328321393e-35,0.315499426935326,0.476,0.241,1.71796386828042e-30,"CTSL"
"RAI2",1.35830701528736e-34,0.292308099032463,0.226,0.068,3.97114638989414e-30,"RAI2"
"TCF7L2",1.70693455748209e-34,0.489404304942015,0.632,0.415,4.99039387225464e-30,"TCF7L2"
"MT-ND4L",2.12807450702969e-34,0.29485903425632,0.386,0.172,6.22163862875201e-30,"MT-ND4L"
"LINC01376",2.21178940406895e-34,0.326339305298646,0.296,0.111,6.46638750173599e-30,"LINC01376"
"TSIX",2.64554171213367e-34,-0.279038250736782,0.001,0.167,7.73450574959401e-30,"TSIX"
"COX8A",2.91327401198179e-34,0.294093075201755,0.367,0.16,8.51724790142997e-30,"COX8A"
"KANSL1L",3.68587229363744e-34,0.42197097002983,0.55,0.317,1.07760162376784e-29,"KANSL1L"
"MT-CYB",4.50637158732866e-34,0.412508750369427,0.942,0.817,1.31748279727141e-29,"MT-CYB"
"FAM214A",4.93881893487683e-34,0.416814484310603,0.469,0.245,1.44391310380059e-29,"FAM214A"
"YPEL3",5.60693639695054e-34,0.29489171201082,0.435,0.211,1.63924392501246e-29,"YPEL3"
"SELENOP",6.37536648015993e-34,0.381456798210688,0.594,0.354,1.86390214413956e-29,"SELENOP"
"RACK1",7.55479809282419e-34,0.390292187465595,0.689,0.449,2.20872077041808e-29,"RACK1"
"FMO3",1.05076830523668e-33,0.329285487672636,0.237,0.075,3.07202621718996e-29,"FMO3"
"ACADL",1.09203633852608e-33,0.250608765062119,0.134,0.023,3.19267743931484e-29,"ACADL"
"LAPTM4A",1.15851138730721e-33,0.354267599972237,0.748,0.508,3.38702389193136e-29,"LAPTM4A"
"ROMO1",1.43467302926413e-33,0.251527305619427,0.241,0.078,4.19441006835661e-29,"ROMO1"
"MYOF",1.55408065268166e-33,-0.420582914567804,0.075,0.279,4.5435101961801e-29,"MYOF"
"DENND6A",1.73323362839311e-33,0.324211031798778,0.392,0.182,5.06728183597009e-29,"DENND6A"
"SLC20A1",1.77850711425865e-33,-0.725416521189187,0.208,0.416,5.19964339924659e-29,"SLC20A1"
"PHF3",2.0965102689315e-33,0.428397150921927,0.598,0.371,6.12935742224813e-29,"PHF3"
"COL4A1",3.63730027177198e-33,0.427766285399312,0.892,0.732,1.06340110745526e-28,"COL4A1"
"KLF3",3.77885889165652e-33,0.367095160373155,0.401,0.19,1.1047871855647e-28,"KLF3"
"MID1",3.95636678889267e-33,-0.645781339379059,0.221,0.434,1.15668339440066e-28,"MID1"
"OGA",4.2763040461574e-33,0.33457665871761,0.492,0.266,1.25022025093458e-28,"OGA"
"TNFRSF12A",5.22526517615697e-33,-0.382008698891373,0.018,0.191,1.52765852690125e-28,"TNFRSF12A"
"PLIN2",5.32592389259401e-33,0.278984954907916,0.342,0.142,1.55708710923879e-28,"PLIN2"
"AMPH",5.5986789745854e-33,0.405682660501209,0.282,0.108,1.63682978500979e-28,"AMPH"
"HMGN2",5.92963746838067e-33,0.291860059949791,0.388,0.18,1.73358881025577e-28,"HMGN2"
"ATP5MD",7.40727145204022e-33,0.293014527012907,0.353,0.154,2.16558988171848e-28,"ATP5MD"
"RPS7",7.49529693459549e-33,0.37117898278203,0.664,0.425,2.19132501179834e-28,"RPS7"
"PACS1",7.89500375946888e-33,-0.554294734750193,0.184,0.408,2.30818329911832e-28,"PACS1"
"IL16",8.60110573024901e-33,0.316989045075813,0.278,0.102,2.5146192712956e-28,"IL16"
"KAZN",9.37551152937397e-33,0.825471371878223,0.476,0.262,2.74102455072777e-28,"KAZN"
"LOXL1",1.05087514935416e-32,-0.473789284192834,0.154,0.373,3.07233858665183e-28,"LOXL1"
"MIF",1.10565411962174e-32,0.33625509219475,0.531,0.29,3.23249038412612e-28,"MIF"
"CYP1B1",1.4065458851984e-32,-0.653213011069232,0.13,0.342,4.11217754996605e-28,"CYP1B1"
"EXT1",2.09900973814959e-32,-0.750861662961586,0.455,0.643,6.13666487045414e-28,"EXT1"
"SERPINE2",2.26678474598204e-32,-0.912437831812569,0.317,0.508,6.6271718833531e-28,"SERPINE2"
"POSTN",3.43966945696273e-32,-2.01705391806851,0.024,0.197,1.00562176243762e-27,"POSTN"
"ZFP36L2",4.18092299306092e-32,0.399913290017618,0.772,0.552,1.22233464625129e-27,"ZFP36L2"
"ANKRD44",4.31287528912367e-32,0.455270511708382,0.619,0.399,1.2609122195282e-27,"ANKRD44"
"EID1",4.53183345351453e-32,0.329802943401673,0.591,0.351,1.32492682846951e-27,"EID1"
"FBXL4",4.9878615388054e-32,0.307138992724822,0.343,0.15,1.45825119948515e-27,"FBXL4"
"RSL24D1",5.47059942362667e-32,0.253209828018246,0.292,0.114,1.59938444749149e-27,"RSL24D1"
"UBL5",5.66844721862688e-32,0.274885013986096,0.393,0.183,1.65722722883775e-27,"UBL5"
"RBMS3-AS2",5.74621814164798e-32,0.421446822721362,0.474,0.262,1.6799643358922e-27,"RBMS3-AS2"
"ENOSF1",6.78063808511661e-32,0.330248339492086,0.405,0.197,1.98238735056469e-27,"ENOSF1"
"KLF6",7.93382225673149e-32,0.324394168708779,0.451,0.233,2.31953227497802e-27,"KLF6"
"RPL18",1.1505984743639e-31,0.375219799167339,0.704,0.473,3.3638896996503e-27,"RPL18"
"CEP68",1.69317837228695e-31,0.286695122762213,0.321,0.135,4.95017628921813e-27,"CEP68"
"MEF2A",1.72735966013517e-31,-0.579730459029321,0.322,0.534,5.05010870237119e-27,"MEF2A"
"SERINC1",1.76474454962183e-31,0.305196376559784,0.475,0.253,5.15940716527438e-27,"SERINC1"
"FN1",2.35158768409118e-31,-0.92370374570836,0.706,0.8,6.87510175320897e-27,"FN1"
"AF165147.1",3.18251871047767e-31,0.424441723791597,0.187,0.052,9.30441170195253e-27,"AF165147.1"
"OAZ1",3.67907813182537e-31,0.338086677385402,0.598,0.358,1.07561528262046e-26,"OAZ1"
"EEF2",4.15384405760312e-31,0.30418969973181,0.487,0.264,1.21441784868085e-26,"EEF2"
"PSMC5",4.98099624704537e-31,0.262012492889695,0.303,0.123,1.45624406278619e-26,"PSMC5"
"RPS24",5.44577331812547e-31,0.392239729256082,0.703,0.473,1.59212628728716e-26,"RPS24"
"FIS1",5.820468868263e-31,0.259404047992191,0.353,0.157,1.70167227832537e-26,"FIS1"
"BICRAL",6.30729898929113e-31,0.339097134520875,0.457,0.243,1.84400193250916e-26,"BICRAL"
"KCTD9",7.07614941083624e-31,0.334387398442957,0.358,0.166,2.06878304175208e-26,"KCTD9"
"TMA7",7.6203546937485e-31,0.323418496354793,0.435,0.227,2.22788689826431e-26,"TMA7"
"BZW1",8.04002400558703e-31,0.346507403702063,0.496,0.278,2.35058141827342e-26,"BZW1"
"COX6C",9.82151958464472e-31,0.327984582037496,0.471,0.251,2.87141946576673e-26,"COX6C"
"RPS19",1.47807628383302e-30,0.37665759290141,0.658,0.428,4.32130382341423e-26,"RPS19"
"CYTOR",1.58829842957549e-30,-0.612906716459839,0.123,0.32,4.6435492887069e-26,"CYTOR"
"CLSTN2",1.63083592845295e-30,0.446554749401107,0.355,0.166,4.76791192042505e-26,"CLSTN2"
"ATG13",1.74263390879219e-30,0.265955555806191,0.315,0.131,5.09476449574485e-26,"ATG13"
"GABPB2",1.86245743416241e-30,0.265504308502338,0.301,0.123,5.44508055451722e-26,"GABPB2"
"MBP",2.01588004192971e-30,-0.525166982890077,0.199,0.404,5.8936268905857e-26,"MBP"
"SYTL4",2.09811910128154e-30,0.364667020220288,0.393,0.194,6.13406100450672e-26,"SYTL4"
"TMEM50A",2.29699742571988e-30,0.300388918990081,0.476,0.254,6.71550167383463e-26,"TMEM50A"
"PLTP",2.4430770291876e-30,0.348244939323483,0.55,0.318,7.14258000253287e-26,"PLTP"
"NID2",2.78211733762872e-30,0.346958116035735,0.421,0.214,8.13379824829131e-26,"NID2"
"MSI2",3.15465204664223e-30,0.469782439850343,0.506,0.295,9.22294072356323e-26,"MSI2"
"CLK1",3.92147860814872e-30,0.310878844499282,0.487,0.27,1.14648348587836e-25,"CLK1"
"AP001528.1",4.02356003510325e-30,0.32440154567602,0.36,0.168,1.17632801186279e-25,"AP001528.1"
"ZC3H6",5.21448648083715e-30,0.272485218970048,0.303,0.125,1.52450726753755e-25,"ZC3H6"
"SCCPDH",6.59335781211721e-30,0.289830547488064,0.301,0.125,1.92763408995059e-25,"SCCPDH"
"USP53",7.19762788299138e-30,0.49488892549567,0.664,0.428,2.10429848787136e-25,"USP53"
"RPL24",8.84527587796777e-30,0.368585549897375,0.669,0.452,2.58600485568266e-25,"RPL24"
"LDLRAD4",1.04620490443733e-29,-0.519066724863909,0.178,0.397,3.05868465861297e-25,"LDLRAD4"
"TAGLN",1.28956372105822e-29,-0.415931488935063,0.162,0.369,3.77016849488583e-25,"TAGLN"
"MIR29B2CHG",1.70713746079437e-29,0.285629543906095,0.387,0.187,4.99098708037843e-25,"MIR29B2CHG"
"PLEKHG1",1.87754581872623e-29,-0.44440523602924,0.081,0.273,5.48919295562799e-25,"PLEKHG1"
"FAM184A",1.94832128047327e-29,0.253473798281867,0.179,0.05,5.69611209559166e-25,"FAM184A"
"ITGA5",2.26654490554718e-29,0.28008509723354,0.39,0.19,6.62647068585774e-25,"ITGA5"
"RPS3A",2.59113944803457e-29,0.381401058011223,0.687,0.466,7.57545529027387e-25,"RPS3A"
"ARHGAP29",2.66011959160183e-29,0.308206971716252,0.445,0.232,7.77712563800711e-25,"ARHGAP29"
"CREBRF",4.23337598930359e-29,0.291695707167701,0.444,0.232,1.2376698042328e-24,"CREBRF"
"FBXL20",5.89210545627013e-29,0.287309217532878,0.376,0.179,1.72261595119514e-24,"FBXL20"
"RPS6",6.08769236367392e-29,0.370055466448717,0.664,0.451,1.77979773944371e-24,"RPS6"
"PALLD",6.46389970575542e-29,-0.759174007770947,0.366,0.562,1.88978571797466e-24,"PALLD"
"PBX1",7.16621457772495e-29,0.50191206530225,0.693,0.507,2.09511449394367e-24,"PBX1"
"MT-ATP6",9.29350761325977e-29,0.359255061747626,0.974,0.916,2.71704988581263e-24,"MT-ATP6"
"TMBIM6",9.57561628403028e-29,0.311254016900375,0.62,0.396,2.79952717679909e-24,"TMBIM6"
"LINC00598",1.41511041182713e-28,0.312811946748559,0.184,0.055,4.1372168000178e-24,"LINC00598"
"SERPINF1",1.70049420175093e-28,0.389813045904142,0.902,0.765,4.97156484823902e-24,"SERPINF1"
"BTBD8",2.04438108094411e-28,0.252797986890041,0.214,0.072,5.97695252824821e-24,"BTBD8"
"FCHO2",2.38138957944324e-28,0.319195808113098,0.469,0.257,6.96223057446025e-24,"FCHO2"
"SVEP1",2.5172613990517e-28,-0.700273978194307,0.499,0.652,7.35946542626755e-24,"SVEP1"
"RASAL2",3.20857232804459e-28,-0.486588420797643,0.248,0.481,9.38058205827116e-24,"RASAL2"
"FIBIN",3.66607538260502e-28,0.32097920073212,0.574,0.344,1.0718137988584e-23,"FIBIN"
"RPL3",3.96254027276491e-28,0.343764721596895,0.695,0.481,1.15848827414555e-23,"RPL3"
"FOXO3",3.99225541994656e-28,0.464837479355204,0.832,0.688,1.16717579457558e-23,"FOXO3"
"MTRNR2L12",4.35400272325986e-28,0.363771024297884,0.737,0.525,1.27293623617225e-23,"MTRNR2L12"
"DPYD-AS1",6.44502095389526e-28,0.409861055329731,0.315,0.143,1.88426632608082e-23,"DPYD-AS1"
"ERRFI1",7.7007042664079e-28,0.298747073694881,0.422,0.219,2.25137789932701e-23,"ERRFI1"
"SPOCK1",1.4526733770209e-27,0.540617323117102,0.516,0.309,4.2470358850583e-23,"SPOCK1"
"AC245297.3",1.49075569317979e-27,0.275153320668931,0.397,0.202,4.35837334458044e-23,"AC245297.3"
"ANAPC16",1.5321818301893e-27,0.270019707449127,0.38,0.187,4.47948679874144e-23,"ANAPC16"
"TXNRD1",1.85344716285128e-27,0.335120479620664,0.356,0.173,5.418738125312e-23,"TXNRD1"
"SLC25A6",1.92517145451682e-27,0.288110823460573,0.404,0.211,5.62843126442538e-23,"SLC25A6"
"MTUS1",2.18000088337497e-27,0.445398558267268,0.688,0.47,6.37345058263506e-23,"MTUS1"
"MYL12A",3.26218209959993e-27,0.335164168526272,0.566,0.346,9.53731558639037e-23,"MYL12A"
"EBF2",3.47107156482813e-27,0.505258215566903,0.773,0.618,1.01480248269315e-22,"EBF2"
"CDO1",4.05032360811356e-27,0.254093765959391,0.253,0.1,1.18415261006808e-22,"CDO1"
"YPEL2",4.35133113920458e-27,0.273162804111186,0.376,0.183,1.27215517185785e-22,"YPEL2"
"FGD4",5.9667017557304e-27,0.37795706236724,0.427,0.23,1.74442492530534e-22,"FGD4"
"ATP10A",6.5561909420919e-27,-0.429107560842522,0.115,0.307,1.91676798382999e-22,"ATP10A"
"SOCS3",7.85722623580015e-27,-0.321432054460161,0.028,0.18,2.29713866229853e-22,"SOCS3"
"SOX6",1.19855967664044e-26,0.484188020634594,0.736,0.555,3.504109070626e-22,"SOX6"
"PPFIBP1",1.29489666429264e-26,-0.516447606552328,0.305,0.493,3.78575988772597e-22,"PPFIBP1"
"TRMT112",1.42589933856467e-26,0.256585470964607,0.348,0.168,4.16875930622766e-22,"TRMT112"
"PLCE1",1.64805717178976e-26,-0.340660439409416,0.095,0.28,4.81825994744454e-22,"PLCE1"
"PLEKHA6",2.15477929215793e-26,0.257391344764702,0.361,0.175,6.29971273855291e-22,"PLEKHA6"
"THSD4",3.09645506184473e-26,-0.301006167105661,0.034,0.19,9.05279601880924e-22,"THSD4"
"MMP2",3.63978448152865e-26,0.333335442333457,0.786,0.574,1.06412739101972e-21,"MMP2"
"WIPI1",4.1647735214005e-26,0.273338180518552,0.346,0.167,1.21761318671665e-21,"WIPI1"
"ANGPT1",4.28993597770143e-26,0.38607368746086,0.287,0.126,1.25420568244079e-21,"ANGPT1"
"NFKBIZ",5.23178040580239e-26,0.341853308000653,0.571,0.356,1.52956331944039e-21,"NFKBIZ"
"PAM",5.41645317778249e-26,-0.420445886106436,0.434,0.623,1.58355425105649e-21,"PAM"
"SFRP4",7.81864528590066e-26,-0.396775974653849,0.035,0.188,2.28585913578592e-21,"SFRP4"
"ATP6V0E1",9.95997057552991e-26,0.273951661934259,0.506,0.295,2.91189699746193e-21,"ATP6V0E1"
"FBXL7",1.09741769827565e-25,0.56127636778353,0.845,0.763,3.20841038267869e-21,"FBXL7"
"LINC02615",1.19018657967157e-25,0.262545963441604,0.187,0.061,3.4796294843278e-21,"LINC02615"
"BHLHE40",1.19271865107665e-25,-0.344238926236697,0.046,0.203,3.48703224828769e-21,"BHLHE40"
"IQCH-AS1",1.29242299540726e-25,0.268729069480022,0.243,0.096,3.77852786937266e-21,"IQCH-AS1"
"SETD7",1.35231378443223e-25,0.273886131641405,0.415,0.222,3.95362458016606e-21,"SETD7"
"KHDRBS3",1.92815691255921e-25,-0.546221459914831,0.168,0.357,5.63715954955811e-21,"KHDRBS3"
"DSE",2.20183494922463e-25,0.359637688271908,0.513,0.317,6.43728465755312e-21,"DSE"
"GFRA1",2.27867229919444e-25,0.273804392849911,0.234,0.091,6.66192633392485e-21,"GFRA1"
"PLAU",2.6136789890315e-25,-0.310202730257228,0.014,0.15,7.64135189233248e-21,"PLAU"
"ABCA8",2.68679341279391e-25,0.451219220230656,0.929,0.806,7.85510922164427e-21,"ABCA8"
"PSMA1",2.70151398238532e-25,0.374753543566085,0.372,0.195,7.89814627890172e-21,"PSMA1"
"H3F3A",3.32678650107999e-25,0.307950494821386,0.704,0.487,9.72619301455745e-21,"H3F3A"
"GASK1B",3.43636117532013e-25,0.330408306243795,0.706,0.496,1.00465455321659e-20,"GASK1B"
"TMBIM4",3.4542382327979e-25,0.304136253429247,0.598,0.384,1.00988108974079e-20,"TMBIM4"
"CIRBP",3.84681165707038e-25,0.256273821130882,0.505,0.294,1.1246538560611e-20,"CIRBP"
"ADAMTS9-AS2",4.09967603803503e-25,0.443850560594166,0.56,0.358,1.19858128647992e-20,"ADAMTS9-AS2"
"MT1E",4.14409850939374e-25,0.268992143308509,0.272,0.115,1.21156864020635e-20,"MT1E"
