"","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj"
"NPPB",0,3.33004038633551,0.675,0.027,0
"XIRP1",0,1.58659435704895,0.756,0.102,0
"AC078980.1",0,1.05126559785995,0.227,0.005,0
"C3orf52",0,0.817069539550269,0.526,0.041,0
"FLNC",0,2.0538445320374,0.842,0.128,0
"FLNC-AS1",0,1.26326927977678,0.592,0.019,0
"KCP",0,0.648347155854733,0.402,0.012,0
"ATP6V1FNB",0,1.23978577562031,0.454,0.003,0
"ABRA",0,0.873873233014318,0.575,0.042,0
"LINC00702",0,1.94294531506553,0.839,0.1,0
"OTUD1",0,1.3860353407581,0.655,0.073,0
"AL512603.2",0,2.34877910762495,0.77,0.057,0
"AL355490.2",0,0.369973343552552,0.374,0.016,0
"ATRNL1",0,1.21428095144206,0.626,0.064,0
"SPON1-AS1",0,0.659170639011224,0.425,0.021,0
"ARNTL2",0,0.87013399021049,0.491,0.027,0
"AC007686.4",0,0.366350541754307,0.316,0.014,0
"LINC01629",0,0.368896654675392,0.348,0.007,0
"HPR",0,1.13805097610134,0.707,0.06,0
"CNN1",0,1.37110656175307,0.69,0.016,0
"TNNT1",0,1.56870244290002,0.828,0.128,0
"SH3BGR",0,2.39380034701116,0.782,0.087,0
"B3GALT5",0,0.767969834383438,0.382,0.02,0
"Z98949.1",0,1.26088456476461,0.698,0.046,0
"FO393418.1",0,0.430821569700944,0.411,0.019,0
"MYPN",2.12454052410463e-299,3.30314967134575,0.917,0.224,7.77603077227534e-295
"ASB2",8.25466072578236e-296,1.16150079538986,0.761,0.117,3.0212883722436e-291
"DUSP27",2.43644805054652e-293,2.31952094167617,0.842,0.167,8.9176435098053e-289
"GPA33",1.9868890016894e-292,0.811345745399702,0.612,0.071,7.27221243508338e-288
"ANKRD1",3.0022820732896e-287,3.67073812587397,0.994,0.311,1.09886526164473e-282
"XIRP2",1.45963070697824e-282,3.74822629612675,0.897,0.2,5.34239435061105e-278
"AC005355.1",3.28023302391118e-281,0.555370598275978,0.411,0.03,1.20059808908173e-276
"NRAP",8.93899895239387e-280,2.88457271868553,0.928,0.238,3.27176300656568e-275
"BDNF",1.10668074330593e-279,1.53153700351898,0.701,0.1,4.05056218857405e-275
"TNFRSF12A",2.1425259790884e-278,0.692338856517668,0.664,0.079,7.84185933606146e-274
"AC018464.1",1.64871177932138e-275,2.57219388207221,0.931,0.235,6.03444998349419e-271
"MYO18B",7.50249392003518e-275,3.83161093707558,0.897,0.235,2.74598779967208e-270
"ABCG2",2.79405352309449e-266,0.577224825194071,0.454,0.039,1.02265152998781e-261
"RBM24",5.32526834643595e-258,1.90594541986597,0.905,0.223,1.94910146747902e-253
"ACTA1",2.56054152082906e-253,2.58488754683117,0.989,0.313,9.37183802038646e-249
"DNAJB5",2.0612531610966e-251,0.274139645206231,0.333,0.021,7.54439269492967e-247
"AC067956.1",1.14497364791743e-247,0.717988009709478,0.448,0.042,4.19071804874259e-243
"CYP2J2",9.68554468646951e-246,1.61512153690119,0.836,0.188,3.54500621069471e-241
"ROR1",1.3005666195438e-245,3.79245613693738,0.917,0.302,4.76020388419225e-241
"AC019211.1",2.97726748704971e-241,0.883864440540128,0.552,0.067,1.08970967293506e-236
"CASQ2",2.0868702398678e-240,2.14346847314156,0.917,0.251,7.63815376494013e-236
"MYOM1",2.3926810028246e-239,3.37204540002803,0.945,0.302,8.75745173843833e-235
"KLHL41",1.83122420363652e-238,0.774367438652555,0.543,0.066,6.70246370773002e-234
"LARGE-AS1",7.75151389579729e-238,0.643618887089015,0.583,0.074,2.83713160100077e-233
"AC010327.4",1.99620969256778e-237,0.594779264324012,0.572,0.072,7.30632709576733e-233
"ACTN2",5.5968820081273e-236,2.41461140040796,0.945,0.284,2.04851478379467e-231
"HACD1",8.76750881529643e-236,1.72564015334106,0.879,0.219,3.20899590148665e-231
"ATP6V1F",2.87203162108255e-234,1.10254279728392,0.621,0.084,1.05119229363242e-229
"INSL6",8.03951728193666e-231,0.809779334362572,0.557,0.071,2.94254372036164e-226
"JPH1",4.59264437949966e-230,0.982632482069247,0.624,0.093,1.68095376934067e-225
"AC068733.3",1.91887383213519e-229,0.654309001665217,0.54,0.067,7.02327011299801e-225
"AL158038.1",6.3139104000199e-229,2.08328564316064,0.747,0.148,2.31095434551128e-224
"DAPK3",7.968296844074e-229,0.968780017673141,0.733,0.129,2.91647632789953e-224
"FAM122C",1.37735353655975e-226,0.673566634598027,0.575,0.072,5.04125167916235e-222
"AC117464.1",1.86499050337742e-226,1.94177532685774,0.816,0.18,6.82605174141168e-222
"CFL2",3.70140398364108e-224,1.24919435703,0.83,0.178,1.35475087205247e-219
"RRAS2",1.20709997188794e-221,2.08044140612923,0.853,0.214,4.41810660710705e-217
"ADAM19",1.28968380346938e-220,1.05379698168875,0.753,0.133,4.72037168907827e-216
"PDLIM3",2.90407184787701e-219,2.12744575877525,0.897,0.258,1.06291933704146e-214
"AC009318.1",1.15870128196712e-217,1.41097601675794,0.727,0.142,4.24096256212785e-213
"CDH2",1.19194834221104e-216,2.55714093724534,0.92,0.277,4.36265012732664e-212
"NEXN",1.00801795937364e-214,2.29531751748126,0.963,0.331,3.68944653310347e-210
"Z82215.1",5.83325674798102e-212,0.471893705334746,0.549,0.07,2.13503030232853e-207
"CDCA2",2.59812329191473e-211,0.410845122220742,0.379,0.034,9.50939106073711e-207
"SRL",6.15753052902359e-208,1.63780499309953,0.868,0.223,2.25371774892792e-203
"HOPX",9.33580344493585e-208,0.277695354277858,0.302,0.021,3.41699741888097e-203
"AKAP6",3.93597810929166e-207,2.44892313829348,0.914,0.285,1.44060734778184e-202
"UNC45B",3.99197586932075e-207,0.80143720307442,0.67,0.118,1.46110308793009e-202
"RDH5",1.16450091516559e-206,0.774130684202151,0.578,0.084,4.26218979959758e-202
"AREG",5.1035543971006e-206,0.343917626383125,0.339,0.027,1.86795194488279e-201
"KRTAP5-AS1",1.0854760562395e-205,0.306636851215525,0.328,0.025,3.9729509134422e-201
"AC004879.1",9.76293137305458e-205,1.97724380696758,0.851,0.212,3.57333051185171e-200
"CAP2",2.04563172830733e-204,1.85210702495382,0.807,0.208,7.48721668877764e-200
"EYA4",3.76260549345845e-203,2.6259321077327,0.779,0.198,1.37715123666073e-198
"PALLD",4.23280041146447e-202,3.42113803522059,0.951,0.406,1.54924727860011e-197
"FSIP1",5.53525627664278e-202,0.670770835783819,0.408,0.041,2.02595914981402e-197
"BCO2",1.02249370062771e-201,1.94780177633342,0.879,0.244,3.74242919366749e-197
"COL21A1",1.37424527604421e-201,1.45863176790804,0.848,0.207,5.0298751348494e-197
"MYOZ2",5.90881217384621e-201,2.11875845906024,0.937,0.292,2.16268434374945e-196
"LINC02552",6.27334456943965e-200,1.04636645349399,0.632,0.105,2.29610684586061e-195
"TMEM71",2.42143717380385e-199,1.89916683234341,0.92,0.278,8.86270219983948e-195
"PDE4DIP",1.74246354033975e-198,1.96244896145429,0.94,0.315,6.37759080399752e-194
"SPEG",2.41356563835961e-197,0.680225545179478,0.592,0.094,8.83389159296001e-193
"AL445465.1",2.85493340399549e-196,0.770773933562415,0.563,0.086,1.04493417519639e-191
"MPP3",7.5761496261866e-196,1.58117279827104,0.83,0.21,2.77294652468056e-191
"WEE1",1.7377755024937e-195,0.668556516305815,0.629,0.106,6.36043211667719e-191
"GTF2IRD1",8.60661309459862e-195,1.35919267436973,0.767,0.178,3.15010645875404e-190
"IL31RA",1.54468143631268e-194,0.268943966110042,0.144,0.004,5.65368852504806e-190
"TGFB2",1.58344590899093e-191,1.19596019763059,0.483,0.061,5.7955703714977e-187
"OBSCN",1.90796946418142e-191,2.3348819767068,0.862,0.262,6.98335903585042e-187
"RBPMS2",7.23656918932449e-190,0.842618101141232,0.75,0.157,2.64865668898466e-185
"JPH2",1.12476828445547e-189,1.53804826180248,0.825,0.212,4.11676439793547e-185
"MGAT4C",1.14429260788494e-189,1.21715671133695,0.707,0.136,4.18822537411966e-185
"MYH6",2.94771107627855e-189,1.6155774625446,0.744,0.167,1.07889173102871e-184
"C15orf41",4.87169434382393e-189,2.4749373333193,0.928,0.314,1.783088846783e-184
"CU638689.4",3.05453772191996e-188,0.337353191553487,0.356,0.033,1.11799135159993e-183
"PCDH7",4.20340659589365e-188,2.1435376020367,0.876,0.249,1.53848884816304e-183
"BVES",1.38679460402182e-187,0.775714470534028,0.629,0.111,5.07580693018026e-183
"CMYA5",2.38139702752308e-187,2.11467993594335,0.96,0.326,8.71615126043724e-183
"NPPA",2.75462304235072e-186,1.1128051224658,0.27,0.019,1.00821957973079e-181
"SVIL",4.27296415203726e-186,2.54534245295054,0.94,0.422,1.56394760928716e-181
"HDAC2-AS2",5.94794475706686e-185,0.614042680823075,0.371,0.037,2.17700726053404e-180
"MLLT11",8.40168761209079e-185,0.317353101079247,0.379,0.038,3.07510168290135e-180
"Z98949.3",9.52124931160491e-185,0.432654493709581,0.44,0.054,3.48487246054051e-180
"C4orf54",1.36305477351102e-183,0.375003454126032,0.138,0.004,4.98891677652769e-179
"IER3",3.6638456948035e-183,0.541761873191323,0.727,0.133,1.34100416275503e-178
"CAVIN4",7.93006108111181e-183,0.636368594888729,0.589,0.098,2.90248165629773e-178
"ST3GAL6",2.30899297281022e-182,1.79587130536473,0.871,0.276,8.45114517978269e-178
"LMOD2",4.42753784770198e-181,1.68778422327663,0.891,0.249,1.6205231276374e-176
"MROH7",1.31763234963141e-180,1.08656482743418,0.764,0.172,4.82266616288593e-176
"PRKAA2",2.94804897229182e-180,1.59909650681029,0.888,0.248,1.07901540434853e-175
"MAPK4",6.94510747103911e-180,1.32997074344364,0.721,0.16,2.54197878547503e-175
"SYNM",1.02479099261692e-179,0.824511781836629,0.71,0.146,3.75083751207717e-175
"FHL1",2.33412848768621e-179,1.94838366385129,0.905,0.327,8.54314367778029e-175
"LINC00884",2.6782282841391e-179,0.487720321235133,0.353,0.035,9.80258334277752e-175
"EGLN3",3.05194407044511e-178,1.1663297538579,0.71,0.152,1.11704204922362e-173
"TNFRSF11B",5.12187044852348e-178,0.34646534574611,0.316,0.028,1.87465580286408e-173
"CSRP3-AS1",5.5728792086086e-178,0.695088777719879,0.563,0.092,2.03972951914284e-173
"IRX6",2.02889063547001e-177,0.274670022933232,0.31,0.027,7.42594261488379e-173
"MYBPC3",5.30229001599705e-177,1.83165951371621,0.957,0.286,1.94069116875508e-172
"SYNDIG1",3.09498226043089e-176,1.531426200306,0.779,0.196,1.13279445714031e-171
"CTNND2",4.51943540803526e-176,1.62146127015557,0.79,0.197,1.65415855369499e-171
"ALPK2",7.14647881756512e-176,1.30585349697941,0.819,0.207,2.61568271201701e-171
"CSRP3",9.63171171624347e-175,1.69820177972767,0.945,0.307,3.52530280526227e-170
"PXYLP1",1.58009060510722e-173,0.923579295369222,0.675,0.14,5.78328962375293e-169
"ALPK3",1.28724570525707e-171,1.48078427351681,0.822,0.234,4.71144800581139e-167
"GPAT3",4.84006645605068e-171,1.65502075814047,0.796,0.211,1.77151272357911e-166
"SCN5A",5.65955112659265e-169,1.48856060443365,0.833,0.221,2.07145230784418e-164
"SDC4",1.1682029645132e-167,0.596966568732409,0.589,0.105,4.27573967041476e-163
"AC008496.2",4.1173437997843e-167,0.800444016303924,0.649,0.131,1.50698900415905e-162
"AC036108.3",9.49224790644355e-167,0.463974593622491,0.46,0.064,3.4742576562374e-162
"SLMAP",1.51705508325677e-166,1.99447411736448,0.931,0.433,5.55257331022809e-162
"TTN",2.78601400172495e-166,2.31885360983625,0.997,0.515,1.01970898477135e-161
"AL353593.1",1.27452254087261e-165,0.715923948453575,0.621,0.122,4.66487995184786e-161
"DCBLD2",4.51570568087387e-165,2.04349307717781,0.853,0.291,1.65279343625664e-160
"CCN1",1.25379863840624e-164,0.740560508595003,0.707,0.138,4.58902839643066e-160
"KBTBD12",2.02607529899268e-164,1.26106614001544,0.764,0.194,7.41563820184309e-160
"MIR133A1HG",3.44670389299463e-164,1.24620317978292,0.787,0.201,1.26152809187496e-159
"TRIM54",4.17757393485801e-164,1.15124895660322,0.816,0.211,1.52903383589738e-159
"HOMER1",1.29949924638354e-163,1.81745719021975,0.853,0.264,4.75629719168838e-159
"C5AR1",1.70279321188042e-163,0.415156530919387,0.511,0.076,6.23239343480351e-159
"MYEF2",1.80069294292322e-163,0.572498488198833,0.606,0.114,6.59071624039328e-159
"KLHL31",4.13916502541236e-163,1.1644910336246,0.813,0.209,1.51497579095118e-158
"EYA1",6.31961910775086e-163,1.31575007825689,0.707,0.168,2.31304378962789e-158
"ASB18",1.21768243304313e-162,1.26781087309507,0.764,0.187,4.45683947318118e-158
"ATP1A2",6.11641590344731e-161,1.05144116673244,0.799,0.211,2.23866938482075e-156
"SLC7A1",3.8540955736995e-160,0.456040875925229,0.54,0.088,1.41063752092975e-155
"AL353151.2",1.64024108093281e-159,0.450473731449644,0.417,0.055,6.00344638032219e-155
"HSPB7",3.87926649804175e-159,1.23287074207765,0.882,0.257,1.41985033094826e-154
"EFNA5",6.01731449989365e-159,1.81871109749555,0.888,0.262,2.20239728010607e-154
"MYL3",2.03076425168869e-158,1.60944714748551,0.937,0.353,7.43280023760579e-154
"ZNF98",8.67303294822709e-158,0.574143323708611,0.434,0.061,3.1744167893806e-153
"CNKSR3",2.63238683409686e-157,1.14646420606937,0.753,0.189,9.6347990514779e-153
"PDLIM5",3.06856019302305e-157,2.42177804135091,0.957,0.569,1.12312371624837e-152
"LINC02502",1.21873662797389e-156,0.588962955497711,0.58,0.106,4.46069793204725e-152
"PPARGC1A",2.26193701653613e-156,2.05356288796545,0.802,0.234,8.27891567422389e-152
"VCL",5.50381049765274e-156,1.79451391697747,0.934,0.433,2.01444968024588e-151
"AOPEP",9.79832919096337e-156,2.04667653806647,0.943,0.519,3.5862864671845e-151
"USP28",3.00571174543326e-155,1.32444035055394,0.822,0.242,1.10012055594603e-150
"BZW2",1.37179839212298e-154,1.14921816551685,0.83,0.247,5.02091929500932e-150
"DNAAF3",1.45937715197832e-154,0.342084231207756,0.405,0.053,5.34146631395584e-150
"CTNNA3",2.50608615735794e-154,1.85468692535557,0.934,0.305,9.1725259445458e-150
"MSS51",3.5745713878973e-154,0.445438010958289,0.414,0.055,1.30832887368429e-149
"STK38L",5.33018678645483e-154,1.64773065821519,0.874,0.307,1.95090166571033e-149
"SH3GL2",8.76586797386639e-154,0.524576199109808,0.425,0.059,3.20839533711484e-149
"RRP12",1.04040860988753e-153,0.495874073081,0.52,0.085,3.80799955304936e-149
"ESRRB",1.45697654419151e-153,0.846273020438004,0.661,0.147,5.33267984939534e-149
"TRIM55",1.56001322833539e-153,1.3514377747764,0.698,0.168,5.70980441703035e-149
"RYR2",2.72657150473054e-153,1.94150801957692,0.96,0.322,9.97952436446424e-149
"AC005037.1",3.05279852346743e-153,0.908990803554656,0.681,0.155,1.11735478757431e-148
"APOA1",3.23117263737848e-152,0.600421948792622,0.497,0.079,1.1826414970069e-147
"RBM20",6.82270534994009e-152,1.73708071097604,0.928,0.277,2.49717838513157e-147
"FILIP1",1.5843007859085e-151,2.60557409961336,0.894,0.432,5.7986993065037e-147
"AC083870.1",1.77604844415255e-151,1.55460135546871,0.845,0.269,6.50051491044276e-147
"TENM2",6.26255480574341e-151,1.48312266707179,0.862,0.246,2.29215768445014e-146
"LRRC49",4.07525376080665e-150,1.2122146493834,0.756,0.205,1.49158362899284e-145
"JAK2",8.2353407065402e-150,2.2874085955429,0.891,0.39,3.01421705200078e-145
"FHOD3",3.95706374491413e-149,1.74982995026226,0.882,0.264,1.44832490127602e-144
"ABHD2",9.35231648545567e-149,1.76042999946548,0.868,0.333,3.42304135684163e-144
"AC011287.1",1.08864494213937e-148,1.78590606757764,0.822,0.242,3.98454935272432e-144
"SNTA1",2.13349357755886e-148,0.684369788774761,0.664,0.145,7.80879984322318e-144
"NMRK2",2.91697263509926e-148,0.846090226291476,0.739,0.182,1.06764115417268e-143
"RNF150",9.39032686660971e-148,1.97895416589488,0.851,0.292,3.43695353644782e-143
"USP2",9.87577030707162e-148,0.673112030981259,0.655,0.142,3.61463069009128e-143
"LINC01954",1.00911498067344e-147,0.923274954703897,0.733,0.179,3.69346174076287e-143
"AP005329.2",1.18946236033921e-147,0.752797363969304,0.638,0.137,4.35355118507755e-143
"SLC16A1",4.81944510218768e-147,0.887685700869616,0.747,0.19,1.76396510185171e-142
"RAB4A",6.22404428703012e-146,0.836710022444113,0.681,0.156,2.2780624494959e-141
"DES",8.12842667431733e-146,1.56476420421384,0.94,0.329,2.97508544706689e-141
"SLC20A2",8.24239955061306e-146,1.90684182980127,0.888,0.368,3.01680065951988e-141
"SORBS2",2.35479891322231e-145,1.78982364605699,0.974,0.364,8.61879950228498e-141
"ATF3",3.35330476257097e-145,0.407830377700059,0.388,0.049,1.2273430761486e-140
"SMPX",4.75737817532173e-144,1.16906006958856,0.802,0.228,1.74124798594951e-139
"EIF2AK3",5.88982412317185e-144,1.40005682818407,0.776,0.226,2.15573452732213e-139
"POPDC2",6.91131306812996e-144,1.24811517897437,0.833,0.237,2.52960969606625e-139
"AC017101.1",2.39608941409096e-143,0.652696502282807,0.644,0.14,8.76992686451433e-139
"MFN2",6.47379466826309e-143,0.865356579463921,0.739,0.195,2.36947358653097e-138
"RUBCN",7.78275228607809e-143,1.0757503093282,0.733,0.191,2.84856516422744e-138
"AC100803.4",8.32288494769811e-143,0.315649081581295,0.491,0.081,3.04625911970698e-138
"MIR1-1HG",1.47182091415892e-141,1.21661815922583,0.75,0.197,5.38701172791306e-137
"CALD1",2.01842741474827e-141,2.07320685557825,0.963,0.568,7.38764618072014e-137
"GEM",2.45549314566432e-141,0.289009720330143,0.437,0.063,8.98735046244596e-137
"C8orf88",3.99934763627323e-141,0.493222999819816,0.526,0.096,1.46380122835236e-136
"SCHIP1",1.33072273559075e-140,0.387495694322928,0.497,0.086,4.8705782845357e-136
"LDB3",4.44653051158357e-140,1.51237564826608,0.945,0.292,1.6274746325447e-135
"SACS",1.19957831756121e-139,0.900012956372299,0.698,0.171,4.39057660010579e-135
"SMYD2",5.79896322489843e-139,1.27367658776547,0.805,0.246,2.12247852994508e-134
"DOCK3",7.77273269080113e-139,1.26851967849297,0.787,0.232,2.84489789216012e-134
"PPP1R9A",1.28319368158531e-137,1.34231087472178,0.836,0.248,4.69661719397038e-133
"LINC02254",1.55733180257166e-137,1.11169721005131,0.589,0.128,5.69999013059255e-133
"AC026124.1",1.13204197823068e-136,0.27581516456522,0.359,0.046,4.14338684452212e-132
"ERBB4",2.54570973181666e-136,1.52302014901102,0.885,0.263,9.31755218942217e-132
"GPC5",5.8694221261475e-136,1.45815970929069,0.578,0.12,2.14826719239125e-131
"PCDH9",1.91268521820138e-135,2.1335327216369,0.92,0.405,7.00061916713888e-131
"TANC1",3.00065425951475e-135,1.74522785805864,0.879,0.404,1.09826946552499e-130
"AL590814.1",4.29926113692826e-135,0.856487987095723,0.247,0.023,1.57357256872711e-130
"PRSS48",8.06305554548097e-135,0.401366161403897,0.443,0.071,2.95115896020149e-130
"MSRB3",8.57032633786069e-135,1.73031263331818,0.882,0.403,3.13682514292039e-130
"DMD",1.16589439683792e-134,2.64316418842869,0.922,0.476,4.26729008186647e-130
"C5orf46",2.25115028450026e-134,0.347223568714466,0.394,0.057,8.2394351562994e-130
"AC008571.2",3.13199116984937e-134,1.22923777211545,0.609,0.137,1.14634008807657e-129
"LINC02755",1.06248712557956e-133,0.726260325373276,0.517,0.099,3.88880912833375e-129
"MAPRE2",4.93949921830057e-133,1.42096363590397,0.862,0.307,1.80790610889019e-128
"NCAM1",7.78715831725096e-133,1.4093129810655,0.899,0.275,2.85017781569702e-128
"AP1S2",1.36675321384386e-132,1.18151562190241,0.819,0.265,5.00245343798992e-128
"SLCO1C1",2.01401996875819e-132,0.507966258250522,0.457,0.076,7.37151448765185e-128
"AC015845.2",2.81060403487665e-132,0.316734137635254,0.376,0.053,1.0287091828052e-127
"GRAMD1B",4.04212237166646e-132,1.36237358965943,0.77,0.232,1.47945720925364e-127
"EMC10",1.0112542422398e-131,0.600815946565937,0.589,0.12,3.70129165202191e-127
"P3H3",1.28745837565438e-131,0.287315126940849,0.463,0.077,4.71222640073258e-127
"COBL",1.96300656266383e-131,1.03604932666747,0.744,0.206,7.18480032000588e-127
"INPP4B",2.93694098237942e-131,1.87887522084068,0.888,0.387,1.07494976896069e-126
"LINC02455",3.73179345079314e-131,0.373423827511109,0.391,0.058,1.3658737209248e-126
"PAM",5.40151989136998e-131,1.91032381890733,0.931,0.589,1.97701029544033e-126
"ROR1-AS1",6.63649985433286e-131,0.500146359330992,0.388,0.057,2.42902531168437e-126
"DLGAP4-AS1",1.01009590974485e-130,0.289132937472796,0.46,0.076,3.69705203925714e-126
"PHACTR1",1.52930716213642e-130,2.3911402671108,0.851,0.378,5.59741714413552e-126
"DNAJA4",3.8953979596188e-130,0.604333831167807,0.491,0.09,1.42575460720008e-125
"RAB9B",9.63073143913701e-130,0.28409697841426,0.399,0.06,3.52494401403854e-125
"KIF21A",1.49168354424332e-129,1.24370470920041,0.845,0.263,5.45971094028499e-125
"FEM1C",1.96762213165229e-129,0.765770649422181,0.684,0.175,7.20169376406057e-125
"AC023494.1",2.52250200643624e-129,0.558901314007498,0.529,0.102,9.23260959375728e-125
"LINC01719",2.87259105576834e-129,0.463178097499359,0.546,0.109,1.05139705232177e-124
"DGKG",3.82061566388028e-129,1.19842723390132,0.793,0.231,1.39838353913682e-124
"ATP13A3",4.84205682824038e-129,1.62974076173638,0.905,0.423,1.77224121970426e-124
"PLXNA4",9.18656394206027e-129,1.08893964587345,0.716,0.198,3.36237426843348e-124
"TPM1",3.40056827522442e-128,1.43936380906795,0.98,0.655,1.24464199441489e-123
"SEMA3C",4.26145055903166e-128,1.31623690049472,0.733,0.212,1.55973351911118e-123
"CPED1",5.38418901088701e-128,1.92178415768253,0.876,0.395,1.97066701987476e-123
"AC139720.1",1.05056458568809e-127,0.708929464038028,0.655,0.155,3.84517144007698e-123
"AC020909.2",2.32568103735644e-127,0.317557311816044,0.296,0.034,8.51222516482832e-123
"AC093912.1",5.39503813250832e-127,1.28471691801388,0.736,0.201,1.97463790687937e-122
"PRKAG2",6.81166050767866e-126,1.69045770341043,0.845,0.336,2.49313586241547e-121
"CTNNAL1",7.91571152123132e-126,0.850926991335136,0.77,0.224,2.89722957388587e-121
"NEXN-AS1",8.25922284833584e-126,0.500566771035592,0.483,0.09,3.0229581547194e-121
"SLC8A1",8.83656753646289e-126,1.87279391251179,0.948,0.486,3.23427208402078e-121
"RABGAP1L-DT",1.13280496980836e-125,0.313648998466439,0.23,0.021,4.14617946999558e-121
"ERC2",1.16367215240888e-125,0.451971015619178,0.339,0.046,4.25915644503176e-121
"AC108472.1",3.14469417776063e-125,0.62871978305953,0.658,0.159,1.15098951600217e-120
"TRDN",5.41196262886518e-125,1.50687269261279,0.92,0.275,1.98083244179095e-120
"LMO7",1.03450930834721e-124,1.4310048729359,0.914,0.313,3.78640751948161e-120
"HSPB8",1.89502590071575e-124,0.695978028764415,0.707,0.18,6.93598429920973e-120
"TYRP1",3.20490342568481e-124,0.291628509039587,0.399,0.062,1.1730267028349e-119
"ENAH",6.71535730139654e-124,1.80817598788649,0.859,0.345,2.45788792588415e-119
"MYH7",7.22708527766558e-124,1.42188189226435,0.957,0.408,2.64518548247838e-119
"CAMK2B",1.40179887570538e-123,0.681710475006578,0.667,0.167,5.13072406496927e-119
"CASP3",1.48602997862641e-123,0.349623217777262,0.537,0.105,5.43901832477051e-119
"HSPB6",2.14230028841115e-123,0.496133502241892,0.514,0.101,7.84103328561367e-119
"AC106791.1",2.20328664334575e-123,1.07356635898536,0.782,0.232,8.0642494433098e-119
"DDX60L",2.9151418507304e-123,1.50179120053539,0.828,0.314,1.06697106878583e-118
"LRRC1",1.94332122621621e-122,0.47273260661823,0.601,0.132,7.11275002007395e-118
"CFAP61",4.88247268902042e-122,1.15409523357277,0.741,0.207,1.78703382890837e-117
"COL19A1",5.10688140128939e-122,0.57797250714147,0.489,0.094,1.86916966168593e-117
"AL451070.1",1.12298639113783e-121,0.28517238398518,0.339,0.046,4.11024249020356e-117
"LARGE1",1.14872280465829e-121,2.23997635912673,0.882,0.521,4.20444033732981e-117
"CXADR",2.59463644608651e-121,0.589594669033329,0.552,0.119,9.49662885632124e-117
"A4GALT",9.90676244948151e-121,0.38187626060159,0.606,0.133,3.62597412413473e-116
"MYL2",1.09743830488241e-120,1.44128980001763,1,0.688,4.01673393970012e-116
"ADPRHL1",1.20837926812176e-120,0.964177539104062,0.828,0.236,4.42278895925246e-116
"GRM1",1.5635395659984e-120,0.424739843418149,0.391,0.061,5.72271116551073e-116
"PRDM16",2.31300466600911e-120,1.0187327787293,0.782,0.231,8.46582837805996e-116
"PPM1K-DT",2.96412572814209e-120,0.513961632710083,0.477,0.091,1.08489965775728e-115
"OXCT1",4.17948964712525e-120,1.03604331353154,0.724,0.211,1.52973500574431e-115
"LMOD3",5.92347863017051e-120,0.543895016368471,0.615,0.144,2.16805241342871e-115
"MYL9",7.01433895571254e-120,0.923085864043204,0.882,0.316,2.56731820118035e-115
"VLDLR-AS1",1.32091598918961e-119,1.25794488728019,0.759,0.221,4.8346846120329e-115
"ITGA7",1.78119384345802e-119,0.577350905533128,0.736,0.201,6.51934758644071e-115
"PPP1R14C",1.85065388160657e-119,0.805698672043518,0.624,0.157,6.77357827206821e-115
"CSDC2",4.30396160017587e-119,0.708534680499789,0.693,0.176,1.57529298528037e-114
"FAM160A1",3.7669632559354e-118,1.00083200146168,0.67,0.179,1.37874622130492e-113
"CPNE5",6.01413451107117e-118,0.79867209557439,0.595,0.14,2.20123337239716e-113
"AC019068.1",5.12965727770778e-117,0.583339878612279,0.511,0.108,1.87750586021383e-112
"LAMA2",6.57862231908e-117,1.84546713307831,0.966,0.522,2.40784155500647e-112
"AC002066.1",1.13705025322838e-116,1.134261763406,0.733,0.206,4.16171763184118e-112
"NID1",1.25319715784702e-116,1.19011709153331,0.853,0.307,4.58682691743589e-112
"GABRB1",1.28448781292789e-116,0.838451281447279,0.647,0.162,4.70135384409737e-112
"TEAD3",1.92037411464862e-116,0.26792197612115,0.537,0.109,7.02876129702543e-112
"IL1RAP",2.05953903383169e-116,0.716776055122584,0.684,0.182,7.53811881772738e-112
"PGM5",2.06758043465687e-116,1.22169551247656,0.828,0.29,7.56755114888762e-112
"RNF217-AS1",3.2051173654649e-116,0.684365114930891,0.376,0.059,1.17310500693381e-111
"COLQ",3.08900647994483e-115,0.483888265805832,0.454,0.085,1.13060726172461e-110
"FRAS1",6.67922639613593e-115,1.22919760585597,0.569,0.139,2.44466365324971e-110
"ATP2B4",1.77865676637142e-114,1.61696227892958,0.853,0.355,6.51006163059604e-110
"PACRG",5.29785763477813e-114,1.28283818351484,0.81,0.254,1.93906887290515e-109
"RETREG1",5.4188772986099e-114,1.00837596687916,0.825,0.259,1.98336328006421e-109
"THSD4",1.43440668492829e-113,1.51951026279648,0.874,0.305,5.25007190750603e-109
"SAMD4A",1.78008149545646e-113,1.77560451123355,0.894,0.457,6.5152762815202e-109
"AC013640.1",2.51803082839707e-113,0.51899652216402,0.529,0.114,9.2162446350161e-109
"NEBL",3.66812492917716e-113,1.3329142216872,0.957,0.326,1.34257040532813e-108
"DPY19L2",1.51367449068481e-112,1.02184833800254,0.905,0.266,5.54020000335548e-108
"SGCD",1.53065368082404e-112,1.48945799597156,0.908,0.329,5.60234553718408e-108
"CPT1B",4.01063232894742e-112,0.486933925607157,0.583,0.135,1.46793153871804e-107
"LRRTM3",5.71489810797142e-112,0.954420370791122,0.799,0.231,2.09170985649862e-107
