"","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj"
"LMO4",0.626040826976909,-0.504963522417238,0.213,0.195,1
"GALNT10",0.627489640894228,-0.701021665081411,0.279,0.223,1
"OXR1",0.627703113440996,-0.672003310398918,0.428,0.328,1
"ADAMTS1",0.630119935481264,-1.137188284852,0.19,0.173,1
"PML",0.630457020246665,-0.594209232712147,0.204,0.166,1
"CHROMR",0.631440356763161,-0.262660377352926,0.115,0.099,1
"ZFAND3",0.631962977028455,-0.297121709504053,0.848,0.702,1
"FRMD3",0.63286130930487,-1.57655799677348,0.417,0.33,1
"HEG1",0.633203284139278,-0.844761628084761,0.497,0.384,1
"R3HDM1",0.635458667528278,-0.651404219527807,0.431,0.328,1
"SDC2",0.637876246427761,-0.791719189354651,0.207,0.189,1
"RPS29",0.64067529448717,-0.819709324360363,0.514,0.372,1
"POLD3",0.643785830768967,-0.339776979020383,0.17,0.16,1
"RAB31",0.645480318558244,-1.00335780798163,0.221,0.197,1
"NRIP1",0.645788623420363,-0.874498861554723,0.563,0.402,1
"NFXL1",0.646041175277148,-0.259875319106343,0.164,0.142,1
"HYAL1",0.647141750435462,-0.379486146190755,0.103,0.09,1
"RPLP0",0.64987476330251,-0.772305044504639,0.353,0.292,1
"GLI3",0.650988611782113,-0.517810643538955,0.184,0.154,1
"LINC01515",0.652876876457796,-0.479435298453301,0.147,0.142,1
"THSD1",0.6532238958089,-0.425037722092578,0.124,0.106,1
"HSP90B1",0.653571568932683,-0.743427545593715,0.356,0.295,1
"SMCHD1",0.65397228895931,-0.625631924866772,0.739,0.563,1
"PMP22",0.654382341322012,-0.754779322731226,0.483,0.369,1
"SETX",0.658042882188403,-0.752366104575692,0.563,0.422,1
"GRAMD1A",0.662424587898408,-0.428780486143875,0.161,0.136,1
"SLC40A1",0.663524929584738,-0.362764501602498,0.115,0.113,1
"UBC",0.664580979956956,-0.901518109798779,0.552,0.411,1
"PLPP3",0.66808149236831,-0.913922558065808,0.612,0.431,1
"SSR2",0.668551975407847,-0.478800051669874,0.141,0.134,1
"MIR222HG",0.669025064258225,-0.433440296281682,0.101,0.087,1
"SPAG9",0.669945940384117,-0.822750624621602,0.707,0.52,1
"RBPJ",0.670278047252051,-1.51557592378314,0.555,0.394,1
"TULP3",0.673928848775077,-0.327969740006895,0.135,0.117,1
"NBN",0.675541642125803,-0.424923625952522,0.224,0.203,1
"WASF3",0.676672004189543,-0.314182298095981,0.158,0.135,1
"STX7",0.677736719250159,-0.745147326377136,0.388,0.297,1
"EMILIN2",0.682979915188194,-0.395438206318409,0.129,0.112,1
"SKIL",0.685156486982132,-1.03501369761578,0.368,0.273,1
"GNAI1",0.68996063505787,-0.623092959067632,0.147,0.138,1
"COX6A1",0.690701329729787,-0.487791398653958,0.187,0.157,1
"B4GALT1",0.697489853637732,-0.755281136321748,0.569,0.404,1
"XRRA1",0.699916171720044,-0.607814539606909,0.365,0.296,1
"RPL36A",0.701693108433918,-0.686636879736469,0.267,0.231,1
"MFSD1",0.70281472928449,-0.538920521993847,0.221,0.186,1
"TRANK1",0.70458311854534,-0.345701589565083,0.126,0.11,1
"CDC42EP4",0.705680662464796,-0.64112667325265,0.207,0.17,1
"RESF1",0.710289377585501,-0.806513871513901,0.342,0.281,1
"IFNGR2",0.711716542363915,-0.618043408674312,0.293,0.251,1
"EIF2AK4",0.713614845219421,-0.470769381238671,0.287,0.235,1
"TRMT112",0.714498098067794,-0.356742268126826,0.112,0.098,1
"RPS17",0.718319896688067,-0.737961227597238,0.402,0.308,1
"NFIB",0.718493072077999,-0.374223617223735,0.848,0.629,1
"TGFBR1",0.719926689855556,-0.753299787627853,0.299,0.238,1
"TCF20",0.720830559053943,-0.479190030244817,0.207,0.186,1
"ADGRE5",0.727409309222759,-0.355357560746743,0.124,0.108,1
"SERPINB9",0.728727219651656,-0.299217850931231,0.101,0.1,1
"AC104041.1",0.728802784385685,-0.575662905374139,0.167,0.143,1
"ALG13",0.731157247207608,-1.05198769178755,0.451,0.335,1
"RPS5",0.731756484542428,-0.698196171738676,0.319,0.252,1
"RHOC",0.733918915629286,-0.621881569665998,0.17,0.142,1
"AATF",0.736407656893805,-0.497564527339261,0.172,0.159,1
"STXBP6",0.736454732967115,-0.811191468414064,0.405,0.315,1
"IVNS1ABP",0.73653988572149,-0.577201284979565,0.356,0.285,1
"ATG4C",0.736840016909779,-0.361347925042967,0.172,0.161,1
"SLF2",0.737599277181193,-0.563583783196016,0.428,0.323,1
"COX10-AS1",0.738190048637095,-0.345751773234073,0.17,0.147,1
"ADSS",0.73921620577842,-0.373439018386822,0.204,0.174,1
"MKLN1",0.741811652308418,-0.379747324334812,0.819,0.632,1
"FBXO11",0.745170252235123,-0.647760462039653,0.724,0.507,1
"MXD4",0.746993641718633,-0.449282308895785,0.181,0.154,1
"ZFP90",0.747053371323156,-0.273361184032364,0.109,0.096,1
"GNAS",0.747992958859941,-0.548037866595494,0.77,0.55,1
"MYO5A",0.748161058934718,-1.12612050941769,0.434,0.324,1
"RBM39",0.7551985918354,-0.296329293846875,0.842,0.633,1
"REST",0.756504554744549,-0.332962921947991,0.164,0.153,1
"CFL1",0.758921758900427,-0.7864018311992,0.267,0.225,1
"WWP2",0.758947926548821,-0.493305234584871,0.19,0.172,1
"PHF3",0.760199801085748,-0.594600569396585,0.546,0.394,1
"ZNF148",0.760840537485729,-0.535531983633227,0.695,0.473,1
"CD46",0.7640069386069,-0.756868818920836,0.526,0.382,1
