"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PTPRG",3.69569931125533e-76,0.853066063492711,0.941,0.903,1.08047465063861e-71
"TBCD",8.06044481685395e-76,-1.01004424029992,0.401,0.625,2.35655164665542e-71
"TTTY14",5.37544243606596e-75,0.444117808304756,0.226,0.044,1.57156435060824e-70
"MT-ATP8",6.51483790870842e-75,0.37579368610463,0.31,0.087,1.90467801098999e-70
"AL133268.4",7.98014494738705e-75,0.450930398024085,0.317,0.094,2.33307517681808e-70
"ATP5F1E",9.92990088902083e-75,0.477379342047772,0.46,0.184,2.90310582391413e-70
"XAF1",5.1309674555881e-74,-0.760626981417298,0.447,0.681,1.50008964531574e-69
"NCALD",1.30275612350085e-73,0.806760013789135,0.634,0.36,3.80873780266708e-69
"MYCT1",4.20673614366373e-73,0.522800726798208,0.469,0.203,1.22988137896153e-68
"CALCOCO2",5.7264585092112e-73,0.470414004631534,0.498,0.216,1.67418740975299e-68
"IFITM3",2.73685442213684e-72,0.638934631966417,0.895,0.717,8.00146758855927e-68
"EMCN",3.50278133562731e-72,0.715005173574448,0.805,0.575,1.024073151284e-67
"SORBS2",1.59203042435337e-71,0.805823718846835,0.62,0.364,4.6544601486395e-67
"CD109",1.59329100484934e-71,0.49664092293083,0.366,0.125,4.65814558177754e-67
"CFLAR-AS1",1.97374821287472e-71,0.374463525830113,0.299,0.085,5.77045027516052e-67
"RFTN2",2.98182184349097e-70,0.395710880795764,0.272,0.071,8.7176543416302e-66
"ITM2B",6.12062598854993e-70,0.556179344627281,0.798,0.535,1.78942621401246e-65
"RPL37",6.3088611982076e-70,0.547362042802865,0.534,0.255,1.84445865990797e-65
"IL6ST",7.79817734525208e-70,0.730709867192369,0.644,0.372,2.2798751286579e-65
"SLC25A21",8.13983911011679e-70,0.546862007275807,0.185,0.03,2.37976336223375e-65
"MCF2L",2.66307514253398e-69,-0.828861620250889,0.651,0.763,7.78576648671235e-65
"CFLAR",8.32775499315143e-69,0.609763944011579,0.813,0.589,2.43470244979775e-64
"ANXA3",3.39969023866599e-68,0.591272317544336,0.624,0.348,9.93933438176389e-64
"MIR99AHG",4.61803286959784e-68,0.903298989774401,0.534,0.286,1.35012808975562e-63
"AL445426.1",1.58798357417462e-67,0.555175429460459,0.356,0.126,4.64262877745693e-63
"FRMD3",1.68542834270533e-67,0.806330918308619,0.566,0.3,4.92751830273329e-63
"NUAK1",2.24482636114246e-67,0.553264569406604,0.394,0.152,6.56297434943611e-63
"FAM198B-AS1",7.18259820901156e-67,0.2544441024318,0.15,0.018,2.09990441238662e-62
"CDC14B",7.4962772502799e-67,0.324552490210101,0.228,0.051,2.19161161689183e-62
"IFI27",7.81929572840971e-67,0.612976795359414,0.879,0.672,2.28604929915786e-62
