p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
2.4926898413222064e-25,1.013665270436728,0.488,0.106,7.287628020089603e-21,UTY
4.676420790647916e-24,-1.5014668384345093,0,0.518,1.3671983823538248e-19,XIST
6.783459756098601e-24,1.1490692279039012,0.928,0.656,1.983212294292987e-19,MT-ND3
1.633831803705567e-23,-1.8022353708094054,0.312,0.734,4.776670661313596e-19,LINC02208
1.681536082751103e-23,1.1609420331773046,0.52,0.125,4.916138891531125e-19,TTTY14
3.0389491134286448e-21,0.6666205478287743,1,0.981,8.884671628019985e-17,PLCG2
5.2797981189953143e-20,1.0400081829458254,0.784,0.475,1.5436017780694702e-15,ACTA1
8.25671513808012e-19,0.9146740545334744,0.968,0.781,2.413933237769104e-14,MT-CO2
1.4071725555980594e-18,0.6829445798676603,0.424,0.106,4.114009683546487e-14,USP9Y
2.4383070254785654e-17,0.8592093593967081,0.912,0.642,7.128634419689134e-13,MT-CYB
1.364162178201484e-16,0.6517033766032565,0.432,0.117,3.988264544189859e-12,TTTY10
3.4260154462175997e-15,-1.1973917483520722,0.368,0.704,1.0016298758561774e-10,ANKRD1
9.044138683762434e-15,0.7455405279575755,0.816,0.51,2.644144385584785e-10,MT-ND2
2.7808129451924456e-14,-0.5737569877835798,0.976,0.988,8.129984726564633e-10,MALAT1
4.359696586182856e-14,1.3430649467866667,0.296,0.07,1.2746008939364197e-9,LINC02388
1.9931608508047062e-13,0.7677951638825444,0.976,0.83,5.827205063412639e-9,MT-ATP6
2.6298362123076603e-13,0.3483985776927285,0.24,0.045,7.688589150302676e-9,RPS10
2.9687228903207055e-13,0.5838155322964491,0.472,0.179,8.679358242141614e-9,RPS27
5.526561915080597e-13,0.6423474945488901,0.888,0.64,1.6157456414929634e-8,MT-ND4
6.158319066272866e-13,0.33588196035461865,0.232,0.043,1.800446162215535e-8,EIF1AY
1.0395774671153507e-11,0.8120670494069249,0.224,0.047,3.0393086828584394e-7,AC020637.1
1.267019515856864e-11,0.3230071177798535,0.296,0.08,3.704258256559128e-7,SGIP1
1.3469221071528801e-11,0.4421427294414419,0.376,0.132,3.93786147247216e-7,RPS17
3.633069396260445e-11,-0.7105145881499642,0.736,0.861,1.0621641686907037e-6,MYBPC3
5.1411607684597665e-11,0.6749563057330901,0.688,0.478,1.5030697622668974e-6,COX6A2
1.3802355553312863e-10,-0.48542682717024166,0,0.263,4.0352566695665486e-6,TSIX
1.5288253822836996e-10,0.37955165336549346,0.304,0.096,4.469673887644624e-6,MT-ATP8
2.5392579403714766e-10,0.48571996849826204,0.408,0.167,7.423774514470049e-6,RPL38
2.5796270369341e-10,0.5169980973651798,0.456,0.21,7.541797605180535e-6,ATP5F1E
3.1649082109537763e-10,0.43489301605378433,0.432,0.181,9.25292564554446e-6,RPL37
3.332004048120413e-10,-0.6422469369130676,0.136,0.431,9.74144703508484e-6,ENOX1
4.02508291009109e-10,-0.5676164558624517,0.752,0.908,1.176773239594231e-5,DST
4.4614754907068207e-10,0.7141267235583615,0.776,0.602,1.304356974463046e-5,MT-ND1
5.718889828010007e-10,-0.6012140436613823,0.272,0.588,1.6719746301170057e-5,RALYL
6.192608403573333e-10,-0.6977545935337157,0.48,0.781,1.8104709928687e-5,AC092353.2
1.1113230800293446e-9,0.8857295539100579,0.288,0.097,3.2490641567737916e-5,HS6ST3
2.7942216656739443e-9,0.6483017266034006,0.96,0.864,8.169186461764343e-5,MT-CO3
3.3949506698588115e-9,-0.5465384677555434,0.456,0.663,9.925477778399221e-5,CHRM2
1.0026552322943938e-8,0.7434861218027111,0.776,0.643,2.9313628371358897e-4,TNNC1
1.0388996769483135e-8,-0.5569455461026185,0.664,0.831,3.0373270955260897e-4,DLG2
1.5355551941280557e-8,0.5358269601835424,0.688,0.463,4.4893491655527835e-4,MYL12A
2.238923793213782e-8,-0.522242816477978,0.976,0.984,6.545717601839814e-4,TTN
3.2225806091074886e-8,0.4051672552547826,0.312,0.123,9.421536668786654e-4,MT-ND4L
3.8345990088720965e-8,-0.5328095382267278,0.384,0.664,0.0011210833662338461,PTGDS
4.851364414206595e-8,-0.513652695316043,0.8,0.894,0.0014183449001374403,PALLD
5.2404077997462225e-8,0.4147125313664688,0.312,0.127,0.0015320856243338057,LRRC1
5.447860720276002e-8,-0.8054012383063908,0.232,0.478,0.0015927365601798918,KCNMB2
5.5383627652145216e-8,-0.5517261712472241,0.088,0.327,0.0016191957380381175,LINC01151
6.200541670628795e-8,-0.4104647694890199,0.152,0.423,0.0018127903628250344,CCDC93
6.23867717737956e-8,0.40271577626068633,0.36,0.162,0.001823939659578688,CALCOCO2
6.932123163611037e-8,0.312749053615448,0.248,0.083,0.0020266755281133225,RPS21
8.046830392985545e-8,-0.45337613707976243,0.6,0.795,0.002352571333693254,LMO7
9.357564480422232e-8,0.4896985041907288,0.504,0.292,0.0027357775514962436,ATP1A2
1.3037575508065907e-7,0.5609977627593359,0.576,0.377,0.0038116655755381485,RPL41
1.4048470007869383e-7,-0.5542367381636408,0.16,0.409,0.004107210691500693,LINC02147
1.4188714598549295e-7,-0.39797541551590715,0.144,0.39,0.004148212600031872,FUS
1.5125364537140343e-7,-0.5252525269001882,0.424,0.637,0.004422051576078351,AC090348.1
1.7897938821577117e-7,-0.36328017632137527,0.144,0.397,0.005232641393876286,PRH1
1.8335034382423125e-7,0.31844752615240046,0.312,0.127,0.005360430652045225,RPL27
2.1160023444442621e-7,0.3323683378610493,0.424,0.207,0.006186344454217244,UQCRQ
2.6497532157580056e-7,0.5841034979920638,0.528,0.32,0.007746818501590105,RPL37A
3.700485517012912e-7,0.29355635061068985,0.152,0.037,0.010818739457538949,CALCRL
3.773693794306145e-7,-0.5103938312466536,0.496,0.699,0.011032771177033445,LDLRAD4
3.8786245976354695e-7,-0.43031556192089987,0.112,0.336,0.011339546873647058,SLC27A6
4.0085358117334345e-7,0.4160880865583827,0.448,0.238,0.01171935529918387,S100A1
4.1615927726984454e-7,-0.4424321598963883,0.776,0.837,0.012166832630261176,LDB3
4.232027030966096e-7,0.4704506195974505,0.656,0.471,0.012372754227732478,RPLP1
4.6196043523596943e-7,-0.4418638505212596,0.192,0.435,0.013505875284558802,ATP8A1
5.651385145746505e-7,-0.49880585697144164,0.368,0.6,0.016522389612104484,PPP2R3A
