p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
3.2415963768281266e-118,-1.3479233034203069,0,0.509,9.477131167294711e-114,XIST
2.4160874637606416e-86,1.4409501358634773,0.943,0.783,7.063673309050612e-82,SYNE1
3.867592364314695e-65,1.2032902328194428,0.717,0.263,1.1307293036310444e-60,CALCRL
8.597983093460071e-56,1.116902977045002,0.808,0.48,2.5137063372039864e-51,EMCN
1.4922414520077427e-53,-1.1944228682585627,0.146,0.493,4.362717109089837e-49,LPL
1.3750055999713168e-49,0.9634292308787975,0.849,0.586,4.019966372076142e-45,SYNE2
2.620832038445011e-47,0.6764200348823225,0.534,0.141,7.662264547597835e-43,CYP4B1
9.487717819427502e-46,0.7705918314003608,0.472,0.097,2.7738291816878247e-41,GALNT15
4.4965723894330686e-45,0.6099532847583662,0.362,0.023,1.314617903774652e-40,UTY
2.5428549050705876e-44,1.2702269750226054,0.527,0.149,7.43429060046437e-40,ABCB1
6.478670774050061e-44,0.8615048692992863,0.375,0.041,1.8941041875012757e-39,ADIRF
2.9202821131771717e-43,0.9051311928658589,0.63,0.255,8.53773678608478e-39,EPHA4
1.876322054829778e-42,0.7743310838141871,0.625,0.25,5.485615159500338e-38,CD34
5.810738593305386e-42,1.0454004377825852,0.618,0.265,1.6988275351387628e-37,FRMD3
1.0076153195382356e-40,-1.0011663578027044,0.54,0.77,2.9458641482019855e-36,ABLIM3
1.624320474066897e-40,-1.0101376511937992,0.395,0.656,4.74886333798198e-36,TBCD
1.2964043538448314e-37,-0.8544123513758509,0.302,0.584,3.790167768900749e-33,APOLD1
1.3647651599316001e-37,-0.933583337748244,0.255,0.555,3.990027421576026e-33,CREB5
3.7437184333144966e-37,0.603351497088874,0.524,0.178,1.0945135211638263e-32,TINAGL1
1.6020576895659827e-36,0.7571567885979305,0.933,0.75,4.683775861215107e-32,MT-ND3
7.122391867225855e-36,-0.7709525752681969,0.95,0.996,2.082302486302151e-31,PTPRM
7.145144882136998e-36,0.6930827723320925,0.569,0.242,2.088954557741573e-31,LPAR6
3.474094192497454e-35,0.7300876091634885,0.844,0.605,1.0156861781185557e-30,CAV1
1.0001167568852952e-34,0.9031270313180563,0.62,0.3,2.923941350429849e-30,RUNX1T1
1.2713860244324336e-34,0.6559016089207264,0.718,0.385,3.717024181030663e-30,LGALS3
1.4132162114116733e-34,0.6958326956022896,0.831,0.59,4.131678915683168e-30,CFLAR
2.980519051395408e-34,-0.6566433517374874,0.061,0.298,8.713845498659614e-30,LAMB1
4.870772896232481e-34,0.6497519915461626,0.636,0.296,1.424019163942528e-29,TM4SF1
6.671307589421173e-34,0.879910320698521,0.863,0.735,1.9504234868431743e-29,FOXN3
6.80285416891867e-34,0.5871792438879206,0.373,0.074,1.9888824448250624e-29,TBX3
6.85501858987446e-34,0.6838934927095565,0.408,0.103,2.004133234935697e-29,RUNDC3B
1.7706425125823313e-33,-0.5979022828218106,0.127,0.397,5.176650449785704e-29,TNNT3
3.875993018993222e-33,0.49466436693811927,0.283,0.021,1.1331853190328582e-28,PRKY
5.0985020645411715e-33,0.9606730462593663,0.638,0.325,1.4905980635892569e-28,PRKD1
1.0894263670363251e-31,-1.2769890494468235,0.051,0.265,3.1850469266674003e-27,COL25A1
1.6848289470008057e-31,0.8723699759620596,0.879,0.764,4.925765909451555e-27,LDB2
2.6126727572434584e-31,-0.9385703570691557,0.547,0.729,7.638410073076975e-27,PLEKHG1
5.280494863258322e-31,0.7203982549155525,0.6,0.286,1.543805478222203e-26,IL6ST
5.568706351441037e-31,0.9399371765456698,0.59,0.263,1.6280669889073014e-26,MGP
7.647381032172769e-31,0.8415483728861235,0.739,0.505,2.2357883185660306e-26,CYYR1
7.68261146587779e-31,-0.9208150458671511,0.211,0.485,2.2460882881640305e-26,SH3RF3
1.15029092535914e-30,-0.8119442434009829,0.65,0.855,3.362990549379982e-26,ARHGAP26
1.3173019016152483e-30,-0.6817854907274151,0.248,0.54,3.85126383956234e-26,PSD3
4.620331125921376e-30,0.9948882458656445,0.518,0.222,1.3508000079743737e-25,DACH1
7.999455737341206e-30,0.5958511222411497,0.758,0.48,2.338720879369075e-25,GNG11
1.5037818999167423e-29,0.5481745939869735,0.459,0.157,4.396456762596588e-25,SPRY1
3.3522566489875175e-29,-0.3357484557026016,1,1,9.800657538979907e-25,MALAT1
