p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
8.198277327400644e-13,0.47043661537716197,0.308,0.022,2.3968483594388524e-8,BLOC1S1
1.288667152060091e-12,0.38646469653332255,0.308,0.022,3.767547285762882e-8,RBM22
1.4994714782103048e-12,0.3826731173709485,0.308,0.022,4.3838548136956474e-8,TMEM256
3.100643770852143e-12,0.35991127749200597,0.269,0.016,9.065042128463325e-8,HIST1H1C
6.500709999270497e-12,0.28014282803166735,0.231,0.011,1.9005475753867225e-7,ZNF613
1.694248942130594e-11,0.7845452058052251,0.269,0.019,4.953306207213005e-7,AL603840.1
6.840383136309262e-11,1.5428288589811003,0.577,0.125,1.999854413731376e-6,ADIRF
9.841753783820126e-11,0.3560794159009792,0.231,0.014,2.877335136237652e-6,CINP
1.17392277319353e-10,0.2878784768112727,0.192,0.008,3.432080619708604e-6,IFI27L1
3.01879799363138e-10,1.1372056693441925,0.769,0.252,8.825757814180703e-6,RPS29
7.24682540504757e-10,0.8998878533269852,0.731,0.23,2.1186818754197073e-5,RPS26
1.7373138652188081e-9,1.383802896809808,0.808,0.333,5.079210816353707e-5,RPL34
2.4990650965553025e-9,0.27629050253606063,0.192,0.011,7.306266716289082e-5,CHRAC1
2.520030280086928e-9,0.48362946562148995,0.423,0.07,7.367560526862143e-5,C19orf33
3.6304299182344127e-9,1.172620452885094,0.808,0.331,1.0613924908950128e-4,RPL32
3.936596015081326e-9,0.5051091930319416,0.346,0.049,1.1509032109691765e-4,AL133268.4
4.029000343610383e-9,0.3978995915956061,0.231,0.019,1.1779185404579316e-4,MAF
4.556781693471277e-9,0.6268976734299839,0.231,0.019,1.3322206959032624e-4,CHRM3
1.3152979400172028e-8,1.2824890556440556,0.923,0.645,3.845405057434294e-4,MT-ND3
1.5347871288917937e-8,0.6768755412984213,0.538,0.13,4.487103650028048e-4,S100A13
1.7090942844819692e-8,1.2537565922457832,0.923,0.588,4.996708050111485e-4,EEF1A1
2.22864924912828e-8,0.4291603397986431,0.308,0.041,6.515678944751439e-4,CEMIP
2.5935289496586843e-8,1.0557516205692217,0.731,0.266,7.58244123722213e-4,RPL35A
2.7580377299954256e-8,0.5504697264318174,0.385,0.068,8.063399107414626e-4,KRT10
3.037611363622458e-8,0.295655827402992,0.115,0.003,8.880760582686617e-4,AC108134.2
3.0963863892911704e-8,1.2201821813493057,0.808,0.377,9.052595247731666e-4,RPLP2
5.5704661188583484e-8,0.3283995870225194,0.154,0.008,0.0016285814745094268,FKBP1B
6.072521319731232e-8,0.3933359443754242,0.308,0.043,0.001775362333036623,HIST1H4C
6.180896777800918e-8,0.5706975346595184,0.5,0.117,0.0018070469819578764,SH3BGRL3
6.185715953878482e-8,0.48673066371708706,0.346,0.057,0.001808455916275913,NDUFB1
1.0426980603494889e-7,1.155660035380674,0.808,0.404,0.0030484320492377656,RPS12
1.1899224470607802e-7,1.0992902237824762,0.962,0.618,0.003478857266226897,TPT1
1.2579653497019342e-7,-0.6156482502226739,1,1,0.003677787496388575,MALAT1
1.3255794357466563e-7,0.3560794159009792,0.192,0.016,0.003875464038348924,CCN3
1.4049205508159905e-7,1.2014328027008019,0.885,0.501,0.00410742572236563,RPL41
1.4066192996371515e-7,0.33329954724468625,0.269,0.035,0.004112392184419176,NDUFA7
1.7623662400199538e-7,1.9306921626722289,0.769,0.358,0.0051524539393223365,MGP
1.9707888909548595e-7,0.9323902880655327,0.692,0.257,0.005761798401595628,RACK1
2.0049158518377888e-7,1.0348421730327058,0.885,0.461,0.005861571984432959,RPL13A
2.2039334655905934e-7,1.3657332549492365,0.846,0.425,0.006443419880000659,RPS28
2.3665602407902487e-7,0.9719856238304035,0.769,0.312,0.006918875519974371,RPS15
2.3996151621734916e-7,0.9281840113762037,0.692,0.255,0.00701551488813042,RPL36
2.691788872338541e-7,1.3169795962120388,0.769,0.363,0.007869713947168958,RPS27
2.8392414993275616e-7,0.5738219431159557,0.423,0.1,0.00830080644743406,OST4
3.394347316595086e-7,1.2133718911391427,0.846,0.453,0.009923713814797393,VIM
4.102609768661892e-7,0.7349528889285871,0.577,0.176,0.011994389919659907,RPL27
4.1264096915423193e-7,1.1004136379745564,0.808,0.409,0.012063971374193124,RPS23
4.1277896743972644e-7,0.8438130006701305,1,0.986,0.012068005892067843,PLCG2
4.487211315846339e-7,1.0356239097307212,0.654,0.249,0.013118811003008357,RPS17
4.942722517659739e-7,1.0377162886919613,0.769,0.355,0.014450543552630013,RPS25
5.271969948380944e-7,0.9201466923107852,0.731,0.312,0.015413131341086529,RPL37
5.733270436423901e-7,0.5517592863307629,0.462,0.114,0.01676178944792892,NOP53
6.247739131566949e-7,0.345295507556918,0.308,0.051,0.01826589012504913,PLLP
6.459702191144475e-7,1.128733314122203,0.769,0.401,0.018885585326029988,RPL37A
6.567422547044615e-7,0.26861657465063987,0.192,0.019,0.019200516558539635,PCBD1
6.805577168535186e-7,0.3416104607490622,0.308,0.051,0.01989678540992947,MTRNR2L8
6.972005868018579e-7,0.4291603397986431,0.308,0.054,0.020383356355739117,SNHG6
7.257907752137964e-7,1.1416728902403097,0.769,0.42,0.02121921910415055,RPS11
7.657265741804242e-7,0.9682668563611507,0.5,0.165,0.022386782122738882,RPS21
7.857435427230322e-7,0.7126702629673037,0.462,0.13,0.02297199821505057,RPS10
8.10354693331233e-7,0.5205392336015474,0.538,0.149,0.023691529814231928,GNG5
8.346253023426518e-7,0.8490026194160954,0.846,0.404,0.02440110533928977,RPS27A
8.856108925938248e-7,0.47505195917576193,0.269,0.041,0.025891720055873063,ARHGEF37
9.549772322006932e-7,1.06453660164596,0.808,0.379,0.027919714360619467,LIFR
9.60876822216079e-7,0.8312372764485894,0.846,0.382,0.028092194774309284,RPS14
1.2042464365448422e-6,0.9039818728797784,0.923,0.626,0.03520734881882501,MT-CYB
1.2373344780542708e-6,0.7452431967556564,0.808,0.355,0.03617471080039466,RPL8
1.603116070682553e-6,0.86767927241665,0.577,0.192,0.04686870144247512,RPL12
1.9726820235433647e-6,0.5269135633502898,0.269,0.043,0.05767333164031381,RASSF9
2.2732660660860393e-6,0.26861657465063987,0.192,0.022,0.06646120670809144,GPR17
2.310316993580618e-6,0.36033766881796725,0.308,0.057,0.06754442762432294,MARCH2
2.5208545968177298e-6,0.8948038441963219,0.731,0.312,0.07369970499256315,RPS20
3.261914783965179e-6,0.565369717849416,0.346,0.073,0.09536534062400596,MT1E
3.3844498884174135e-6,0.28271677169549353,0.231,0.033,0.0989477769377715,OR2A1-AS1
3.577536268868034e-6,0.38451905221835303,0.423,0.103,0.10459285035662584,RRAS
4.126232880431923e-6,0.8679217625493141,0.769,0.352,0.12063454449230769,RPL21
4.247845607076132e-6,0.9317346665859971,0.654,0.276,0.1241900141684778,RPL29
4.411995997462041e-6,0.6046448665828559,0.692,0.271,0.12898911498180024,APOL3
4.412707979157524e-6,0.9000391188622109,0.654,0.274,0.12900993047864937,MTRNR2L12
5.005196119725044e-6,-1.230158113662239,0.077,0.585,0.14633191375628138,ABLIM3
5.4266440203811494e-6,0.6902030729454139,0.385,0.095,0.1586533645798633,FBXL20
5.573624551921176e-6,0.8172341128889451,0.885,0.488,0.1629504873999675,MT-ND1
5.878051099898004e-6,0.3785767871030099,0.269,0.049,0.17185070195661806,CYP1B1
6.330060521757468e-6,0.6862586321365082,0.346,0.079,0.18506564941410134,PDGFD
6.378101648408465e-6,1.0018008462979977,0.885,0.504,0.18647017979286987,RPL10
6.428732685956742e-6,0.2902308253528002,0.231,0.035,0.18795042880663132,MKRN1
6.428732685956742e-6,0.2902308253528002,0.231,0.035,0.18795042880663132,ARL3
6.569769413702557e-6,0.3859374920542638,0.269,0.049,0.19207377857900795,CFAP97
7.257051244251738e-6,0.6895337641693691,0.692,0.285,0.21216715017694382,RPS7
7.4349814582739544e-6,0.3053773691066657,0.192,0.024,0.21736911791409733,UQCC2
7.672283720571738e-6,0.8111459151494124,0.731,0.374,0.22430688685463532,RPS19
7.892411815939246e-6,0.27897437000967695,0.231,0.035,0.2307425518507998,MAZ
8.326267584190235e-6,0.6827836940791886,0.615,0.225,0.2434267590913857,MTSS1
8.473969886158625e-6,1.080393779850744,0.731,0.39,0.24774498359173355,RPS18
8.616216615258556e-6,0.976560001216052,0.846,0.504,0.2519037089636991,CD59
9.691617076169641e-6,1.1243345182696427,0.885,0.569,0.28334411683889565,TXNIP
9.948654974956545e-6,0.7077383595469596,0.577,0.211,0.2908588768478295,RPS5
1.0244101843076367e-5,0.7001810083688775,0.692,0.301,0.29949656148418063,RPS4X
1.3638220974626366e-5,0.49459132111794224,0.346,0.084,0.39872702841417645,NAA38
1.3968650796767317e-5,0.8996097613080907,0.962,0.743,0.40838747469428927,MT-CO2
1.5104442712194e-5,0.26861657465063987,0.154,0.016,0.4415934871337038,SSTR1
1.632190434976355e-5,0.4233151018682943,0.192,0.027,0.4771871955696872,LIFR-AS1
1.648966635758316e-5,0.28014282803166735,0.115,0.008,0.4820918856303013,RIDA
1.8186872488828484e-5,0.5282456918298762,0.423,0.122,0.5317114040833896,CHURC1
1.841382076545728e-5,0.3826731173709485,0.192,0.027,0.5383464638989091,MOB3B
1.91783982837745e-5,0.47378285883803584,0.346,0.087,0.5606996522244313,CFLAR-AS1
1.9225982745329318e-5,0.6615719346676914,0.808,0.39,0.562090831542448,LGALS3
2.0009504405978687e-5,0.2571816795883561,0.192,0.027,0.5849978708131929,CYBC1
2.0376159349467398e-5,0.2530459050191509,0.269,0.051,0.5957173947410288,ZDHHC6
2.052906710494457e-5,0.2902308253528002,0.192,0.027,0.6001878058801594,DEXI
2.077789387594361e-5,0.9730645768887433,0.692,0.325,0.6074625053570873,RPL23
2.0861694141025423e-5,0.8658770297826645,0.654,0.314,0.6099124899070193,RPL28
2.433340118541945e-5,0.5756624728572495,0.346,0.092,0.711411317056923,ACTR10
2.4390116233182674e-5,0.9832649672260791,0.769,0.347,0.7130694381933287,S100A6
2.5674838826630194e-5,0.322043091901563,0.231,0.041,0.7506295879353604,IFI27L2
2.6845231547309383e-5,0.6931815411845134,0.615,0.238,0.7848471895171372,ENTPD1-AS1
2.7134586430661804e-5,0.611531252168096,0.346,0.092,0.7933067688868285,MT-ATP8
2.717031077072203e-5,0.7132173883621415,0.692,0.279,0.7943512056928294,FTL
