p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
1.3264649600148955e-89,1.6827211985587112,0.632,0.042,3.8780529570995485e-85,LINC00278
7.605002413531903e-75,1.1272911954617084,0.606,0.055,2.2233985056201873e-70,UTY
1.792752220545577e-48,0.833800855059929,0.452,0.051,5.241290391987049e-44,USP9Y
1.2687064638229673e-37,-1.5628093584826057,0,0.606,3.709190217632827e-33,XIST
1.302166695921088e-35,0.3896018590244742,0.271,0.019,3.807014552194893e-31,VNN2
6.970992898822154e-31,0.33190681630091706,0.239,0.017,2.038039483899645e-26,RPS4Y1
1.1194032671903452e-30,0.6110500446914829,0.277,0.029,3.2726873919576933e-26,TTTY14
7.273705489823314e-29,0.5761265304035836,0.323,0.047,2.126540537004744e-24,ADAMTS2
2.5410132282743653e-28,-0.8026113016976346,1,0.999,7.428906274182934e-24,MALAT1
6.671385978189817e-28,0.8073549220576044,0.542,0.169,1.9504464045835748e-23,AL034397.3
7.045742820087977e-28,0.6099412433958273,0.361,0.067,2.059893370880921e-23,S100A9
1.4064422114370177e-27,0.3646891927768696,0.2,0.013,4.111874449357265e-23,TTTY10
7.828430472040085e-27,0.4810024834568228,0.239,0.024,2.2887199328056395e-22,DLGAP2
1.4252013401043492e-26,0.6043722107419454,0.31,0.049,4.1667186379290753e-22,TPST1
3.074132502915191e-26,0.4758649665736707,0.394,0.085,8.987533785522851e-22,METTL7A
6.901539110757095e-25,0.5486697786652175,0.458,0.123,2.0177339744209442e-20,AC053513.1
2.522779194204833e-24,0.29860124304344543,0.213,0.021,7.37559725217725e-20,ZFY
2.6401756600221015e-24,0.30115301081951507,0.213,0.021,7.718817559640616e-20,KDM5D
1.9919079774267275e-23,0.5315630280301253,0.323,0.063,5.823542162804781e-19,CLEC12A
6.79644973997015e-23,0.8186882057079355,0.529,0.182,1.987010045977673e-18,DEPTOR
3.2932194169920774e-22,0.7544708724766404,0.703,0.321,9.628056287518037e-18,RPS29
1.6657341475147492e-21,0.3741929388636043,0.252,0.039,4.869940353674121e-17,AL392172.2
9.861621635206675e-21,0.30571614921057433,0.2,0.023,2.8831437012690237e-16,PRKY
2.200807602924533e-20,0.33781620659619976,0.303,0.063,6.434281107910165e-16,SNHG25
