p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
1.15E-21,0.268740535,0.324,0.112,3.37E-17,ZMIZ1
8.55E-17,0.268494637,0.27,0.103,2.50E-12,KRT10
2.51E-11,0.268375392,0.118,0.032,7.34E-07,CLSTN2
1.64E-12,0.267290844,0.333,0.167,4.80E-08,INO80D
3.78E-12,0.267168146,0.265,0.121,1.10E-07,COPG2
4.79E-11,0.266681009,0.409,0.236,1.40E-06,RPL12
1.47E-11,0.265815617,0.466,0.269,4.29E-07,MIRLET7BHG
1.49E-10,0.264929426,0.608,0.406,4.35E-06,NEURL1B
3.59E-10,0.264852824,0.507,0.309,1.05E-05,ADGRL2
4.57E-04,0.264327014,0.659,0.592,1,DACH1
8.52E-11,0.263773632,0.593,0.385,2.49E-06,RPL17
9.14E-13,0.263715587,0.248,0.106,2.67E-08,DIAPH2-AS1
5.77E-20,0.263374283,0.23,0.067,1.69E-15,H19
6.55E-16,0.262543909,0.392,0.188,1.91E-11,MEF2D
5.02E-24,0.261251174,0.147,0.02,1.47E-19,IL33
3.45E-12,0.260675133,0.581,0.356,1.01E-07,RPS12
1.26E-15,0.260196706,0.316,0.136,3.69E-11,SMAD3
1.13E-09,0.259575657,0.52,0.345,3.30E-05,PABPC1
1.95E-15,0.259206243,0.304,0.128,5.71E-11,TFCP2
2.35E-18,0.259081875,0.262,0.092,6.87E-14,COX17
6.44E-10,0.25765167,0.26,0.131,1.88E-05,CHURC1
2.93E-15,0.257472701,0.23,0.083,8.56E-11,IFT80
1.66E-15,0.256673202,0.316,0.14,4.85E-11,ISYNA1
3.91E-14,0.256293368,0.176,0.056,1.14E-09,CCDC192
7.81E-21,0.2562258,0.211,0.056,2.28E-16,ROMO1
2.90E-11,0.256087863,0.37,0.207,8.48E-07,EID1
1.81E-11,0.255657058,0.27,0.129,5.28E-07,ATG13
4.02E-11,0.254142163,0.404,0.234,1.17E-06,ATP1A2
8.77E-12,0.253711185,0.502,0.3,2.56E-07,RPL29
1.57E-10,0.253533064,0.549,0.354,4.58E-06,LUC7L2
1.63E-13,0.252399147,0.333,0.163,4.77E-09,TMA7
6.86E-10,0.252066286,0.461,0.277,2.01E-05,MLLT3
5.92E-09,0.250816131,0.436,0.282,1.73E-04,VSTM4
5.63E-13,0.250727106,0.35,0.178,1.65E-08,ELOB
5.82E-05,0.25009297,0.529,0.401,1,FABP5
7.78E-06,-0.252368012,0.257,0.384,0.227517133,CNTN4
2.95E-07,-0.253528071,0.294,0.43,0.008638109,PDLIM5
8.45E-04,-0.255307151,0.299,0.376,1,SH3KBP1
1.78E-05,-0.255327512,0.333,0.453,0.520888509,DAB1
2.54E-04,-0.257234915,0.728,0.75,1,CLMN
2.34E-06,-0.25823935,0.047,0.129,0.068318796,TRPC4
0.018797771,-0.259586347,0.453,0.498,1,PDE10A
7.19E-09,-0.259888289,0.027,0.126,2.10E-04,COL12A1
0.134078649,-0.260979277,0.385,0.405,1,ACTA2
5.80E-04,-0.26167539,0.532,0.561,1,MACF1
0.001977597,-0.266217303,0.797,0.76,1,RBPMS
5.61E-04,-0.26694504,0.243,0.313,1,BACH1
0.016875905,-0.267336087,0.375,0.412,1,TNNI3
7.18E-05,-0.267351203,0.152,0.236,1,HGF
3.29E-04,-0.268195219,0.696,0.71,1,CACNA2D1
4.12E-08,-0.268386823,0.044,0.143,0.001205571,NR4A1
0.013772014,-0.270601115,0.534,0.534,1,RB1
0.002149387,-0.273430278,0.978,0.98,1,NEAT1
0.002359587,-0.274818691,0.321,0.39,1,NLGN1
2.59E-04,-0.275096677,0.392,0.469,1,EDNRB
3.11E-07,-0.276352891,0.105,0.214,0.009103554,MYOF
2.95E-05,-0.277649657,0.206,0.306,0.862901018,NTN4
0.032587511,-0.279334575,0.581,0.57,1,ITGA1
3.33E-04,-0.292602523,0.211,0.291,1,KHDRBS3
2.88E-04,-0.293682723,0.081,0.15,1,RGS6
0.018828574,-0.297735284,0.703,0.684,1,HIPK2
0.001412373,-0.303296471,0.404,0.454,1,CTBP2
7.97E-06,-0.303880344,0.358,0.457,0.233043639,DGKH
3.09E-07,-0.306226912,0.958,0.962,0.009040068,IGFBP7
4.97E-10,-0.308204627,0.066,0.194,1.45E-05,SLC2A3
0.001047621,-0.30827505,0.377,0.453,1,IL1RAPL1
4.47E-05,-0.315104945,0.431,0.504,1,PAWR
0.005794099,-0.316198049,0.75,0.727,1,PDE7B
6.40E-05,-0.317462068,0.081,0.155,1,NAMPT
0.008854259,-0.31758989,0.115,0.165,1,PGAP1
1.06E-06,-0.319055467,0.586,0.682,0.031128578,QKI
2.43E-06,-0.320535233,0.074,0.166,0.070983121,PXDNL
3.95E-06,-0.322221949,0.767,0.813,0.115410108,CPE
1.27E-06,-0.330712131,0.728,0.795,0.037248134,GPHN
2.56E-05,-0.331557169,0.51,0.567,0.749064539,ANKRD12
2.19E-05,-0.332583509,0.284,0.366,0.63933208,VCL
2.25E-07,-0.33924465,0.806,0.859,0.006569935,GUCY1A2
1.44E-06,-0.341944544,0.799,0.851,0.042143207,PTPRK
1.10E-05,-0.348051122,0.24,0.336,0.322698865,ESYT2
2.37E-10,-0.352675174,0.012,0.115,6.94E-06,AC104041.1
0.028980006,-0.352800056,0.353,0.379,1,ATP1B3
1.79E-05,-0.35362836,0.654,0.703,0.523216256,CBLB
2.36E-07,-0.357626741,0.725,0.758,0.006887364,FNDC3B
6.86E-10,-0.359911277,0.069,0.197,2.01E-05,BACH2
3.42E-08,-0.36506653,0.792,0.795,0.001000773,APBB2
8.02E-07,-0.374030907,0.115,0.221,0.023451147,NAALADL2
7.36E-08,-0.375976845,0.091,0.205,0.002151359,SAMD4A
1.81E-06,-0.378485676,0.926,0.949,0.052934196,LHFPL6
1.13E-05,-0.379745695,0.255,0.349,0.331346357,MAP3K5
0.003937348,-0.380198154,0.262,0.308,1,VMP1
4.30E-36,-0.38421615,1,1,1.26E-31,MALAT1
9.83E-09,-0.386443844,0.304,0.435,2.87E-04,SYNE2
3.66E-08,-0.386443844,0.157,0.289,0.001070205,HDAC9
0.043627772,-0.387526243,0.387,0.396,1,C11orf96
0.031355846,-0.394182652,0.855,0.845,1,PDE3A
1.03E-09,-0.394205427,0.098,0.236,3.00E-05,ARHGAP24
6.57E-07,-0.394490505,0.167,0.273,0.019208138,JUNB
2.02E-04,-0.400908649,0.358,0.43,1,ZNF385D
4.67E-09,-0.416154676,0.282,0.41,1.36E-04,STAT3
1.23E-07,-0.418772733,0.194,0.31,0.003592587,CRIM1
3.38E-09,-0.44880191,0.25,0.387,9.88E-05,PAM
6.87E-07,-0.464702487,0.463,0.52,0.020076072,TMEM165
5.18E-19,-0.465353229,0.047,0.245,1.51E-14,TGFBI
2.47E-12,-0.471892955,0.255,0.425,7.21E-08,CYTOR
3.38E-13,-0.479453006,0.556,0.673,9.88E-09,DST
1.48E-07,-0.479645213,0.25,0.367,0.004330406,ADAMTS4
2.82E-10,-0.485043623,0.39,0.51,8.25E-06,LRRFIP1
2.09E-18,-0.492844017,0.608,0.774,6.12E-14,AKAP13
6.81E-13,-0.509661115,0.667,0.747,1.99E-08,FRY
1.04E-12,-0.519478242,0.725,0.801,3.03E-08,NRP1
