p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
1.37E-19,-0.378287081,0.787,0.926,4.02E-15,FILIP1
8.84E-33,-0.37691724,0.291,0.495,2.58E-28,C6
3.32E-34,-0.376683684,0.704,0.859,9.70E-30,LTBP1
2.01E-37,-0.370534957,0.093,0.3,5.86E-33,UBA6-AS1
2.72E-26,-0.368317916,0.684,0.825,7.94E-22,NIBAN1
6.32E-31,-0.367758144,0.434,0.609,1.85E-26,SLC5A1
0.001167232,-0.367707966,0.581,0.632,1,CALD1
4.62E-10,-0.367655764,0.132,0.22,1.35E-05,AC107068.2
8.25E-27,-0.366747619,0.906,0.965,2.41E-22,FGF12
1.09E-48,-0.362794665,0.286,0.565,3.20E-44,GPI
3.75E-32,-0.362718229,0.68,0.831,1.10E-27,AC138305.1
2.34E-20,-0.361385001,0.433,0.581,6.85E-16,ABHD2
1.69E-23,-0.352577067,0.617,0.76,4.95E-19,LINC01505
1.39E-36,-0.352317567,0.613,0.81,4.08E-32,NCKAP5
5.16E-49,-0.351711623,0.397,0.662,1.51E-44,RNPC3
7.33E-30,-0.351463662,0.689,0.803,2.14E-25,MYLK3
2.11E-37,-0.351226018,0.326,0.557,6.18E-33,MIR100HG
1.45E-33,-0.350275506,0.604,0.771,4.24E-29,AIG1
2.80E-40,-0.349446444,0.373,0.614,8.19E-36,GMDS-DT
2.72E-43,-0.349028,0.302,0.555,7.96E-39,DCUN1D2
9.65E-18,-0.348990502,0.49,0.605,2.82E-13,FKBP5
4.53E-31,-0.348400292,0.447,0.648,1.32E-26,CFAP61
1.11E-23,-0.345787222,0.494,0.688,3.26E-19,MACROD2
4.55E-29,-0.343286676,0.184,0.387,1.33E-24,AC021134.1
0.566968844,-0.342295117,0.204,0.204,1,ZNF385D
1.55E-36,-0.340939897,0.442,0.658,4.54E-32,CASZ1
8.56E-37,-0.340863647,0.43,0.655,2.50E-32,TMEM161B-AS1
1.13E-42,-0.340562882,0.453,0.695,3.29E-38,TOM1L2
5.04E-34,-0.340333472,0.601,0.77,1.47E-29,TRIO
1.65E-33,-0.33993321,0.39,0.614,4.81E-29,NAV1
6.66E-38,-0.336840697,0.864,0.944,1.95E-33,PLCL1
1.87E-16,-0.336330425,0.821,0.93,5.48E-12,SVIL
2.18E-19,-0.335089641,0.085,0.214,6.36E-15,AC104041.1
1.22E-36,-0.333112523,0.239,0.471,3.56E-32,PACS1
4.04E-28,-0.330570381,0.507,0.697,1.18E-23,WWOX
4.38E-21,-0.330067384,0.519,0.674,1.28E-16,SLC20A2
2.56E-35,-0.329293481,0.613,0.778,7.48E-31,ADPRHL1
1.98E-23,-0.3285473,0.294,0.471,5.79E-19,DDX60L
2.44E-35,-0.32582271,0.034,0.212,7.14E-31,AC093730.1
1.17E-20,-0.325668448,0.659,0.802,3.43E-16,CPED1
3.31E-22,-0.32542379,0.429,0.598,9.67E-18,GRAMD1B
1.68E-44,-0.325183301,0.663,0.842,4.92E-40,LRRFIP1
9.86E-26,-0.325083862,0.36,0.543,2.88E-21,ASB18
8.56E-30,-0.324984528,0.779,0.92,2.50E-25,TNNI3K
5.48E-25,-0.324413177,0.41,0.59,1.60E-20,UMAD1
1.06E-25,-0.324172785,0.233,0.419,3.09E-21,SDK1
2.58E-26,-0.322786835,0.763,0.875,7.53E-22,PLCXD3
8.27E-26,-0.321851083,0.08,0.242,2.42E-21,SOX5
3.82E-43,-0.318927952,0.34,0.604,1.12E-38,FCHSD2
2.84E-40,-0.315234098,0.321,0.58,8.29E-36,JPX
7.86E-37,-0.314169723,0.613,0.786,2.30E-32,CHCHD3
1.71E-29,-0.313834388,0.381,0.585,5.01E-25,ALPK3
9.15E-21,-0.311311153,0.611,0.747,2.68E-16,TANC1
4.22E-31,-0.311011909,0.781,0.906,1.23E-26,DPY19L2
1.45E-28,-0.310022584,0.249,0.445,4.24E-24,DCLK2
2.98E-38,-0.309297053,0.182,0.415,8.71E-34,FUS
6.11E-44,-0.308894629,0.131,0.378,1.79E-39,SF1
1.32E-16,-0.308851359,0.122,0.248,3.86E-12,FRAS1
1.04E-30,-0.307056854,0.611,0.804,3.03E-26,DANT2
3.88E-37,-0.306595008,0.424,0.652,1.13E-32,KIAA0232
1.51E-32,-0.30481166,0.202,0.416,4.42E-28,HEG1
3.77E-29,-0.302645883,0.385,0.588,1.10E-24,TBC1D1
8.82E-13,-0.301299931,0.388,0.501,2.58E-08,SLCO5A1
5.47E-32,-0.300580852,0.531,0.743,1.60E-27,LINC00472
4.10E-35,-0.297311972,0.018,0.183,1.20E-30,AC119673.2
1.22E-29,-0.29691864,0.5,0.69,3.55E-25,ARL15
7.60E-21,-0.295695305,0.139,0.288,2.22E-16,LINC01725
9.36E-33,-0.294676237,0.312,0.542,2.74E-28,PRH1
3.70E-34,-0.293683378,0.834,0.912,1.08E-29,ZBTB16
1.62E-24,-0.293262559,0.901,0.964,4.74E-20,MLIP
1.20E-31,-0.292593512,0.048,0.217,3.52E-27,IL1RAP
3.15E-32,-0.29232207,0.315,0.539,9.22E-28,WSB1
1.50E-08,-0.291947042,0.357,0.453,4.40E-04,ATP13A3
1.03E-25,-0.29160905,0.298,0.483,3.02E-21,FAM227B
2.83E-13,-0.29160905,0.1,0.202,8.28E-09,NID1
3.51E-21,-0.290737814,0.368,0.543,1.03E-16,DPH6-DT
9.38E-27,-0.290581991,0.294,0.486,2.74E-22,TSPAN9
3.26E-33,-0.290455356,0.142,0.352,9.54E-29,NUTM2B-AS1
