"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NPPB",0,2.59900090515461,0.603,0.031,0
"CNN1",0,1.15252896173642,0.586,0.011,0
"AL512603.2",3.36948603304029e-304,1.93623366043797,0.72,0.07,9.85102936619659e-300
"ADAM19",1.40938809925776e-258,1.11173159890775,0.663,0.067,4.12048704698998e-254
"NID1",3.49953591217711e-244,1.53827850067934,0.789,0.131,1.0231243192841e-239
"CCN1",4.4120786763845e-213,0.977969635093628,0.511,0.043,1.28991532182777e-208
"MYH9",3.45960307805555e-212,2.0703757616035,0.809,0.19,1.01144955590032e-207
"SH3BGR",7.34259151682428e-197,1.78863850332914,0.703,0.126,2.14668005585875e-192
"OTUD1",2.68278463951991e-194,1.07514732112825,0.549,0.062,7.84338917210041e-190
"IER3",2.89804396735294e-179,0.663664103153978,0.503,0.052,8.47272134295306e-175
"FLNC",6.85472010823636e-178,1.45716704056743,0.783,0.197,2.00404597084398e-173
"CALD1",2.99840224862921e-171,2.29582977980851,0.949,0.602,8.76612881409235e-167
"Z98949.1",1.11522799171229e-169,0.962188548159269,0.586,0.089,3.26048055657005e-165
"ANKRD1",5.11814803814268e-164,2.31849740052518,0.991,0.786,1.49634176043139e-159
"EIF2AK3",4.94281044399447e-163,1.44197469497479,0.703,0.162,1.44508006140622e-158
"HPR",1.59894748778897e-162,0.754701557565379,0.557,0.081,4.67468287529982e-158
"CREB5",3.48139651476464e-162,2.2356559078043,0.846,0.298,1.01782108505659e-157
"ATP13A3",2.73173945809388e-157,1.69391288611641,0.886,0.404,7.98651347968327e-153
"LINC00702",2.85229839547918e-147,1.31797665704456,0.76,0.208,8.33897958902293e-143
"ACTN1",1.56936462526531e-142,0.887289697994518,0.591,0.11,4.58819441842565e-138
"RRAS2",7.33653159122886e-139,1.59453722470434,0.8,0.289,2.14490837601167e-134
"ACTN4",5.96296098854568e-136,1.07405341542582,0.774,0.244,1.74333127461121e-131
"ACTA1",3.3466108004563e-135,1.4993234347956,0.977,0.538,9.78415133621404e-131
"JAK2",9.45000500807164e-135,2.02363343182126,0.851,0.425,2.76280346415983e-130
"ROR1",1.54012254099e-131,2.39987108842813,0.906,0.769,4.50270226083836e-127
"TMEM178B",4.39883953732893e-131,-1.80914437127043,0.223,0.858,1.28604472713348e-126
"AC083870.1",9.70260018191918e-130,1.29403341354278,0.783,0.274,2.83665218918589e-125
"STK38L",8.31251930682207e-128,1.31478237776217,0.829,0.35,2.4302481445425e-123
"MYPN",2.94732454122679e-127,2.04650753938567,0.906,0.714,8.61679802873064e-123
"DCBLD2",9.45953749031305e-127,1.64706589334695,0.8,0.331,2.76559038066792e-122
"PDLIM3",9.78682483852677e-126,1.53175413111525,0.871,0.427,2.86127610979169e-121
"ATP2B4",2.70132339749394e-125,1.59160747427427,0.797,0.325,7.8975890849133e-121
"FHL1",9.18439487650609e-125,1.44581353457722,0.877,0.469,2.68514968609532e-120
"USP15",1.49516993520993e-123,1.30797155092728,0.857,0.459,4.37127882257974e-119
"PICALM",1.66982853172047e-118,1.32296529540752,0.82,0.367,4.88191069533796e-114
"SLMAP",8.71332390012893e-118,1.25167793290984,0.923,0.754,2.54742737544169e-113
"AC092353.2",1.9725519822706e-117,-1.74254941866791,0.531,0.908,5.76695297536632e-113
"CFL2",3.73404227531761e-117,0.848986277882142,0.734,0.223,1.09168459961186e-112
"SPHKAP",2.20798637007161e-114,-1.48133679849948,0.254,0.833,6.45526895154136e-110
"PLCXD3",5.76206906843252e-114,-1.49948149552925,0.546,0.903,1.68459851284693e-109
"MYO18B",5.84089236779075e-114,2.40155945252316,0.877,0.786,1.7076432926473e-109
"DUSP27",2.39773449256202e-113,1.45143893930463,0.797,0.377,7.01001656245433e-109
"DAPK3",2.48329692995701e-113,0.683118225531779,0.577,0.129,7.26016690442232e-109
"DLG1",6.92369270618695e-113,1.8890241618127,0.843,0.494,2.02421079958082e-108
"MLIP",1.03897545795623e-109,-1.16744242017521,0.92,0.965,3.03754864888084e-105
"FYB2",6.27483502437244e-108,-1.3094024065225,0.1,0.755,1.83451076772553e-103
"ATP8B1",7.45208649105884e-108,0.984875515372311,0.509,0.107,2.17869200652596e-103
"FNDC3A",1.180107447228e-106,1.46043435637546,0.863,0.578,3.45016213271578e-102
"NRAP",3.72266186676983e-106,1.62529313194934,0.926,0.73,1.08835742336883e-101
"PPM1K",6.59434751547552e-106,-1.29362081685933,0.354,0.86,1.92792343962442e-101
"PLCL1",2.7906328135711e-104,-1.18251998665474,0.843,0.949,8.15869409375647e-100
"LINC02208",5.37370501123427e-104,-2.17728815350306,0.28,0.824,1.57105639708445e-99
"XIRP1",3.062155287763e-103,1.01959180741001,0.597,0.157,8.95251719930392e-99
"AOPEP",4.25933195084707e-103,1.22084757938287,0.94,0.898,1.24525828914965e-98
"PDE4D",9.58949320744235e-102,2.21617461656701,0.863,0.749,2.80358423412785e-97
"TNNT1",1.66525883704375e-100,0.934688331383545,0.729,0.265,4.86855073598111e-96
"SVIL",5.06247007731475e-100,1.36367836553476,0.94,0.924,1.48006375180374e-95
"XIRP2",4.99262810896026e-99,2.67988445561231,0.86,0.516,1.45964475393562e-94
"MSRB3",8.03113642651307e-99,1.2056574837792,0.857,0.635,2.34798304565536e-94
"RUBCN",1.05494621006632e-98,0.893415694454817,0.597,0.167,3.08424073974988e-94
"PALLD",9.94272540555985e-98,1.88067910931736,0.943,0.951,2.90685519956948e-93
"KCND3",1.52162141877806e-97,-1.16926253150992,0.129,0.734,4.44861237993953e-93
"FHL2",5.15558798544133e-97,-1.64756102801862,0.794,0.964,1.50728770342363e-92
"EGLN3",5.94166316628004e-97,0.925399169233884,0.586,0.162,1.73710464329363e-92
"CHRM2",6.71266236018467e-96,-1.46469377016278,0.383,0.84,1.96251396762359e-91
"AC018464.1",2.11262132621551e-94,1.29165615593731,0.914,0.731,6.17645970932365e-90
"HIPK2",2.02444098737279e-93,1.23336936257382,0.811,0.526,5.9186556706831e-89
"TXNIP",4.48730137657569e-93,-1.01115863136995,0.409,0.882,1.31190743045567e-88
"ABLIM1",3.11730208915275e-92,-0.826205065956503,0.949,0.984,9.11374438784698e-88
"MYL9",6.86761436517007e-89,0.816483030111653,0.8,0.37,2.00781573580112e-84
"AC092353.1",1.05351926471343e-88,-1.06628869481196,0.157,0.734,3.08006892231618e-84
"LRMDA",3.50548017569368e-87,-1.13086344438355,0.143,0.729,1.0248621841658e-82
"TANC1",3.47811913949548e-86,1.11201082725551,0.86,0.727,1.0168629116229e-81
"ZNF385D",4.38330302656827e-86,1.92420652905235,0.56,0.177,1.2815024728475e-81
"TSC22D2",1.06414303393069e-85,0.920148273068407,0.754,0.339,3.11112857399977e-81
"DDX60L",1.09882002735672e-85,1.1827732868359,0.771,0.417,3.2125102319801e-81
"VCL",2.55123181054875e-85,0.957184234338539,0.917,0.814,7.45878132132032e-81
"ADRA1A",4.45644843235234e-85,-0.975594991666166,0.14,0.7,1.30288726368253e-80
"RNF115",6.57198537257674e-85,1.0854900630549,0.843,0.5,1.92138564352654e-80
"RICTOR",2.23703446509916e-84,1.308392969629,0.829,0.667,6.54019396216392e-80
"PLCL2",1.9932749006983e-83,-0.988054378437992,0.417,0.85,5.82753849968154e-79
"MYOM1",3.21584531437738e-83,1.64095474520039,0.951,0.938,9.40184536111371e-79
"MGAT5",3.87691853337651e-82,-0.957906245986362,0.243,0.762,1.13345590241796e-77
"CASQ2",1.56916372972915e-81,1.0298880109336,0.886,0.752,4.58760708023615e-77
"ABHD2",2.34911631637425e-81,1.15486372196643,0.826,0.54,6.86787646255175e-77
"PAM",1.00531931200199e-79,1.1411633978889,0.92,0.92,2.93915154056903e-75
"AC009264.1",3.84210728801881e-78,-1.05026667708762,0.123,0.67,1.12327848672518e-73
"ASB2",4.75083110221878e-78,0.660305534998684,0.654,0.235,1.38895298104468e-73
"PPP1R12B",3.38098604875447e-77,-0.970160458962928,0.869,0.95,9.88465081213857e-73
"SLC20A2",2.35456947943581e-76,1.20198847618733,0.84,0.642,6.88381933007854e-72
"SMC5",6.18806176143029e-76,0.683006295542154,0.577,0.186,1.80914173657176e-71
"AC090348.1",1.0280008787267e-75,-0.987393149640181,0.497,0.845,3.00546336904538e-71
"PLCG2",2.13138056848019e-74,-1.28886409027662,0.974,0.993,6.23130423000869e-70
"LRRC39",2.41394784406373e-72,-0.82044845234086,0.28,0.746,7.05741791690472e-68
"CYP2J2",3.26941614013752e-72,0.806984405200392,0.794,0.469,9.55846502730605e-68
