"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"ANKRD1",2.48675345638132e-85,1.21414241323041,0.829,0.217,9.10176632570127e-81,2.22843921691601e-35,1.30862392538399,0.888,0.325,8.1563103778343e-31,2.22843921691601e-35,4.97350691276267e-85
"RBFOX1",4.54944003978253e-85,1.55762681939173,0.829,0.237,1.6651405489608e-80,2.70046752160538e-29,1.26193300543651,0.827,0.304,9.88398117582787e-25,2.70046752160538e-29,9.09888007956499e-85
"HAND2-AS1",5.54968973824556e-85,1.32780479694137,0.795,0.205,2.03124194109526e-80,9.7751105772866e-32,1.06450796614552,0.806,0.268,3.57778822239267e-27,9.7751105772866e-32,1.10993794764911e-84
"AC117464.1",6.02719745592469e-85,1.00040550816133,0.624,0.122,2.206014540843e-80,1.35302129551083e-28,1.05095467002264,0.643,0.194,4.95219324369918e-24,1.35302129551083e-28,1.20543949118494e-84
"SH3RF2",7.86069593526508e-85,1.20094830894596,0.752,0.195,2.87709331926637e-80,1.10199303053329e-34,1.17502718639204,0.704,0.222,4.03340469105489e-30,1.10199303053329e-34,1.57213918705303e-84
"PPP1R1C",1.05355571606269e-84,1.19491752685187,0.667,0.144,3.85611927636105e-80,7.83099059896547e-32,1.07843600327546,0.663,0.201,2.86622086912735e-27,7.83099059896547e-32,2.10711143212538e-84
"COL21A1",2.2017988273073e-84,0.981951553367138,0.686,0.151,8.05880388782744e-80,1.61551179560943e-11,0.457260625643738,0.52,0.222,5.91293472311007e-07,1.61551179560943e-11,4.40359765461455e-84
"VWC2",6.12109953548057e-84,1.20558345480621,0.624,0.126,2.24038364098124e-79,6.18081775864202e-29,0.876442330828481,0.684,0.215,2.26224110784056e-24,6.18081775864202e-29,1.2242199070961e-83
"CFAP61",6.22114748882311e-84,1.07866300520548,0.629,0.13,2.27700219238415e-79,2.00513155830116e-20,0.836067185303924,0.622,0.219,7.33898201653807e-16,2.00513155830116e-20,1.24422949776464e-83
"PPP1R12B",1.5212472017875e-83,1.92487481068666,0.938,0.411,5.56791688326245e-79,4.21141714119542e-30,1.43443079466428,0.929,0.438,1.54142078784894e-25,4.21141714119542e-30,3.04249440357499e-83
"PATJ",5.06074652826483e-83,1.44711679284493,0.829,0.253,1.85228383681021e-78,1.03740242400509e-21,0.993972889047744,0.776,0.314,3.79699661210102e-17,1.03740242400509e-21,1.01214930565297e-82
"DGKG",5.22396030174553e-83,1.45472871937679,0.695,0.163,1.91202171004188e-78,2.32760916266478e-19,0.647781099562511,0.663,0.243,8.51928229626937e-15,2.32760916266478e-19,1.0447920603491e-82
"SLC8A1",8.76011010834416e-83,2.27380889972439,0.943,0.476,3.20628790075505e-78,2.38965510413938e-29,1.42908449263855,0.949,0.495,8.74637664666053e-25,2.38965510413938e-29,1.75202202166884e-82
"SORBS2",1.2489956309873e-82,2.16933338214443,0.943,0.415,4.57144890897662e-78,1.92981378321849e-37,1.61360814013668,0.959,0.376,7.06331142795801e-33,1.92981378321849e-37,2.49799126197459e-82
"S100A1",2.51042027128694e-82,0.851215116547166,0.776,0.208,9.18838923493731e-78,9.03474548691708e-39,1.06471549558691,0.684,0.199,3.30680719566652e-34,9.03474548691708e-39,5.02084054257394e-82
"AL133257.1",6.16371377594476e-82,1.02862979174358,0.605,0.123,2.25598087913354e-77,1.88370475035576e-13,0.443106521637317,0.5,0.19,6.89454775677711e-09,1.88370475035576e-13,1.23274275518896e-81
"TMEM182",2.37828585646826e-81,1.03275278604926,0.662,0.144,8.70476406325949e-77,8.51150534559751e-29,1.02802076421713,0.714,0.238,3.11529607154215e-24,8.51150534559751e-29,4.75657171293648e-81
"TMEM71",3.75509952383389e-81,1.27748528939115,0.786,0.207,1.37440397671844e-76,6.0153729182354e-28,1.22303072270434,0.816,0.292,2.20168664180334e-23,6.0153729182354e-28,7.51019904766786e-81
"RAMP1",3.43566523953602e-80,0.875546742754916,0.686,0.159,1.25748783432258e-75,8.04575666379995e-25,0.733808607198741,0.653,0.22,2.94482739651742e-20,8.04575666379995e-25,6.87133047907212e-80
"CHCHD10",6.77182354531905e-80,1.21317151413343,0.914,0.352,2.47855513582223e-75,1.30746858193785e-40,1.39682658110156,0.898,0.349,4.78546575675073e-36,1.30746858193785e-40,1.35436470906383e-79
