p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
2.2695763615560547e-44,1.759711028906501,1,0.979,6.635333450645281e-40,PLCG2
1.3262603891153023e-35,-1.4748187276042608,0,0.59,3.877454873617498e-31,XIST
5.331969539962997e-33,1.5700638779242584,0.87,0.364,1.5588546147035817e-28,TIMP3
1.0038354472859988e-30,1.3948419836019674,0.938,0.718,2.934813313685346e-26,TMSB10
1.03832150921866e-27,1.111663573293627,0.964,0.518,3.035636764351675e-23,TXNIP
3.3606881719953506e-25,0.9946245926377247,0.798,0.308,9.825307939645607e-21,GNG11
4.8052148286457976e-24,-1.3406073781168586,0.622,0.908,1.4048526073028854e-19,ARHGAP26
4.74749507919909e-22,0.9919728743714514,0.845,0.451,1.387977661354646e-17,RPS28
2.918723806791765e-20,1.0835860265655444,0.71,0.262,8.533180921536403e-16,ADIRF
4.6025897054738056e-20,-2.0176700967827914,0.249,0.615,1.3456131262923218e-15,COL4A1
2.609251178678485e-19,0.7107864943543551,0.492,0.072,7.62840674598442e-15,UTY
2.7563079306933943e-19,-1.3836761000087447,0.259,0.651,8.058341866175207e-15,NAMPT
2.4323776379198066e-18,0.6726686572141287,0.42,0.046,7.111299262222346e-14,CYP4B1
1.556612534486691e-17,-2.569447883913043,0.394,0.692,4.55091240582529e-13,ADAMTS9
2.40132151833467e-17,-1.3116763761462096,0.72,0.846,7.020503591003241e-13,PITPNC1
3.001382292285105e-17,0.760827653874991,0.715,0.318,8.774841269724732e-13,RPS29
3.541348161633993e-17,-1.287689493538901,0.57,0.81,1.0353485485353142e-12,SH3RF3
5.179048496253035e-17,0.9650676563109091,0.927,0.585,1.5141466183645373e-12,MIR99AHG
1.316560011581353e-16,-1.0511098373583578,0.047,0.39,3.849094849859244e-12,SLC4A7
3.0556549636107657e-16,0.8038183990793633,0.772,0.395,8.933512851612434e-12,S100A10
8.096636424552628e-16,0.8222281985391342,0.71,0.333,2.367132625082206e-11,IFITM2
8.727288239928044e-16,-1.9235205055998776,0.358,0.631,2.551509989825363e-11,COL4A2
1.6341932545406164e-15,0.8269692315303729,0.819,0.462,4.777727398974946e-11,KLF12
3.268124870055146e-15,0.7939329891789946,0.694,0.318,9.554689870093225e-11,LINC02208
4.563657607930503e-15,-0.9909794497639074,0.218,0.554,1.3342309382545618e-10,SSH1
6.797998162125287e-15,0.920014090140089,0.585,0.226,1.987462742678949e-10,CRIP1
7.40796487688198e-15,1.0857567626380402,0.534,0.174,2.1657926114052157e-10,AC005699.1
8.188932651841715e-15,0.9191291820929899,0.824,0.518,2.3941163500924436e-10,STOX2
9.201783369534563e-15,0.8443389001448831,0.829,0.569,2.690233385917125e-10,RPL41
1.0341364923618824e-14,0.8588820808675922,0.705,0.385,3.0234014490691994e-10,RPS27
2.0738423190578598e-14,0.7985143320203558,0.855,0.579,6.063085403997559e-10,IFI27
2.2492416761630472e-14,0.9526963873303029,0.953,0.923,6.575882964430285e-10,PTPRG
2.3383752552442662e-14,-1.1913326404554003,0.684,0.831,6.836473896232137e-10,BMPR2
2.3392945882429614e-14,0.6448263156032215,0.974,0.897,6.839161658187122e-10,B2M
2.5368484017226654e-14,1.2639336482800583,0.477,0.133,7.416729987276384e-10,LINC02197
2.6678488365860666e-14,0.5689039176507955,0.451,0.108,7.799722858643024e-10,RPS10
3.518664584614535e-14,-1.0250931308361142,0.223,0.559,1.0287167779579054e-9,PLXNA2
6.081133246570894e-14,-1.037008515216665,0.492,0.759,1.7778801159674666e-9,DLC1
7.751179145380167e-14,1.1536223820406648,0.575,0.221,2.2661347349433456e-9,IGFBP5
7.772034274659772e-14,-0.9408688038335552,0.347,0.667,2.272231940539531e-9,ENG
8.470876090124748e-14,0.686352504283739,0.725,0.369,2.4765453337088713e-9,RPL30
9.596735317409136e-14,0.41910402080379144,0.301,0.021,2.805701537397735e-9,H1FX
