"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC2A9",2.03643215593673e-47,0.772808762950859,0.704,0.369,5.95371305109661e-43
"IQGAP2",9.4874722887443e-47,0.905566467849486,0.898,0.68,2.77375739833728e-42
"IL10RA",9.66247749389093e-47,0.604048009790178,0.748,0.385,2.82492192011395e-42
"ORMDL1",1.11459896213237e-46,0.531559989368303,0.604,0.248,3.25864152569018e-42
"CTTNBP2",1.76345184262157e-46,0.666171931368665,0.648,0.292,5.15562780708843e-42
"MPPED2",4.12072652951108e-46,1.2825310562008,0.699,0.42,1.20473560816786e-41
"RCSD1",5.23301195522397e-46,0.719724428255818,0.713,0.365,1.52992337522928e-41
"MANBA",5.97887710549114e-46,0.708200826814404,0.824,0.512,1.74798451056139e-41
"TPST1",6.19074247873333e-46,0.636140402930929,0.301,0.058,1.80992547108248e-41
"ATM",1.16253050944285e-45,0.660481460652936,0.819,0.502,3.39877419740713e-41
"TLR2",1.98964493516665e-45,0.693870224667315,0.887,0.589,5.81692593245321e-41
"MIS18BP1",4.43789108639309e-45,0.593394526347879,0.542,0.205,1.29746183801788e-40
"ABCD2",6.41498454995846e-45,0.398957194791493,0.199,0.018,1.87548488302585e-40
"GLIPR1",9.62069007716093e-45,0.469771299231561,0.604,0.243,2.81270495095877e-40
"AL160272.1",1.06691893462029e-44,0.771983313470894,0.484,0.173,3.11924419725587e-40
"H2AFY",1.41163548681517e-44,0.662862801013508,0.755,0.453,4.12705750925282e-40
"RHOBTB1",4.13814366312294e-44,0.566480196227866,0.442,0.139,1.20982768135062e-39
"RNASET2",4.8150960783955e-44,0.542957551389941,0.706,0.349,1.40774148947971e-39
"AC093849.4",4.88445641958878e-44,0.429638795337098,0.34,0.079,1.42801967883098e-39
"DIRC3",1.07575358810139e-43,1.45858861791352,0.648,0.326,3.14507319017323e-39
"CLEC7A",1.89653696919614e-43,0.620727887576248,0.63,0.278,5.54471548314183e-39
"RNF13",2.73142759238107e-43,0.695908533366957,0.831,0.549,7.98560170908531e-39
"SLC18B1",2.99358528302622e-43,0.516796640097366,0.47,0.159,8.75204593345544e-39
"SESN3",1.17577768969055e-42,0.607061157459109,0.472,0.162,3.43750365357929e-38
"CMKLR1",3.95043198436323e-42,0.735156158560467,0.627,0.309,1.15494829494844e-37
"GCNT1",4.06610956679889e-42,0.560392168082766,0.588,0.247,1.18876779294932e-37
"ALDH1A1",2.00189770294325e-41,0.497745185028809,0.303,0.065,5.85274812432489e-37
"ABCA1",2.14074927338519e-41,0.759049374966061,0.81,0.511,6.25869457566895e-37
"CD36",5.47631140391598e-41,-1.48116828633733,0.127,0.489,1.60105440204888e-36
"CCDC91",9.79710863374384e-41,0.857679220955052,0.806,0.582,2.86428268016135e-36
"SLC40A1",1.07234866155061e-40,0.630512874850452,0.521,0.201,3.13511854690937e-36
"AC012368.1",1.35499469996688e-40,0.384988938755859,0.347,0.088,3.96146250482317e-36
"HCLS1",2.11049875484233e-40,0.676962463363919,0.847,0.61,6.17025415965703e-36
"TRIM14",2.29877750282056e-40,0.566887198236092,0.581,0.26,6.7207059072462e-36
"AL078600.1",3.35770242071755e-40,0.711247770154813,0.53,0.227,9.81657879720982e-36
"RBPJ",4.35316893863033e-40,1.13198495945983,0.949,0.814,1.27269247089796e-35
"DOCK8",5.50231367607168e-40,0.695134416611286,0.845,0.602,1.60865642633632e-35
"RASSF2",1.81057796842784e-39,0.476103391313798,0.56,0.232,5.29340574849564e-35
"AC110995.1",5.15523411069187e-39,0.585239495188019,0.405,0.129,1.50718424460187e-34
"SULT1B1",6.6773442020265e-39,0.448384020044368,0.211,0.029,1.95218835090447e-34
"ELMO1",8.37594838961557e-39,0.666515579930849,0.905,0.822,2.44879227118801e-34
"REPS2",2.98598122046788e-38,0.545369431749522,0.382,0.119,8.72981469615991e-34
"MT-ATP8",3.34016947506809e-38,0.456262493884034,0.472,0.174,9.76531947730907e-34
"PELI1",3.35269333885363e-38,0.724606765500384,0.778,0.489,9.80193424547246e-34
"SUMF1",4.5399666686652e-38,0.832325871109349,0.75,0.46,1.32730465525096e-33
"SRGAP2B",6.12912562990122e-38,0.603433765892371,0.729,0.423,1.79191116915792e-33
"HSD17B11",9.27067535133499e-38,0.41974815208348,0.444,0.154,2.7103746457163e-33
"AL035446.2",1.11096468862471e-37,1.04905837501726,0.648,0.356,3.2480163636632e-33
"CNIH4",2.04262341241234e-37,0.397768025637007,0.306,0.075,5.97181380852872e-33
"WDFY2",2.93047415712701e-37,0.668083649656872,0.812,0.534,8.56753424577654e-33
"CASP10",3.77244572954667e-37,0.449167171266471,0.424,0.147,1.10291223349027e-32
"PTPN18",3.83961074891343e-37,0.486333374271684,0.616,0.298,1.12254859855233e-32
"FAM117B",7.03867211929359e-37,0.559373547663564,0.454,0.166,2.05782618079668e-32
"AKAP10",7.41724576322404e-37,0.559941921259188,0.708,0.408,2.16850597133618e-32
"SGK3",9.56114697836189e-37,0.607936823158178,0.701,0.4,2.79529693059388e-32
"RHOQ",1.79211544303097e-36,0.545284615401354,0.674,0.363,5.23942870924535e-32
"SELENOP",2.24291550466603e-36,0.798499405888403,0.838,0.644,6.55738776944161e-32
"FNBP1",2.36342959508734e-36,0.551477513008472,0.866,0.607,6.90972276419734e-32
