p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.197964745402838,0.807,0.098,0,0,AC092353.1
0,1.1972505849902442,0.949,0.267,0,0,SLC25A36
0,1.190019178011581,0.691,0.094,0,0,CORIN
0,1.181747812081086,0.923,0.227,0,0,PLN
0,1.1793931453965056,0.927,0.255,0,0,TBC1D4
0,1.1781154970778265,0.931,0.208,0,0,CCDC141
0,1.1755768217094051,0.876,0.161,0,0,PIP5K1B
0,1.1751206485443286,0.855,0.133,0,0,ANO5
0,1.1703536571866913,0.885,0.193,0,0,PPM1K
0,1.166025965874793,0.85,0.122,0,0,STK33
0,1.1636032285088305,0.967,0.336,0,0,DTNA
0,1.1564099046481253,0.839,0.162,0,0,SLC8A1-AS1
0,1.14748059147009,0.944,0.218,0,0,ANK3
0,1.1387613056822148,0.894,0.267,0,0,PHACTR1
0,1.1341478264944036,0.921,0.252,0,0,SLC16A7
0,1.1333421811225852,0.912,0.154,0,0,OBSCN
0,1.1315051373266978,0.833,0.117,0,0,MLIP-AS1
0,1.125017496436604,0.944,0.325,0,0,ATP2A2
0,1.124762600451627,0.967,0.544,0,0,PRKN
0,1.121511658167989,0.949,0.314,0,0,SOX6
0,1.1184536744286455,0.772,0.075,0,0,SLC5A1
0,1.0934615382284179,0.734,0.094,0,0,AC009264.1
0,1.0932278675214764,0.669,0.138,0,0,KCNMB2
0,1.0876696110115813,0.957,0.263,0,0,MYL3
0,1.0858015487630808,0.836,0.125,0,0,PPARGC1A
0,1.0849686276207795,0.786,0.095,0,0,ADRA1A
0,1.0818235980723188,0.698,0.075,0,0,MIR1-1HG
0,1.0817648832506315,0.863,0.154,0,0,KIF21A
0,1.0805142827485472,0.86,0.188,0,0,KLHL7
0,1.08050782725969,0.487,0.078,0,0,TTTY10
0,1.0800214745367462,0.778,0.109,0,0,FYB2
0,1.0696922791842887,0.953,0.477,0,0,LARGE1
0,1.0689084134930376,0.989,0.529,0,0,SORBS1
0,1.0678856499551317,0.854,0.142,0,0,PPP1R9A
0,1.0672040459260561,0.954,0.423,0,0,PLEKHA5
0,1.0619174166932241,0.93,0.308,0,0,VWA8
0,1.061359289958182,0.954,0.369,0,0,FILIP1
0,1.0521986825210021,0.827,0.123,0,0,AC018464.1
0,1.051141138375531,0.829,0.127,0,0,ADPRHL1
0,1.0422066408583444,0.709,0.089,0,0,VWC2
0,1.0409212569007744,0.664,0.054,0,0,SLC27A6
0,1.0388086941095593,0.913,0.238,0,0,RGS6
0,1.0386743828687544,0.97,0.549,0,0,MAST4
0,1.025948087057145,0.873,0.204,0,0,PATJ
0,1.0245071230263338,0.767,0.115,0,0,NEK10
0,1.024305763072681,0.772,0.096,0,0,KLHL31
0,1.0230322417837336,0.719,0.096,0,0,MIR133A1HG
0,1.0193290711666374,0.74,0.113,0,0,GREB1L
0,1.0151340250511378,0.797,0.111,0,0,WNK2
0,1.0061728529427933,0.801,0.114,0,0,ACOT11
0,1.0053199951022183,0.953,0.345,0,0,PDE1C
0,1.0051840005853285,0.804,0.141,0,0,GAS2
0,1.004643436948499,0.928,0.265,0,0,ACACB
0,1.0035246874267942,0.863,0.201,0,0,RNF150
0,0.9952799121312641,0.929,0.299,0,0,CERS6
