"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGBL4",1.4235243462767e-16,-33.2440027878152,0.345,0.232,4.2705730388301e-13,"Chemo-Cardiomyocyte","AGBL4"
"GRB10.1",1.452564793513e-16,-5.2191274759149,0.336,0.164,4.357694380539e-13,"Chemo-Cardiomyocyte","GRB10"
"NRG3",1.56030584311012e-16,-34.0831092351792,0.266,0.02,4.68091752933036e-13,"Chemo-Cardiomyocyte","NRG3"
"FLNC.1",1.58590037531391e-16,-31.4527935748345,0.319,0.327,4.75770112594172e-13,"Chemo-Cardiomyocyte","FLNC"
"MYOM1.1",1.68593301811827e-16,-29.8969452936996,0.39,0.383,5.05779905435481e-13,"Chemo-Cardiomyocyte","MYOM1"
"GNG8.1",1.78071843755089e-16,-24.8395638190865,0.305,0.34,5.34215531265267e-13,"Chemo-Cardiomyocyte","GNG8"
"DNAH11.1",1.84867121293446e-16,-33.421734060275,0.33,0.068,5.54601363880337e-13,"Chemo-Cardiomyocyte","DNAH11"
"S100A6.1",1.86309407034225e-16,-8.50529002653965,0.26,0.202,5.58928221102675e-13,"Chemo-Cardiomyocyte","S100A6"
"OTUD7A.1",1.96351042545391e-16,-21.4464519346841,0.281,0.124,5.89053127636172e-13,"Chemo-Cardiomyocyte","OTUD7A"
"GREB1L.1",2.14993129672322e-16,-23.6322276122887,0.419,0.355,6.44979389016965e-13,"Chemo-Cardiomyocyte","GREB1L"
"THSD7B",2.3004059922935e-16,-33.494148978566,0.153,0.013,6.9012179768805e-13,"Chemo-Cardiomyocyte","THSD7B"
"RHBDL3.1",2.42791611848118e-16,-16.5964603652289,0.274,0.024,7.28374835544354e-13,"Chemo-Cardiomyocyte","RHBDL3"
"SH3RF1.1",2.43581469496017e-16,-22.5140630607298,0.338,0.216,7.3074440848805e-13,"Chemo-Cardiomyocyte","SH3RF1"
"ROBO4.1",2.64642180610305e-16,-34.5514506609219,0.164,0.008,7.93926541830914e-13,"Chemo-Cardiomyocyte","ROBO4"
"SRGAP3.1",2.71633005993896e-16,-9.22169265474815,0.37,0.351,8.14899017981687e-13,"Chemo-Cardiomyocyte","SRGAP3"
"CPNE5",2.92863301531268e-16,-27.7513744597099,0.322,0.344,8.78589904593803e-13,"Chemo-Cardiomyocyte","CPNE5"
"RBM20",3.29199948527012e-16,-6.34794023010775,0.49,0.424,9.87599845581035e-13,"Chemo-Cardiomyocyte","RBM20"
"TBX20.1",3.74539078818018e-16,-24.4529057434893,0.417,0.385,1.12361723645405e-12,"Chemo-Cardiomyocyte","TBX20"
"PLD5.1",4.29830899600536e-16,-36.7668370088223,0.264,0.017,1.28949269880161e-12,"Chemo-Cardiomyocyte","PLD5"
"AKAP13.1",4.35476831061028e-16,-30.770868432277,0.398,0.385,1.30643049318309e-12,"Chemo-Cardiomyocyte","AKAP13"
"BEND2",4.68348150746608e-16,-35.7952004371708,0.177,0.003,1.40504445223982e-12,"Chemo-Cardiomyocyte","BEND2"
"FREM1.1",4.76400168533478e-16,-35.6615241423349,0.246,0.016,1.42920050560043e-12,"Chemo-Cardiomyocyte","FREM1"
"DIP2C.1",5.29057090588937e-16,-4.77365722012939,0.439,0.397,1.58717127176681e-12,"Chemo-Cardiomyocyte","DIP2C"
"SLC36A2.1",6.04091928993952e-16,-27.1339421199784,0.169,0.012,1.81227578698186e-12,"Chemo-Cardiomyocyte","SLC36A2"
"DPYD",6.04285279573707e-16,-9.61127997076094,0.421,0.389,1.81285583872112e-12,"Chemo-Cardiomyocyte","DPYD"
"ADGRD1.1",6.41653880952862e-16,-20.7513582506432,0.403,0.392,1.92496164285859e-12,"Chemo-Cardiomyocyte","ADGRD1"
"MAGI1",6.78150049783919e-16,-4.3163444634776,0.47,0.415,2.03445014935176e-12,"Chemo-Cardiomyocyte","MAGI1"
"HTR7",7.72279312351333e-16,-36.9628022897909,0.185,0.003,2.316837937054e-12,"Chemo-Cardiomyocyte","HTR7"
"TMEM108.1",9.0379606974062e-16,-34.6585556287563,0.2,0.019,2.71138820922186e-12,"Chemo-Cardiomyocyte","TMEM108"
"GPRC5A.1",9.46331444038922e-16,-36.5734302478821,0.126,0.004,2.83899433211677e-12,"Chemo-Cardiomyocyte","GPRC5A"
"FILIP1.1",1.16249901352551e-15,-23.1239187508179,0.449,0.419,3.48749704057654e-12,"Chemo-Cardiomyocyte","FILIP1"
"AC002066.1.1",1.20857322737905e-15,-18.7789968746505,0.402,0.358,3.62571968213714e-12,"Chemo-Cardiomyocyte","AC002066.1"
"ARHGEF12",1.2982798496994e-15,-13.8421391049288,0.407,0.386,3.8948395490982e-12,"Chemo-Cardiomyocyte","ARHGEF12"
"GRIN2A.1",1.60139312298028e-15,-24.7139207705174,0.305,0.095,4.80417936894084e-12,"Chemo-Cardiomyocyte","GRIN2A"
"ERVH-1.1",1.66063514781208e-15,-29.1678245489938,0.1,0.007,4.98190544343623e-12,"Chemo-Cardiomyocyte","ERVH-1"
"CCDC68.1",1.70083715024482e-15,-33.3693781182193,0.155,0.011,5.10251145073446e-12,"Chemo-Cardiomyocyte","CCDC68"
"ANTXR2.1",1.76686355369477e-15,-34.3154249163601,0.392,0.309,5.30059066108431e-12,"Chemo-Cardiomyocyte","ANTXR2"
"APOLD1.1",1.80248983562581e-15,-34.9071019545411,0.243,0.02,5.40746950687744e-12,"Chemo-Cardiomyocyte","APOLD1"
"MYL12A.1",1.92212295315389e-15,-35.9972027793862,0.353,0.344,5.76636885946166e-12,"Chemo-Cardiomyocyte","MYL12A"
"ZBTB7C.1",1.92272591592975e-15,-26.726080922938,0.22,0.045,5.76817774778924e-12,"Chemo-Cardiomyocyte","ZBTB7C"
"BDNF-AS",1.94838679522903e-15,-4.78150066296919,0.38,0.217,5.8451603856871e-12,"Chemo-Cardiomyocyte","BDNF-AS"
"PLCE1.1",1.94933257955113e-15,-33.8529210429202,0.365,0.184,5.84799773865339e-12,"Chemo-Cardiomyocyte","PLCE1"
"ZHX2.1",1.98867488306125e-15,-5.96186786707378,0.439,0.397,5.96602464918376e-12,"Chemo-Cardiomyocyte","ZHX2"
"TMTC2.1",2.08175590153819e-15,-33.7680657936375,0.225,0.036,6.24526770461457e-12,"Chemo-Cardiomyocyte","TMTC2"
"LGALS3BP.1",2.1328910315008e-15,-3.83674674019251,0.367,0.2,6.3986730945024e-12,"Chemo-Cardiomyocyte","LGALS3BP"
"PARD3B",2.21447524677304e-15,-0.540386078950735,0.441,0.392,6.64342574031912e-12,"Chemo-Cardiomyocyte","PARD3B"
"MFGE8.1",2.33114582791329e-15,0.583337865464252,0.378,0.33,6.99343748373988e-12,"Chemo-Cardiomyocyte","MFGE8"
"TMCC3.1",2.33734778046552e-15,-34.6575908168837,0.181,0.007,7.01204334139657e-12,"Chemo-Cardiomyocyte","TMCC3"
"EYA4.1",2.55615670364529e-15,-31.5355699279746,0.377,0.356,7.66847011093588e-12,"Chemo-Cardiomyocyte","EYA4"
"ABLIM1.1",2.58289282640575e-15,-2.79048346195103,0.539,0.45,7.74867847921725e-12,"Chemo-Cardiomyocyte","ABLIM1"
"PBX3",2.61042303140178e-15,-2.09553727695046,0.428,0.393,7.83126909420535e-12,"Chemo-Cardiomyocyte","PBX3"
"ADCY5",2.68536019757605e-15,-8.69515209586725,0.42,0.394,8.05608059272816e-12,"Chemo-Cardiomyocyte","ADCY5"
"IL1RAPL1",2.78030508473406e-15,-33.5855127663493,0.422,0.387,8.34091525420218e-12,"Chemo-Cardiomyocyte","IL1RAPL1"
