"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FGF14",6.84179270918024e-32,0.336109729851063,0.6,0.385,2.00026651645594e-27
"RALYL",7.31056467926585e-32,0.350393438265381,0.863,0.683,2.13731668963016e-27
"EFNA5",1.40201219372015e-31,0.303003626193251,0.964,0.858,4.09892284956023e-27
"AIG1",5.56018178081066e-31,0.308064226468148,0.866,0.718,1.6255747454378e-26
"TRIQK",8.28576173192093e-31,0.303729534645415,0.749,0.549,2.4224252999444e-26
"PXDNL",9.65392566274534e-31,0.310877212515399,0.971,0.891,2.82242170676023e-26
"FAM227B",1.3152230403122e-30,0.280123115755389,0.615,0.414,3.84518608065676e-26
"LRRC39",3.51929105168732e-30,0.269027691784938,0.856,0.667,1.0288999318713e-25
"KCNMB2-AS1",5.44992363721055e-30,0.365026394933294,0.595,0.403,1.59333967457488e-25
"DPH6-DT",1.16014369310382e-29,0.316634026622922,0.674,0.479,3.39179610115834e-25
"RETREG1",1.70566363240683e-29,0.252705002788434,0.884,0.711,4.98667819570461e-25
"PLIN5",1.91585245809904e-29,0.251894471916056,0.675,0.478,5.60118624649836e-25
"PLPP3",2.53569624492756e-29,0.266019691009627,0.669,0.461,7.41336154167021e-25
"CCSER1",2.9091459708856e-28,0.287797055547685,0.976,0.864,8.50517916048114e-24
"PKIA",3.6870366847447e-28,0.252354156464749,0.725,0.527,1.07794204515196e-23
"SPHKAP",8.11594537910388e-28,0.275719169799141,0.919,0.749,2.37277779103481e-23
"PLEKHA7",1.02375947303771e-27,0.261164701826717,0.505,0.319,2.99306319537304e-23
"LINC01505",1.77580880099297e-27,0.290626949351104,0.853,0.723,5.19175461058305e-23
"PPP1R9A",1.83302290820933e-27,0.259427013699198,0.897,0.775,5.35902577444081e-23
"PDE3A",9.04459121164672e-27,0.258127365669792,0.991,0.962,2.64427668663704e-22
"EIF1B-AS1",6.83750952289109e-26,0.255369607054205,0.648,0.451,1.99901428411244e-21
"LINC00923",1.04461030893082e-25,0.327848918750301,0.603,0.427,3.05402269919015e-21
"PIK3R1",1.93710023835164e-25,0.256878602119927,0.902,0.732,5.66330625684487e-21
"MT-ND3",3.04425237998899e-25,-0.651051018407727,0.396,0.566,8.9001762581358e-21
