"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"FYB2",1.70602419167482e-304,2.05535749023604,0.92,0.107,6.24421914394899e-300,0,1.37777876204739,0.874,0.13,0,1.70602419167482e-304,0
"AC092353.2",2.40355765115053e-301,2.76516737929089,0.914,0.112,8.79726135897604e-297,0,2.45906325433448,0.981,0.165,0,2.40355765115053e-301,0
"AC090348.1",7.82427055421997e-301,2.06036373729814,0.92,0.11,2.86376126555005e-296,0,1.87018139201001,0.943,0.147,0,7.82427055421997e-301,0
"AC010680.1",8.86966689357118e-296,1.45207408074777,0.865,0.093,3.24638677971599e-291,0,1.30370135276678,0.864,0.123,0,8.86966689357118e-296,0
"ALPK2",6.53860184000267e-293,1.66870567454953,0.908,0.108,2.39319365945938e-288,0,1.24095822156985,0.848,0.129,0,6.53860184000267e-293,0
"MYO18B",2.93928075016588e-288,1.93061080794145,0.927,0.116,1.07580614736822e-283,0,1.09782846450998,0.934,0.15,0,2.93928075016588e-288,0
"MYPN",4.73841909729322e-287,1.78070234153522,0.914,0.113,1.73430877380029e-282,0,0.961264782675712,0.9,0.143,0,4.73841909729322e-287,0
"TMEM178B",1.35443529899619e-282,2.425494829406,0.945,0.13,4.95736863785595e-278,0,2.41156660071428,0.964,0.149,0,1.35443529899619e-282,0
"MLIP-AS1",7.68420192517804e-282,1.94463698924233,0.911,0.11,2.81249474663442e-277,0,1.51359355020956,0.91,0.14,0,7.68420192517804e-282,0
"KLHL31",1.54830731384281e-281,1.630710553923,0.905,0.115,5.66695959939605e-277,0,1.4590782932645,0.877,0.127,0,1.54830731384281e-281,0
"ASB15",1.80969022348957e-281,1.32430937962443,0.865,0.097,6.62364718699418e-277,0,1.24808426418794,0.858,0.126,0,1.80969022348957e-281,0
"FBXO40",2.00775880523353e-281,1.61573725391576,0.881,0.105,7.34859800303523e-277,0,1.32923689953487,0.88,0.134,0,2.00775880523353e-281,0
"AC092353.1",2.95642819343051e-281,1.79383498005673,0.844,0.093,1.0820822830775e-276,0,1.66436218787203,0.899,0.124,0,2.95642819343051e-281,0
"MYOM2",7.47103206014334e-279,2.62897902792956,0.972,0.157,2.73447244433306e-274,0,1.71077009312724,0.981,0.182,0,7.47103206014334e-279,0
"GALNT17",7.89141814273533e-279,2.07037523750397,0.933,0.123,2.88833795442256e-274,0,1.69501927469346,0.914,0.145,0,7.89141814273533e-279,0
"MIR133A1HG",1.61133748130892e-278,1.81750068240934,0.936,0.125,5.89765631533876e-274,0,1.41197035312822,0.839,0.123,0,1.61133748130892e-278,0
"PACRG",2.22798136103647e-278,2.08972513207556,0.936,0.131,8.15463457952959e-274,0,1.7969321456053,0.947,0.167,0,2.22798136103647e-278,0
"STK33",5.30226186673888e-277,1.75805916779219,0.92,0.119,1.9406808658451e-272,0,1.62212045312784,0.915,0.142,0,5.30226186673888e-277,0
"LRRTM3",1.63444515671491e-276,1.80457527355741,0.942,0.124,5.98223271809225e-272,0,1.76160163321476,0.932,0.143,0,1.63444515671491e-276,0
"ADRA1A",7.60602124713774e-276,1.55935576057837,0.878,0.105,2.78387983666489e-271,0,1.54413585000514,0.887,0.125,0,7.60602124713774e-276,0
"MYLK3",5.14604216322947e-275,1.64027669284544,0.927,0.122,1.88350289216362e-270,0,2.02327052292173,0.962,0.15,0,5.14604216322947e-275,0
"TRDN-AS1",1.65534794928231e-274,2.49460128833675,0.966,0.148,6.05873902916817e-270,0,2.23646229965455,0.986,0.176,0,1.65534794928231e-274,0
"ERBB4",2.63001723377926e-274,2.4203985481199,0.954,0.144,9.62612607735546e-270,0,2.18351413293099,0.982,0.174,0,2.63001723377926e-274,0
"FHOD3",1.46734421835059e-273,2.33040776563141,0.954,0.14,5.37062657358499e-269,0,2.05606931158634,0.985,0.175,0,1.46734421835059e-273,0
"RBM24",2.16665337491997e-273,1.4982919492473,0.927,0.119,7.93016801754459e-269,0,1.08766751846742,0.869,0.147,0,2.16665337491997e-273,0
"NRAP",5.30151277167845e-273,1.81918918257521,0.908,0.122,1.94040668956203e-268,0,0.88519759886751,0.88,0.163,0,5.30151277167845e-273,0
"SPHKAP",1.94430670064058e-272,1.76563134905781,0.899,0.112,7.11635695501458e-268,0,2.09445508238511,0.953,0.143,0,1.94430670064058e-272,0
"CHST9",8.33328638182204e-272,1.55578125582624,0.768,0.075,3.05006614861069e-267,0,1.32841307210239,0.759,0.101,0,8.33328638182204e-272,0
"ESRRG",3.41085935002367e-271,2.34538358478753,0.942,0.134,1.24840863070216e-266,0,2.18435842112872,0.984,0.166,0,3.41085935002367e-271,0
"EFNA5",7.85861697284635e-271,2.20529580525266,0.948,0.132,2.87633239823149e-266,0,1.69703793527339,0.957,0.177,0,7.85861697284635e-271,0
"MLIP",2.00079435869748e-269,2.66908686397558,0.969,0.153,7.32310743226864e-265,0,2.36779353276491,0.991,0.188,0,2.00079435869748e-269,0
"AC004879.1",4.23872791258066e-269,1.69124827710358,0.92,0.12,1.55141680328365e-264,0,0.506683761727095,0.752,0.15,0,4.23872791258066e-269,0
"AC005400.1",1.97122362802214e-268,1.26587855456465,0.856,0.1,7.21487560092383e-264,0,1.13136912492987,0.803,0.117,0,1.97122362802214e-268,0
"LRRC2",3.12716518994342e-268,1.65005340987824,0.878,0.114,1.14457373117119e-263,0,1.37603743443733,0.877,0.141,0,3.12716518994342e-268,0
"CFAP61",6.86651914433836e-266,1.25770579225278,0.835,0.094,2.51321467201928e-261,0,1.33326642933064,0.839,0.129,0,6.86651914433836e-266,0
"AL513487.1",4.98633764544656e-264,1.37770701873833,0.823,0.093,1.82504944160989e-259,0,1.19348048555254,0.779,0.131,0,4.98633764544656e-264,0
"PPP1R9A",2.61834784790973e-263,1.81028961470554,0.908,0.123,9.5834149581344e-259,0,1.42519462706816,0.931,0.163,0,2.61834784790973e-263,0
"AC138305.1",3.61793976514775e-263,1.81449556562124,0.902,0.117,1.32420213344173e-258,0,2.066233664858,0.945,0.146,0,3.61793976514775e-263,0
"CADPS",5.88242380487347e-263,1.53662025203447,0.872,0.107,2.15302593682174e-258,0,1.22278991060192,0.814,0.13,0,5.88242380487347e-263,0
"AKAP6",4.2576557767823e-261,2.38587983143783,0.96,0.16,1.55834459086009e-256,0,1.94301534786805,0.976,0.2,0,4.2576557767823e-261,0
"OBSCN",1.31955338682954e-260,1.73328034990284,0.927,0.134,4.82969735113479e-256,0,1.5088033609648,0.96,0.176,0,1.31955338682954e-260,0
"EYA4",6.68701260738289e-260,1.82334049413788,0.896,0.119,2.44751348442821e-255,0,1.06306755773035,0.731,0.136,0,6.68701260738289e-260,0
"CSDC2",1.89778632424971e-259,0.990510667111748,0.85,0.096,6.94608772538638e-255,0,1.13723071653473,0.71,0.111,0,1.89778632424971e-259,0
"MYH7B",2.69114830515391e-259,1.28785410446878,0.847,0.101,9.84987191169382e-255,0,1.14103832075498,0.865,0.132,0,2.69114830515391e-259,0
"TENM2",3.30130861305631e-259,2.03054969992562,0.942,0.141,1.20831196546474e-254,0,1.87184286865686,0.943,0.16,0,3.30130861305631e-259,0
"PRKAA2",8.9431006263067e-259,1.69821963563379,0.93,0.134,3.27326426023451e-254,0,1.22237586661897,0.92,0.167,0,8.9431006263067e-259,0
"PPP1R3A",2.01307201161157e-258,1.31912063276812,0.847,0.1,7.36804486969952e-254,0,1.18117737901926,0.846,0.132,0,2.01307201161157e-258,0
"SGCG",2.0682554763814e-258,1.889917914355,0.911,0.13,7.57002186910357e-254,0,1.80225427841608,0.951,0.157,0,2.0682554763814e-258,0
"MTUS2",2.69753047624512e-258,1.82796411048645,0.905,0.125,9.87323129610475e-254,0,1.98997363325024,0.952,0.153,0,2.69753047624512e-258,0
"DPY19L2",3.39986450546352e-258,1.84693658807866,0.945,0.142,1.2443844076447e-253,0,1.75348379217194,0.982,0.178,0,3.39986450546352e-258,0
"AC007381.1",7.07332759882567e-256,1.09276981745675,0.743,0.075,2.58890863444618e-251,0,1.01384292025268,0.736,0.1,0,7.07332759882567e-256,0
"PRDM16",1.07143309385164e-255,1.48874059220267,0.869,0.113,3.92155226680638e-251,0,1.25444792539373,0.881,0.15,0,1.07143309385164e-255,0
"AC040174.1",1.78500937403626e-255,1.21505582077255,0.777,0.082,6.53331280991011e-251,0,1.32882388574012,0.804,0.111,0,1.78500937403626e-255,0
"PPP1R1C",3.11018641652103e-255,1.48798433288531,0.853,0.109,1.13835933031086e-250,0,0.992557876561744,0.75,0.122,0,3.11018641652103e-255,0
"LINC01505",1.98396156076526e-254,1.7942823108342,0.872,0.117,7.26149770855693e-250,0,1.75783494355465,0.922,0.148,0,1.98396156076526e-254,0
"SMYD1",5.21171151175157e-254,1.36640204065489,0.856,0.108,1.90753853041619e-249,0,1.23989685826496,0.809,0.113,0,5.21171151175157e-254,0
"TRDN",2.5521474787753e-253,2.36698459678708,0.966,0.171,9.34111498706547e-249,0,2.16611651071073,0.984,0.188,0,2.5521474787753e-253,0
"LRRC39",2.87485373830173e-253,1.64828972867871,0.924,0.138,1.05222521675582e-248,0,1.36684466279842,0.899,0.144,0,2.87485373830173e-253,0
"MYOM1",2.03159879154614e-252,2.56726638372671,0.982,0.189,7.43585473693804e-248,0,1.47908532641358,0.986,0.219,0,2.03159879154614e-252,0
"AL133257.1",3.20865703009721e-252,1.18442437405295,0.795,0.089,1.17440055958588e-247,0,0.955312915188574,0.754,0.107,0,3.20865703009721e-252,0
