"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GATA4",6.98440873782983e-54,0.320627474259991,0.807,0.605,2.04196173859193e-49
"PPARGC1B",1.60676139347488e-53,0.315558771738488,0.626,0.404,4.69752760996315e-49
"SPHKAP",4.2067077620762e-53,0.377806253328559,0.897,0.689,1.2298730813206e-48
"EPS15L1",4.74763373134451e-53,0.282758871201221,0.613,0.382,1.38801819769588e-48
"AC092353.1",1.3036503600522e-52,0.336813450097641,0.807,0.583,3.81135219264861e-48
"WNK2",2.35721033104138e-52,0.298109121955687,0.797,0.586,6.89154012383259e-48
"HIVEP3",7.32411192751085e-52,0.32962127930246,0.643,0.419,2.14127736312707e-47
"CKMT2",1.010282031639e-51,0.265729628716222,0.927,0.782,2.95366054769977e-47
"FHIT",1.95123090467496e-51,0.290943725575977,0.956,0.849,5.7046186729077e-47
"TNNI3K",6.05727121377833e-51,0.293004935168413,0.969,0.868,1.77090381206023e-46
"MT-ND4",7.57863252102067e-50,-0.757584375400863,0.419,0.583,2.2156890038456e-45
"MGAT5",9.14474224437249e-50,0.278834969211213,0.831,0.623,2.67355684256474e-45
"RBM20",3.23384865959608e-49,0.266707481437646,0.987,0.914,9.45447994119511e-45
"PLCL2",3.6657050182576e-49,0.297166175675829,0.917,0.725,1.07170551913779e-44
"PRKN",4.81666763783544e-49,0.286769511975361,0.967,0.887,1.40820095059757e-44
"ANK2",6.09919895898141e-49,0.271734275484404,0.958,0.869,1.78316180764781e-44
"EXOG",9.84849949197173e-49,0.291374208756532,0.766,0.56,2.87930731147285e-44
"XIRP2",1.60821315839772e-48,-1.12183041748092,0.473,0.606,4.70177198989158e-44
"MTUS2",2.81236275992951e-48,0.310360633795173,0.915,0.765,8.22222376492992e-44
"ATP1B1",2.9609393800419e-48,0.291786171934914,0.789,0.603,8.65660237149049e-44
"RILPL1",3.40538772337848e-48,0.289383071270239,0.649,0.439,9.95599154806932e-44
"CORIN",5.34632022973029e-48,0.366217260915251,0.691,0.457,1.56305018236395e-43
"AC011287.1",3.55417248947876e-47,0.361332820082051,0.861,0.715,1.03909786902401e-42
"POPDC2",5.07070969439e-47,0.270064981011925,0.795,0.607,1.48247268625186e-42
"MYL2",5.18281735941579e-47,-0.537082675400361,0.975,0.985,1.5152484831988e-42
"FKBP5",1.34718518096304e-46,0.426992520512249,0.669,0.508,3.93863059506355e-42
"JPH2",2.73371770556464e-46,0.258941401025751,0.711,0.49,7.99229708398878e-42
"SMYD1",2.3326387574757e-45,0.279153484931293,0.654,0.435,6.81970267135596e-41
"ACOT11",2.36894058813521e-45,0.282839176960838,0.801,0.599,6.92583470347211e-41
"PLD1",1.16319840558741e-44,0.260796967947237,0.845,0.629,3.40072685857534e-40
"FSTL1",1.29388560290152e-44,0.27661079160243,0.68,0.463,3.78280394864288e-40
"EDA",4.15673722518785e-44,0.333380841582646,0.515,0.311,1.21526369515592e-39
"VWC2",4.87683725034075e-44,0.327742987943302,0.709,0.515,1.42579213850962e-39
"AGTPBP1",5.0828002022194e-44,0.271196023284893,0.66,0.451,1.48600746712086e-39
"INPP4B",8.11491078012139e-44,-0.548026275582851,0.85,0.822,2.37247531567629e-39
"HDAC4",1.46350983474217e-43,0.257471517121556,0.721,0.512,4.2787173528522e-39
"COX10",2.4741378251559e-43,0.283963793789613,0.631,0.441,7.23338934562579e-39
"SCAPER",3.40141488097563e-43,0.250912759145537,0.856,0.682,9.94437654602035e-39
"TUBE1",5.94266416419636e-43,0.265985252681219,0.6,0.394,1.73739729504445e-38
"PPP4R2",6.35326142539902e-43,0.255586386590283,0.533,0.33,1.85743951032966e-38
"DSP",9.47061191832448e-43,0.254908160040795,0.566,0.357,2.76882810044134e-38
"VIPR2",2.80096495314798e-42,0.317745140498982,0.701,0.505,8.18890113702344e-38
"AC092353.2",4.49834375675141e-42,0.323175614887146,0.96,0.806,1.31513578072384e-37
"DYNC1I1",8.06665421689485e-42,0.288805204684192,0.759,0.573,2.35836702685138e-37
"DLG2",1.68210139553063e-41,0.256597909000694,0.97,0.89,4.91779163997334e-37
"AC040174.1",1.54681393962232e-40,0.280815395335845,0.657,0.456,4.52226523387983e-36
"FHL1",3.19939874727446e-40,-0.544803158364634,0.424,0.57,9.35376217753162e-36
"NMD3",8.54594951628992e-40,0.31558575035563,0.548,0.364,2.49849380058252e-35
"MT-ND1",3.88356624252253e-39,-0.640778236976794,0.391,0.531,1.13539942666389e-34
"SCN5A",5.47559063743183e-39,0.262559103644432,0.721,0.54,1.60084367875957e-34
"MTFR1",6.92003504098409e-39,0.258711743319017,0.691,0.507,2.02314144458211e-34
"AC009264.1",7.42230703515257e-39,0.26395673805141,0.734,0.53,2.1699856847972e-34
"PEBP4",9.21222654366333e-39,0.258444248435819,0.708,0.515,2.69328655230541e-34
"SLCO3A1",1.30539741437911e-38,0.250491315064719,0.767,0.586,3.81645988067876e-34
"TMEM161B-AS1",7.54280971580751e-37,0.279679607300511,0.714,0.548,2.20521584851348e-32
"LDLRAD4",8.49353271222749e-36,0.261816017521598,0.856,0.731,2.48316922374683e-31
"ADCY5",9.9353124842407e-35,0.254801375787083,0.662,0.484,2.90468795789261e-30
"AC093879.1",5.02707797277257e-34,0.254491856394158,0.595,0.413,1.46971651611979e-29
"MT-ND3",5.79656043157755e-34,-0.834364690837854,0.473,0.577,1.69468240777601e-29
"AC093912.1",2.29702057974856e-33,-0.635496640921573,0.517,0.62,6.71556936695289e-29
"GCNT2",7.72264091000136e-33,0.273325475388346,0.691,0.528,2.257791296448e-28
"MIR133A1HG",1.39386708878104e-32,0.2539544816879,0.719,0.544,4.07510982076024e-28
"LINC02248",9.0590692432626e-32,0.340716127757846,0.537,0.361,2.64850948396025e-27
"CRYAB",1.93054454895525e-31,-0.433893312455968,0.888,0.887,5.64414004332557e-27
"C15orf41",4.72425013056214e-31,-0.460954454827078,0.94,0.858,1.38118176817115e-26
"ARHGAP24",1.0160686230173e-30,-0.385312108036099,0.681,0.787,2.97057822625339e-26
"ENOX1",8.20336871492405e-30,0.277247375119211,0.659,0.509,2.3983368774952e-25
"PRKCE",1.84709563941002e-29,0.250106146243757,0.638,0.485,5.40016881137912e-25
"AC002460.2",4.15329281348045e-29,0.308815916476293,0.591,0.438,1.21425668694915e-24
"AC098617.1",9.47467054046579e-29,0.251166943516137,0.732,0.576,2.77001467921058e-24
"TNNC1",1.085552161952e-28,-0.412752201488015,0.706,0.779,3.17372030068286e-24
"MYH6",2.936820966514e-28,0.283457989663132,0.504,0.327,8.58608977770034e-24
"JAK2",1.93526404850461e-27,-0.706653058621432,0.402,0.51,5.65793797220807e-23
"ANKRD1",1.71474080404331e-23,-0.853352525514266,0.812,0.794,5.01321621470102e-19
"PCDH9",2.02813888848461e-23,-0.488455196447357,0.909,0.884,5.92946685437361e-19
"MYL12A",2.9423878746868e-23,-0.358469088763809,0.564,0.647,8.60236519043432e-19
"TXNIP",1.20222414093796e-22,-0.288495430009351,0.857,0.831,3.51482249844622e-18
"RICTOR",1.69262763387392e-22,-0.463095062326774,0.668,0.69,4.9485661503938e-18
"PDE4D",1.53571857595723e-19,-0.778586854409703,0.753,0.763,4.48982682866857e-15
"CD36",1.7131757008516e-18,-0.255721146252294,0.988,0.956,5.00864047900974e-14
"DLC1",1.87796517622357e-18,-0.360458047987506,0.714,0.747,5.49041898920722e-14
"PCDH7",1.90429909089932e-18,-0.344569880296837,0.82,0.802,5.56740882215325e-14
"ST3GAL6",3.15616574081408e-18,-0.294217653846151,0.593,0.649,9.22736615984404e-14
"NRAP",4.790911165542e-18,-0.475553071274811,0.736,0.754,1.40067078835786e-13
"MYOM1",1.03089464270758e-14,-0.483947108367963,0.979,0.905,3.01392357741989e-10
"RNF115",2.92296941893516e-14,-0.300539193159699,0.494,0.558,8.54559339319883e-10
"RBMS3",3.00778495062621e-14,-0.28321175057975,0.708,0.763,8.79356008165079e-10
"TMEM71",4.2836243553369e-14,-0.281965600236496,0.855,0.798,1.2523604165263e-09
"LTBP1",6.57857585461473e-14,-0.348664482126143,0.889,0.809,1.92331243685516e-09
"ITGAV",3.28932407612687e-13,-0.256382924866118,0.567,0.616,9.61666786896451e-09
"GBE1",5.05840240840297e-13,-0.557419772991336,0.693,0.701,1.47887452812069e-08
"CALD1",2.53815394720615e-12,-0.748845310725926,0.623,0.636,7.4205468800519e-08
"GPAT3",2.76795520092176e-12,-0.271192272756842,0.516,0.572,8.09239382541485e-08
"USP15",4.82014519266916e-12,-0.346576779574785,0.466,0.514,1.40921764852876e-07
"RNF150",1.15517308049125e-11,-0.293094570156448,0.863,0.803,3.37726401812421e-07
"ENAH",2.06593332800363e-11,-0.384410914735873,0.537,0.584,6.03996267775142e-07
"PALLD",1.08335023034226e-10,-0.583332682705273,0.965,0.937,3.16728273342864e-06
"FNDC3A",3.06345961738278e-10,-0.38244366688333,0.586,0.615,8.95633053738031e-06
"FILIP1L",4.77707970928720e-09,-0.273605031422366,0.654,0.681,0.00013966270238072
"PAM",1.54031409298296e-07,-0.316645101797416,0.946,0.897,0.00450326228224497
"PRR16",1.07713522327402e-06,-0.313613814929049,0.515,0.531,0.0314911253876394
"HIPK2",1.40853282016861e-05,-0.28407019923262,0.548,0.551,0.411798655304495
"SVIL",7.86405543318174e-05,-0.303083827951754,0.969,0.888,1
"SLMAP",0.000426393120867808,-0.264209900326444,0.796,0.742,1
"PDLIM5",0.000607948179124987,-0.257723434757874,0.98,0.959,1
"LAMA2",0.00431892554427399,-0.255979001568885,0.983,0.966,1
"MYPN",0.0210286059157684,-0.515213938090994,0.771,0.695,1
"MYO18B",0.0727397102997547,-0.598450725400778,0.862,0.733,1
"FILIP1",0.398247830851792,-0.275674982737509,0.954,0.88,1
"ROR1",0.412115311802561,-0.676833845441786,0.826,0.74,1
"DLG1",0.638734277561661,-0.406631157331426,0.556,0.493,1
