"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B2M",1.25041403193271e-125,2.02955785975828,0.924,0.153,3.65571046375848e-121
"CD63",2.08753600357481e-95,1.76653993894761,0.737,0.13,6.10312026005131e-91
"RPLP1",1.92238228500657e-83,2.6442073828302,0.975,0.409,5.62027684844521e-79
"CST3",5.54189318743554e-81,2.21198997452446,0.729,0.157,1.62022789227865e-76
"MYL2",8.68608844959566e-77,3.36971967160433,1,0.978,2.53946481912379e-72
"TNNC1",8.79716994652889e-77,2.8755271904087,1,0.733,2.57194060556719e-72
"TNNI3",1.81689961282169e-76,2.99429856635082,1,0.947,5.31188770804548e-72
"CD81",5.48868027347593e-76,1.98470922759914,0.754,0.185,1.60467056475342e-71
"ITM2B",9.06497632647339e-76,2.3388766227794,0.89,0.3,2.65023647880776e-71
"ACTA1",1.02268119608431e-74,3.50113544466815,0.975,0.538,2.98991074487208e-70
"RPL41",5.50925357859822e-74,2.17884713351081,0.873,0.291,1.61068537623898e-69
"TPM1",8.89632184060933e-74,2.76220578154881,1,0.981,2.60092865332054e-69
"CRYAB",3.62084740505864e-73,3.1904814959644,1,0.889,1.05859094734294e-68
"PSAP",2.76173701624187e-72,3.12417340552721,0.788,0.231,8.07421434068473e-68
"MALAT1",5.65756607727459e-72,-4.06224446046967,0.941,0.997,1.654046018352e-67
"RPS17",9.84016613438689e-71,1.42777073639577,0.669,0.142,2.87687097104935e-66
"RYR2",2.15324746623429e-70,-4.41106907807523,0.78,0.991,6.29523429228258e-66
"RPL10",3.97788273177211e-70,2.05679340963677,0.839,0.285,1.1629737954609e-65
"MB",1.74335590338876e-69,2.72439815904405,1,0.942,5.09687531914738e-65
"ACTC1",2.38390536293399e-69,3.05993615367503,0.983,0.885,6.96958571907382e-65
"CD59",3.07628547614162e-69,1.67702346159074,0.661,0.141,8.99382821804765e-65
"LAMB2",7.92348171738943e-69,2.04661704880054,0.593,0.11,2.31650911489598e-64
"TPT1",4.25171649757303e-68,2.48019520273542,0.941,0.441,1.24303183523045e-63
"UBB",1.92020738959408e-67,1.29654190429716,0.619,0.124,5.61391832421726e-63
"LGALS3BP",2.29051255170231e-67,2.07694385575756,0.619,0.127,6.69654249615688e-63
"CTNNA3",1.41867586381554e-66,-3.19945806537766,0.5,0.962,4.14764075545112e-62
"NEAT1",2.32771028078131e-66,-2.55698563366957,0.881,0.992,6.80529377689224e-62
"DPY19L2",4.59430678004104e-66,-1.88564264331911,0,0.91,1.3431915302128e-61
"CACNA1C",2.050553363003e-65,-3.29428490342442,0.678,0.968,5.99499781207556e-61
"FGF12",2.37084568326715e-65,-3.53975967988146,0.653,0.966,6.93140443959983e-61
"RPLP2",3.42368307162362e-65,1.61423866239986,0.703,0.18,1.00094798281988e-60
"MYL12A",5.02172234488509e-65,2.24499928976017,0.949,0.583,1.4681507447506e-60
"SGCD",1.21938991848688e-64,-2.87432619000451,0.466,0.955,3.56500836568826e-60
"CACNB2",3.48230438917448e-64,-2.53032485968776,0.178,0.931,1.01808651121905e-59
"ESRRG",4.65072369929574e-64,-2.33011707573877,0.034,0.911,1.3596855807261e-59
"ERBB4",5.4283536239613e-64,-2.50145290207386,0.025,0.915,1.58703346550132e-59
"PDE3A",1.00173050381204e-63,-2.84234064124787,0.669,0.973,2.92865930094488e-59
"SLC8A1",1.08312930860287e-63,-2.73103624796891,0.797,0.975,3.16663684663135e-59
"RPS16",1.39172494469608e-63,1.82318202880178,0.78,0.249,4.06884704831345e-59
"RPS23",4.86440300777948e-63,1.81263300035818,0.746,0.22,1.42215686335441e-58
"PLCL1",6.63452485436274e-63,-2.32653561168078,0.492,0.949,1.93966968642149e-58
"GAPDH",8.41732849642658e-63,2.11751480912733,0.907,0.497,2.46089015921527e-58
"AC092353.2",8.72437906296654e-63,-3.09068367444339,0.068,0.908,2.5506594628489e-58
"RBM20",9.10345775146539e-63,-2.39702288990875,0.237,0.95,2.66148690821842e-58
"FHOD3",1.69780199663388e-62,-2.24549368136751,0.068,0.923,4.96369391735881e-58
"RPS15",1.85775017540534e-62,1.4839648262309,0.644,0.144,5.43131841281506e-58
