"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RYR2",6.44948960359745e-151,-0.986742804423733,0.959,0.995,1.88557278050775e-146
"FGF12",2.0738961742924e-105,-0.956849187063837,0.861,0.981,6.06324285516126e-101
"NEBL",2.37944405191396e-74,-0.460818726140953,0.903,0.99,6.95654263017565e-70
"TTN-AS1",3.78783394209215e-74,-0.590861900168917,0.806,0.967,1.10741113131006e-69
"SLC8A1",3.72830568363287e-72,-0.530505015639936,0.914,0.986,1.09000744966691e-67
"ACTN2",1.74040288921882e-71,-0.58784440059754,0.697,0.962,5.08824188692014e-67
"DMD",3.83160841780971e-71,-0.661273714757161,0.85,0.957,1.12020903703085e-66
"CACNB2",8.57322057382574e-67,-0.538520566314189,0.771,0.957,2.50646676696369e-62
"CACNA1C",1.0883262812524e-66,-0.492472234801146,0.897,0.98,3.18183071586952e-62
"CTNNA3",3.02886688846329e-66,-0.508861283970397,0.866,0.979,8.85519523511126e-62
"PACRG",1.70698493362505e-62,-0.55590791950201,0.553,0.874,4.99054115194619e-58
"PPP1R12B",1.43325032861401e-61,-0.535116351065139,0.817,0.968,4.19025066073593e-57
"PDE3A",7.07231783688497e-61,-0.511371371792099,0.914,0.979,2.06766284279169e-56
"SGCD",4.25245011687236e-60,-0.489156568865692,0.836,0.973,1.2432463161688e-55
"THSD4",1.25481017649473e-59,-0.518442614934273,0.704,0.944,3.668563032e-55
"MT-CO3",2.13767427910004e-59,0.708231672952651,0.881,0.653,6.24970452237687e-55
"LRRTM3",2.73889235290088e-59,-0.499333929202032,0.476,0.824,8.00742568294103e-55
"ERBB4",1.13811536215696e-58,-0.448701301930424,0.716,0.948,3.32739407280209e-54
"MT-CO1",6.73328659782606e-58,0.714552726762176,0.917,0.753,1.96854366974043e-53
"AC011287.1",1.82880887156864e-57,-0.600539585271762,0.537,0.831,5.34670561691806e-53
"ESRRG",4.39062015877752e-56,-0.466616974684446,0.7,0.941,1.2836417096202e-51
"SORBS2",9.26619005418134e-55,-0.410772489433198,0.91,0.985,2.70906332424046e-50
"BCO2",2.0331016912111e-54,-0.489171750710861,0.484,0.803,5.94397610442477e-50
"RBM20",2.21177828889025e-54,-0.462218367258819,0.806,0.976,6.46635500539953e-50
"IL1RAPL1",6.33572008448819e-54,-0.606568698692076,0.621,0.871,1.85231112390097e-49
"DPF3",2.91101351386779e-53,-0.444044659907748,0.559,0.85,8.51063910914388e-49
"MYPN",1.49635699803114e-52,-0.706307937328834,0.46,0.783,4.37474931944385e-48
"TTN",1.55449610450533e-52,-0.353984160694036,0.983,1,4.54472481113179e-48
"CDH2",3.48934224035287e-52,-0.472825251106243,0.75,0.962,1.02014409738957e-47
"CDH13",4.13416302159587e-52,-0.476308558070123,0.754,0.945,1.20866390099377e-47
"LARGE1",2.50980740352095e-51,-0.505032205230994,0.761,0.933,7.33767292493385e-47
"CMYA5",2.8605089260275e-51,-0.443156004054179,0.83,0.976,8.362983896134e-47
"FHL2",5.46792791754153e-51,-0.592400785342687,0.874,0.965,1.59860340597244e-46
"NLGN1",2.59693935143411e-50,-0.466972161739883,0.627,0.913,7.59241188785278e-46
"MT-CO2",1.18182462048661e-49,0.646236237986682,0.814,0.58,3.45518246045464e-45
"PHACTR1",3.99695145906569e-49,-0.529019725003021,0.571,0.858,1.16854872857245e-44
"TRDN",4.52604102604626e-49,-0.400977252537921,0.77,0.965,1.32323335437489e-44
"KLHL31",6.06787098180434e-49,-0.421896920869636,0.379,0.702,1.77400276024032e-44
"MT-ATP6",6.34061318344098e-49,0.671162362969429,0.856,0.639,1.85374167031081e-44
"PDE4DIP",1.65895305543053e-48,-0.358918729626291,0.753,0.965,4.85011515285669e-44
"SLC8A1-AS1",9.60968106972145e-48,-0.446996717623517,0.52,0.826,2.80948635754376e-43
"C15orf41",1.01886002982731e-47,-0.484663541911633,0.684,0.937,2.97873918320312e-43
"OBSCN",2.16773935964473e-47,-0.4913073942875,0.583,0.878,6.33760279185733e-43
"RBFOX1",2.33700356945957e-47,-0.466492594941094,0.621,0.893,6.832463635672e-43
"MYO18B",3.01220657826236e-47,-0.792436502155122,0.52,0.847,8.80648715220785e-43
"TENM2",3.12353021648261e-47,-0.384576532424737,0.576,0.89,9.13195294090855e-43
"FBXO40",6.54658901756812e-47,-0.40914850828706,0.429,0.725,1.91396076517622e-42
"PDZRN3",5.26890076170674e-46,-0.375110174481789,0.69,0.932,1.54041582669258e-41
"AKAP6",8.13065507492213e-46,-0.402516556758257,0.741,0.956,2.37707831770424e-41
"AL136171.2",8.4070595335741e-46,-0.529729549077651,0.429,0.728,2.45788792523572e-41
"AC018464.1",9.56849268819049e-46,-0.462916675167967,0.493,0.796,2.79744452231937e-41
"GRAMD1B",1.54603119607969e-45,-0.413243512908306,0.326,0.629,4.51997680485857e-41
"TMEM178B",1.66664691195389e-45,-0.499420068224442,0.593,0.847,4.8726089117884e-41
"PRKN",5.98380190445867e-45,-0.382022831011101,0.793,0.95,1.74942432478754e-40
"MIR133A1HG",1.83668641972615e-44,-0.449717363561722,0.366,0.676,5.36973641671138e-40
"DCP1B",2.91313989537391e-44,-0.414322157798911,0.309,0.609,8.51685579811517e-40
"PRDM16",3.23514578307108e-44,-0.381416779532354,0.397,0.706,9.45827221138662e-40
"NCAM1",3.37925353203844e-44,-0.385778989154009,0.65,0.926,9.8795856262676e-40
"LDB3",6.59166343638791e-44,-0.417771071921692,0.826,0.984,1.92713872226237e-39
"AC092353.2",9.36942252202667e-44,-0.512540571813488,0.727,0.907,2.73924436853972e-39
"MYOM1",1.40194556726724e-43,-0.593902182665984,0.767,0.973,4.09872806046252e-39
"AC010680.1",2.73586933552519e-43,-0.384354090756563,0.376,0.685,7.99858758934143e-39
"SGCG",3.62549979469655e-43,-0.393592404999859,0.629,0.887,1.05995111997748e-38
"KLHL7",5.59618529076341e-43,-0.366537633774293,0.501,0.799,1.63610073160759e-38
"TNNI3K",1.20848932581052e-42,-0.347810366442209,0.74,0.949,3.53313939293963e-38
"NRAP",1.34271354760773e-42,-0.557399354146828,0.503,0.793,3.92555732778597e-38
"SOX6",1.9967991419092e-42,-0.314408798256535,0.71,0.935,5.83784197128573e-38
"MACROD2",2.80367328085713e-42,-0.497602752449676,0.42,0.714,8.1968192039139e-38
"AC090348.1",3.13983984991981e-42,-0.412156401638534,0.599,0.86,9.17963578522556e-38
"SLC25A36",3.43463675580445e-42,-0.363116059935191,0.646,0.899,1.00415040192699e-37
"MTUS2",1.03659702637602e-41,-0.407280968831728,0.604,0.88,3.03059506631292e-37
"CCDC141",1.65101010988793e-41,-0.351155329506609,0.626,0.891,4.82689315726836e-37
"ALPK2",3.81654638064441e-41,-0.36912235210948,0.383,0.689,1.1158054998452e-36
"PKP2",6.36366337114889e-41,-0.349844384354262,0.69,0.935,1.86048062318909e-36
"ATP2A2",1.60714350927535e-40,-0.35938825406292,0.636,0.907,4.69864476371741e-36
"MT-CYB",1.81043667206404e-40,0.594012526527116,0.69,0.448,5.29299265444644e-36
"AC108058.1",1.86293483657661e-40,-0.39294240713544,0.24,0.523,5.44647628821537e-36
"STK33",2.98071196412992e-40,-0.376529062573561,0.539,0.816,8.71440949833023e-36
"AC092353.1",3.61625327601001e-40,-0.398200375070819,0.45,0.734,1.05724780777429e-35
"ACOT11",5.64185881487018e-40,-0.332203397977784,0.433,0.744,1.64945384311545e-35
"DLG2",5.81327398208747e-40,-0.402209979284306,0.801,0.952,1.69956878140309e-35
"RCAN2",6.4490665032209e-40,-0.341603648970924,0.75,0.95,1.88544908288166e-35
"CASQ2",7.54313751597528e-40,-0.414246266361403,0.536,0.808,2.20531168417053e-35
"CASZ1",1.39993461266674e-39,-0.331872724995613,0.384,0.678,4.09284883359249e-35
"PRKAA2",1.40784188702789e-39,-0.343556834683917,0.55,0.837,4.11596654091475e-35
"SPHKAP",2.29011401668852e-39,-0.45651841381038,0.577,0.827,6.69537733919056e-35
"LRRC39",2.42354244029904e-39,-0.355420699434337,0.483,0.752,7.08546867845826e-35
"SNHG14",2.52371442064359e-39,-0.33303418904074,0.797,0.954,7.3783314801936e-35
"FHOD3",3.05492903166684e-39,-0.326284526863715,0.744,0.953,8.93139051698117e-35
"SVIL",5.38893181848501e-39,-0.467434221778308,0.759,0.959,1.57550810645228e-34
"LRRC2",6.46769927834668e-39,-0.358229111959264,0.443,0.741,1.89089656101744e-34
"PHLDB2",1.32271706528343e-38,-0.356031878071577,0.56,0.837,3.86709561206264e-34
"QKI",2.10864251926689e-38,-0.263178457784595,0.874,0.968,6.16482726932868e-34
"DPY19L2",2.38099225515165e-38,-0.345087372014928,0.717,0.942,6.96106895716136e-34
"RGS6",2.39064311986964e-38,-0.377730201868405,0.616,0.888,6.98928422525087e-34
"PPP1R9A",2.51551690699841e-38,-0.342517462534838,0.566,0.847,7.35436522930054e-34
"VPS8",3.44844791739775e-38,-0.335186147536822,0.429,0.713,1.00818823313041e-33
"PSD3",5.4428824016136e-38,-0.331240511187639,0.826,0.954,1.59128109893575e-33
"RABGAP1L",8.34175258547088e-38,-0.315060533366642,0.85,0.965,2.43879478588827e-33
"MLIP",1.35953725724909e-37,-0.357021239760377,0.874,0.978,3.97474312529343e-33
"ETFDH",1.36565095864894e-37,-0.32114489673915,0.466,0.759,3.99261714270603e-33
"AL158038.1",3.60251056433467e-37,-0.525314707662834,0.246,0.516,1.05322998858888e-32
"MSI2",3.77343839648449e-37,-0.288045867372231,0.589,0.862,1.1032024495962e-32
"RBM24",4.44635667204966e-37,-0.359197518519118,0.469,0.749,1.29993683664044e-32
"TANC1",5.10084066666404e-37,-0.343424705123081,0.51,0.783,1.4912817773059e-32
"MAST4",7.21438114595432e-37,-0.294269000207051,0.807,0.959,2.1091964718312e-32
