"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT-ND4L.1",5.22106900915642e-64,-7.55133446874405,0.321,0.352,1.56632070274693e-60,"Chemo-Macrophage","MT-ND4L"
"SYCP2",5.87170224223913e-64,-14.7263539449762,0.372,0.026,1.76151067267174e-60,"Chemo-Macrophage","SYCP2"
"CUBN",6.34860667673203e-64,-24.7396461732885,0.245,0.02,1.90458200301961e-60,"Chemo-Macrophage","CUBN"
"MIR2052HG",7.15846146357175e-64,-27.961644034309,0.29,0.022,2.14753843907153e-60,"Chemo-Macrophage","MIR2052HG"
"LGI2.1",1.18929276109851e-63,-7.51321945451079,0.139,0.049,3.56787828329554e-60,"Chemo-Macrophage","LGI2"
"NRXN3.1",5.98505382484918e-63,-28.7341651647934,0.288,0.015,1.79551614745475e-59,"Chemo-Macrophage","NRXN3"
"ALDH1A2",9.07311230485378e-63,-28.3431209100285,0.232,0.034,2.72193369145614e-59,"Chemo-Macrophage","ALDH1A2"
"ANKRD28.1",1.19325281967499e-62,-27.2529875352395,0.214,0.092,3.57975845902498e-59,"Chemo-Macrophage","ANKRD28"
"PHLDB1",1.22877336021233e-62,-27.3008961331559,0.253,0.02,3.686320080637e-59,"Chemo-Macrophage","PHLDB1"
"EBF2.1",1.83186576147402e-62,-25.2851593003584,0.225,0.018,5.49559728442205e-59,"Chemo-Macrophage","EBF2"
"VAV3-AS1",2.86490685311769e-62,-17.8082255935338,0.276,0.029,8.59472055935308e-59,"Chemo-Macrophage","VAV3-AS1"
"SPATA17.1",3.46200488297793e-62,-29.3484636700307,0.225,0.011,1.03860146489338e-58,"Chemo-Macrophage","SPATA17"
"CSF2RA",4.31068381621445e-62,-6.97025374853969,0.242,0.285,1.29320514486433e-58,"Chemo-Macrophage","CSF2RA"
"CPNE4",6.94466046105771e-62,-26.7958228344628,0.229,0.029,2.08339813831731e-58,"Chemo-Macrophage","CPNE4"
"FLT1",1.25165777841222e-61,-28.1556339787019,0.208,0.032,3.75497333523666e-58,"Chemo-Macrophage","FLT1"
"PPP2R2B.1",1.4488720944777e-61,-28.8622325164488,0.141,0.022,4.3466162834331e-58,"Chemo-Macrophage","PPP2R2B"
"FAM160A1",1.91997826541876e-61,-27.9174952174738,0.214,0.012,5.75993479625629e-58,"Chemo-Macrophage","FAM160A1"
