"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC068888.1",0.000261556017739106,0.280275162975412,0.271,0.087,1
"A2M",0.000265245016183452,-0.767748621301836,0.458,0.641,1
"ZMIZ1",0.00028062022131145,0.311611281442212,0.373,0.154,1
"IGFBP7",0.000283871035357415,-0.540049723669459,0.983,0.969,1
"GNG11",0.000289699917196397,0.260018997384325,0.22,0.062,1
"ROCK2",0.000303309390809982,-0.66583687656794,0.492,0.662,1
"ATP1A2",0.000303658568215055,0.494203430697774,0.542,0.287,1
"PTP4A3",0.00032222165640704,0.519867472499271,0.458,0.241,1
"MKLN1",0.000322679002737149,0.75185746555324,0.729,0.646,1
"UFL1-AS1",0.000350695740281509,0.309649765108926,0.119,0.015,1
"SMIM3",0.000352218384110736,0.297266040653093,0.339,0.133,1
"WASF3",0.000353516658869508,0.281080612912155,0.186,0.046,1
"ID4",0.000354084367559412,-0.813732650396356,0.051,0.267,1
"P2RY14",0.000359530320562841,0.414119031664955,0.356,0.144,1
"NBEAL1",0.000362871610652896,-0.534874949539219,0.576,0.759,1
"LITAF",0.000370172957334809,-0.379649395426966,0.017,0.215,1
"AMOT",0.000390944036816396,0.312088810560343,0.102,0.01,1
"NRP1",0.00040427419267928,-0.626877064875846,0.424,0.636,1
"OSMR",0.000429954011915204,-1.02506739104691,0.136,0.369,1
"LINC01004",0.000435007052131045,0.364791319301387,0.322,0.128,1
"MRTFB",0.000437749960971572,0.738107780150091,0.661,0.472,1
"AC093535.1",0.000444272023916515,0.254660530511273,0.186,0.046,1
"CCDC192",0.000446599171498004,0.321563086652427,0.153,0.031,1
"MAP4K4",0.00046400105485415,0.582035193095561,0.644,0.421,1
"TEAD1",0.000483692311139525,0.554762262945457,0.492,0.282,1
"TYW1",0.000514356128703371,0.399520795433863,0.288,0.113,1
"CLASP1",0.000520832286549134,0.441462698830891,0.576,0.349,1
"DOCK8",0.000533035205876134,0.715754139617762,0.542,0.323,1
"TRAF5",0.000621039775598806,-0.332343680648609,0.034,0.236,1
"ROCK1",0.000643869297392023,0.612914015731252,0.644,0.456,1
"EFCAB2",0.000674958593978423,0.448745374774587,0.339,0.154,1
"SUMO2",0.000712477926322387,0.257561253960472,0.356,0.154,1
"HLA-B",0.000722764339454365,-0.486564599343478,0.068,0.277,1
"ATP2C1",0.000724316128917668,0.474143802737172,0.458,0.231,1
"KCNB1",0.000728608248147968,0.425126982528862,0.288,0.113,1
"TXNIP",0.000743638939263087,0.642225104195796,0.729,0.549,1
"JUNB",0.000748511345771662,-0.803951629603771,0.136,0.364,1
"RYR2",0.000787063635489254,-1.11817466005955,0.305,0.513,1
"PACSIN2",0.000823747414453144,0.709202016890351,0.746,0.626,1
"AC092114.1",0.000825666320988021,0.32110888048399,0.203,0.062,1
"CDC42EP4",0.000895829496179668,0.446983169757091,0.39,0.195,1
"KCNE4",0.000947645471829213,-0.338928834908202,0.034,0.221,1
"MFSD8",0.00094947399850479,0.295294472131855,0.153,0.036,1
"ARHGAP26",0.000959954195479598,0.426195724737073,0.864,0.682,1
"S100A6",0.000995314011007592,-0.390789953032167,0.102,0.323,1
"RPL37",0.00100270742179552,0.405458319101362,0.441,0.226,1
"FOSL2",0.00109643807664265,-0.369495174668938,0.051,0.246,1
"LAMA3",0.00109790965910767,-0.648530059196447,0.305,0.549,1
"NDRG2",0.00109993970462276,0.383281795001103,0.441,0.226,1
"TOB2",0.00111398668376836,0.307791818888343,0.407,0.195,1
"DZIP1",0.00113422820456347,-0.281412935148649,0,0.159,1
"TSIX",0.00114024487081982,-0.311532923524984,0,0.159,1
"SPARCL1",0.00119052530516573,0.422315409118123,0.966,0.892,1
"HSD17B4",0.00119533114043937,0.383218983104762,0.271,0.108,1
"ZNF521",0.00124354290582016,0.653765478457152,0.356,0.174,1
"GPRC5C",0.00127422895509176,0.385885350936011,0.407,0.21,1
"PCDH9",0.00130862552221963,-0.692924178554901,0.102,0.308,1
"KIRREL1",0.00133854267382589,0.515873249551862,0.492,0.297,1
"EPN2",0.00133979770237986,0.474967211834856,0.492,0.287,1
"TCF4",0.00134503572537711,0.380732863170408,0.847,0.703,1
"FAM107B",0.00134681355452838,-0.500605047454473,0.102,0.313,1
"LINC00486",0.00136981007111654,0.399847574080504,0.39,0.21,1
"EFNB2",0.001395452227307,0.316602525750693,0.169,0.046,1
"MIR4435-2HG",0.00140501493589386,-0.497705156948679,0.085,0.282,1
"ADAMTS4",0.00141096086681205,-0.779933128015783,0.22,0.421,1
"CYTOR",0.00146416315168665,-0.45219049769631,0.085,0.292,1
"FRK",0.00147368769564635,0.482031939158815,0.288,0.123,1
"RAB30-DT",0.00152850286440114,0.270121400922288,0.271,0.108,1
"SEPTIN9",0.00153710238586022,-0.46599629722134,0.119,0.328,1
"TRPA1",0.00155401044534483,0.392367563653811,0.203,0.067,1
"TNS1",0.0015605074905091,0.474143802737173,0.729,0.533,1
"IGFBP5",0.00157217929353794,1.02115862978939,0.678,0.523,1
"MYOF",0.00159663755126937,-0.531652488872016,0.068,0.251,1
"SORBS2",0.00161808398806549,-0.757267370875667,0.271,0.487,1
"PPARA",0.00162486837974846,0.316104787246225,0.254,0.097,1
"LINC01572",0.00171675834094905,0.309649765108926,0.102,0.015,1
"MYO1D",0.00175249496562568,-0.508734340644218,0.458,0.626,1
