"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"LINC02388",1.73119446513314e-206,3.28310232690837,0.691,0.042,6.33634486183382e-202,0,2.2384466048315,0.305,0.019,0,1.73119446513314e-206,0
"AC020637.1",5.22159353172858e-206,2.51495991255844,0.647,0.035,1.91115544854798e-201,0,1.22481113698992,0.289,0.017,0,5.22159353172858e-206,0
"LINC02269",6.41990605332746e-140,2.43767765680389,0.86,0.117,2.34974981457838e-135,0,2.84039766395969,0.926,0.124,0,6.41990605332746e-140,0
"COL19A1",2.15789246613235e-125,0.790932229808403,0.625,0.061,7.898102215291e-121,0,0.624066277126818,0.525,0.076,0,2.15789246613235e-125,0
"AC106895.2",9.48440401077278e-124,0.853449218975916,0.551,0.046,3.47138671198295e-119,0,0.652106177796758,0.537,0.038,0,9.48440401077278e-124,0
"AC090348.1",2.63820488386161e-123,1.86409334152783,0.934,0.152,9.65609369542186e-119,0,1.81573882579958,0.972,0.204,0,2.63820488386161e-123,0
"AC092353.2",4.40293592257314e-122,2.25228159972012,0.941,0.152,1.611518577021e-117,0,2.3605994316286,0.997,0.224,0,4.40293592257314e-122,0
"EFNA5",6.62844065169012e-120,2.28355611703068,0.956,0.174,2.4260755629251e-115,0,1.83034404917405,0.978,0.233,0,6.62844065169012e-120,0
"VLDLR-AS1",1.90206233138269e-119,1.26508155636104,0.846,0.126,6.96173833909378e-115,0,1.1268735453861,0.866,0.194,0,1.90206233138269e-119,0
"CADPS",7.95955345046162e-118,1.70394357125774,0.897,0.145,2.91327615840346e-113,0,1.21005742772937,0.864,0.176,0,7.95955345046162e-118,0
"CHRM2",1.44372297787851e-116,1.60348818015286,0.897,0.146,5.28417047133312e-112,0,2.13227946572215,0.971,0.21,0,1.44372297787851e-116,0
"FHOD3",4.81452237465092e-116,2.24526442217861,0.963,0.182,1.76216333434598e-111,0,1.81556332287265,0.987,0.234,0,4.81452237465092e-116,0
"TECRL",1.55767845077188e-115,2.63173486154347,0.978,0.211,5.70125889767017e-111,0,2.35275505543662,0.997,0.245,0,1.55767845077188e-115,0
"AC097522.2",6.65548296766987e-115,2.20471072667212,0.868,0.144,2.43597332099685e-110,0,2.18823109261724,0.963,0.206,0,6.65548296766987e-115,0
"AC004879.1",1.14095398652946e-114,1.77622488336672,0.934,0.161,4.17600568609649e-110,0,2.36184280776983,0.97,0.18,0,1.14095398652946e-114,0
"MLIP",1.0291823105176e-112,2.4778309466326,0.963,0.195,3.76691017472545e-108,0,2.48233599238762,0.997,0.246,0,1.0291823105176e-112,0
"TENM2",1.28118064861728e-111,2.05461442785189,0.941,0.183,4.68924929200412e-107,0,1.24114749819165,0.944,0.217,0,1.28118064861728e-111,0
"FBXO40",1.57268096245098e-111,1.36947345995585,0.897,0.145,5.75616959066681e-107,0,1.144201768252,0.886,0.188,0,1.57268096245098e-111,0
"TRDN-AS1",2.5556605921406e-111,2.19352557959484,0.978,0.19,9.35397333329383e-107,0,2.19389428216298,0.994,0.235,0,2.5556605921406e-111,0
"EYA4",1.24377866849113e-110,1.80569192153166,0.897,0.159,4.55235430454437e-106,0,0.972809321917565,0.807,0.175,0,1.24377866849113e-110,0
"TMEM178B",1.98371816508075e-110,2.0768581688577,0.941,0.173,7.26060685601206e-106,0,1.58798235487352,0.952,0.21,0,1.98371816508075e-110,0
