"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ND3",2.03781315393265e-161,2.02208254738269,0.984,0.494,5.95775053683749e-157
"MT-ND2",4.3709567643818e-161,1.63282172063894,0.948,0.357,1.27789291963466e-156
"MT-CYB",4.45175775056202e-161,1.73510737135898,0.984,0.449,1.30151589595431e-156
"MT-CO2",3.37455736097133e-160,1.99563242848088,0.994,0.589,9.86585590053579e-156
"MT-ND4",3.53324843291198e-153,1.70196664991478,0.981,0.47,1.03298051184615e-148
"MT-ATP6",7.05446121605811e-148,1.97903978074683,0.994,0.65,2.06244228112675e-143
"MT-ND1",5.47614395463602e-147,1.58196270734137,0.958,0.428,1.60100544657739e-142
"MT-CO3",6.4385025527898e-147,1.98039426828953,0.994,0.667,1.88236060633362e-142
"MT-CO1",3.57084722528076e-138,1.90434431724351,0.994,0.763,1.04397289478308e-133
"MT-ND5",9.25214963547475e-118,0.984264779531011,0.74,0.201,2.7049584674274e-113
"MT-ND4L",9.66570566484168e-110,0.654386467941143,0.558,0.109,2.82586570817311e-105
"MYL2",1.33327071803104e-107,1.32131156213344,1,0.979,3.89795027123553e-103
"CRYAB",1.08447250562922e-101,1.22014705387015,0.981,0.88,3.1705638174576e-97
"TNNC1",7.09702068691406e-100,1.2161501565201,0.951,0.729,2.0748849680262e-95
"MTRNR2L12",4.53598039686537e-94,0.892412620679584,0.669,0.193,1.32613922882756e-89
"RPL41",2.91235387766314e-92,0.829652871210047,0.747,0.246,8.51455779673595e-88
"RPLP1",2.30574853307915e-87,0.931008917870987,0.841,0.369,6.7410864113102e-83
"ATP5F1E",6.80526936010178e-83,0.768500016994108,0.679,0.225,1.98958855011936e-78
"TNNI3",1.28676819441069e-82,1.07699294735679,0.987,0.947,3.76199549317908e-78
"COX6A2",1.36223001350823e-82,1.12072110927055,0.893,0.573,3.98261566749265e-78
"MB",2.10497152617192e-80,0.979202669556338,0.987,0.925,6.15409475391622e-76
"COX7A1",3.03418508148041e-78,1.00454544609551,0.844,0.464,8.87074350421612e-74
"RPS16",2.33337161018151e-77,0.726207751325673,0.646,0.208,6.82184523952665e-73
"TPT1",5.84592153471573e-77,0.845537981238069,0.838,0.398,1.70911361988949e-72
"FTH1",2.94119457759163e-73,0.834340096460614,0.805,0.389,8.59887646704688e-69
"ACTA1",1.45713432397808e-71,1.24188693948258,0.89,0.549,4.26007790958233e-67
"CKM",2.9437705748412e-71,0.859030220283105,0.896,0.638,8.60640765260573e-67
"NDUFA4",5.57519119253251e-70,0.914191963449437,0.886,0.627,1.6299628970488e-65
"RPL35A",6.80271290266207e-67,0.554028128006268,0.575,0.174,1.98884114422228e-62
"RPL37A",1.19880727756721e-66,0.733327309104585,0.698,0.271,3.5048329566955e-62
"COX7C",3.13217614656442e-66,0.840072949009726,0.821,0.452,9.15723018209575e-62
"ACTC1",2.19841624314792e-65,0.910888158406314,0.964,0.878,6.42728972846725e-61
"RPL30",3.54276009815123e-56,0.504091047385061,0.503,0.153,1.03576134229549e-51
"ENO3",7.2775519970191e-56,0.547186132339156,0.513,0.165,2.1276651018485e-51
"NDUFA1",2.20680807102935e-55,0.701336882867713,0.705,0.318,6.4518240764614e-51
"RPL23A",2.21321732040607e-55,0.512987997430876,0.5,0.155,6.47056215793919e-51
"RPL13A",2.57016699272401e-55,0.584963731833006,0.575,0.203,7.51414021992791e-51
"RPL26",5.31461507583756e-55,0.503418220763961,0.5,0.154,1.55378086357187e-50
"COX8A",8.73801653924654e-55,0.670284737017406,0.627,0.259,2.55464651541412e-50
"NDUFB4",2.81898837838984e-54,0.579909179400691,0.64,0.265,8.24159442306054e-50
"UQCRB",3.57001285425842e-54,0.736145389005914,0.825,0.508,1.04372895807099e-49
"COX6C",2.07310377754119e-53,0.715938725860724,0.734,0.385,6.06092620401941e-49
"MYL3",2.630938551352e-52,0.636614429995228,0.948,0.897,7.6918119487327e-48
"GAPDH",9.44853431718388e-52,0.720924256413112,0.786,0.46,2.76237349297188e-47
"RPS25",3.30664604228612e-51,0.55477571463476,0.516,0.175,9.66731036922771e-47
"COX7B",4.3926175385042e-51,0.722570225684071,0.737,0.413,1.28422566355709e-46
"RPL19",4.83367050643139e-51,0.507269136166794,0.506,0.166,1.41317190926028e-46
"UQCRQ",1.86552865839424e-50,0.564718644390425,0.62,0.256,5.45405958568141e-46
"RPS23",1.07968650286151e-49,0.532553953149515,0.529,0.187,3.15657145976592e-45
"EIF1",1.77949866902788e-47,0.613058704118251,0.649,0.298,5.2025423087699e-43
"FABP3",5.94029206806841e-47,0.666340841208341,0.857,0.651,1.73670378902048e-42
"S100A1",8.86341902941631e-47,0.665302136604823,0.659,0.324,2.59130918744015e-42
"NDUFS5",1.18495912160649e-46,0.541081671428755,0.591,0.245,3.46434648792874e-42
"UQCR10",1.80167546002044e-46,0.587611849591739,0.61,0.267,5.26737837491575e-42
