p_val,avg_log2FC,pct.1,pct.2,p_val_adj,GeneName
9.145988251435595e-30,2.074422540968091,0.861,0.028,2.6739211251897106e-25,ADAMTS2
7.454772442221605e-20,1.8042886190098206,0.694,0.05,2.1794772712079083e-15,TPST1
2.6787525086386494e-18,1.493188307013494,0.75,0.099,7.831600834255955e-14,VSIG4
3.271205489987786e-17,1.2915544458438433,0.75,0.106,9.56369637052829e-13,ARRDC3
2.0131783055412223e-16,1.6821158531264804,0.972,0.461,5.885728094080318e-12,PRKAG2
5.674587757841891e-16,2.507127497971368,0.778,0.177,1.659022476882655e-11,KCNMA1
1.963977533311686e-15,0.8198792314517992,0.444,0.007,5.741884716390045e-11,DAAM2
2.567645899634771e-15,1.965039081460829,0.944,0.404,7.506769552172216e-11,FMN1
1.1387306528073018e-14,1.9613349773250899,0.944,0.426,3.3291929365474277e-10,ST6GALNAC3
2.0934865863352798e-14,1.3736927324143218,0.833,0.22,6.120517383809824e-10,UTY
2.1257557198677147e-14,1.3631627810244027,0.722,0.142,6.214859422605251e-10,SULT1B1
5.029454011901015e-14,1.3984696497603557,0.611,0.085,1.4704111749193808e-9,LINC02649
5.74516042953241e-14,1.20586069744656,0.667,0.106,1.6796551031780954e-9,FLT3
6.450778103202837e-14,1.6957649146383318,0.806,0.234,1.8859494862523814e-9,SRGAP1
7.244197341145842e-14,1.7420648268458498,0.889,0.284,2.1179135346573982e-9,MERTK
1.0911363253552112e-13,0.7566326276222831,0.583,0.064,3.1900461608084954e-9,SAP30
1.2972782147808954e-13,2.0984126576053073,0.917,0.433,3.792722588733426e-9,CD163
1.5076823622399887e-13,1.7253191531915926,0.778,0.17,4.407860154244831e-9,CPM
1.6206208625128964e-13,1.8834697072067668,0.806,0.248,4.738047153642704e-9,MS4A4E
1.6694778947691486e-13,1.3658540004605666,0.806,0.227,4.880885573147083e-9,KCNE1
2.6538404464415835e-13,1.6865175049596468,0.944,0.447,7.758767929216614e-9,FCHO2
2.7394578264958697e-13,0.5911147277027512,0.417,0.014,8.009078901543325e-9,TMIGD3
1.4621761252641886e-12,1.4452053921703758,1,0.674,4.2748181198223816e-8,ELMO1
1.559237643043133e-12,0.9889916758234121,0.444,0.028,4.5585871732009033e-8,DEPTOR
2.4626055657261345e-12,0.5871567141340682,0.444,0.028,7.199673631956927e-8,PIK3IP1
2.811315388203518e-12,1.0579822253773281,0.806,0.22,8.219161668951805e-8,SLC2A9
3.1066564328409084e-12,1.3777110895935583,0.833,0.27,9.08262074705368e-8,SORL1
6.563238138530875e-12,0.9497267935187764,0.444,0.035,1.9188283021808866e-7,TBC1D16
8.401755286495915e-12,1.4901569790826388,0.417,0.028,2.4563371755599454e-7,AMPH
1.3048955856607295e-11,1.3403415192500303,0.972,0.468,3.814992734237709e-7,IQGAP2
2.077444301682291e-11,0.8422470444802539,0.333,0.007,6.073616160398346e-7,DLGAP2
2.427789288186802e-11,0.6564684656968512,0.583,0.085,7.097884762942934e-7,CD163L1
2.94155749291433e-11,0.5911147277027512,0.333,0.007,8.599937486284335e-7,SH2D4A
3.8216247398113805e-11,1.1018741492549204,0.889,0.298,1.1172902089312553e-6,MS4A6A
4.181773554653808e-11,1.368827302184616,0.861,0.319,1.2225833164385873e-6,TPK1
