"","Normal_p_val","Normal_avg_log2FC","Normal_pct.1","Normal_pct.2","Normal_p_val_adj","Chemo_p_val","Chemo_avg_log2FC","Chemo_pct.1","Chemo_pct.2","Chemo_p_val_adj","max_pval","minimump_p_val"
"APOA1",7.68573982300789e-94,4.27002143134269,0.598,0.062,2.81305763261912e-89,4.62814690142352e-28,4.11994028723644,0.654,0.09,1.69394804739002e-23,4.62814690142352e-28,1.53714796460158e-93
"CSRP3",8.07165281440035e-78,4.09459227938515,0.924,0.262,2.95430564659867e-73,5.01932998098002e-15,3.65200887276099,0.808,0.324,1.8371249663385e-10,5.01932998098002e-15,1.61433056288007e-77
"CKM",2.41251139983548e-73,3.9863192504535,0.946,0.313,8.83003297453785e-69,9.57872951040801e-12,3.2945791859092,0.731,0.314,3.50591078810444e-07,9.57872951040801e-12,4.82502279967097e-73
"COX6A2",4.52487340317998e-72,4.22665992176021,0.967,0.355,1.65614891429791e-67,9.15192423390387e-18,3.82909204424118,0.846,0.3,3.34969578885115e-13,9.15192423390387e-18,9.04974680636007e-72
"TNNC1",5.03366045907046e-71,4.54164355706677,1,0.444,1.84237006462438e-66,3.64094074719432e-23,4.16910608386204,1,0.397,1.33262072288059e-18,3.64094074719432e-23,1.00673209181409e-70
"ACTC1",5.40519891895907e-71,4.95650900935492,0.989,0.415,1.97835685632821e-66,1.40733874914035e-20,4.63480353425495,0.962,0.413,5.1510005557286e-16,1.40733874914035e-20,1.0810397837918e-70
"TNNT2",7.32231369065335e-70,3.50085435915022,0.978,0.368,2.68004003391603e-65,4.56386870896101e-18,3.83403176770368,0.923,0.404,1.67042158616682e-13,4.56386870896101e-18,1.46446273813066e-69
"TNNI3",4.89690592313066e-68,4.80308273111591,1,0.499,1.79231653692505e-63,2.10843878532181e-20,4.4194626764034,1,0.539,7.71709679815635e-16,2.10843878532181e-20,9.79381184626127e-68
"ACTA1",5.02979832395096e-68,4.99645727629259,0.989,0.456,1.84095648454929e-63,1.39913325114241e-20,4.75706599456074,0.923,0.33,5.12096761250632e-16,1.39913325114241e-20,1.00595966479018e-67
"CRYAB",1.88129025224257e-67,4.83958148435706,1,0.514,6.88571045223304e-63,1.88733070817938e-18,4.03695060507656,0.962,0.482,6.90781912500734e-14,1.88733070817938e-18,3.76258050448514e-67
"SLC25A4",1.48246587819924e-65,4.08525778835886,0.946,0.38,5.42597336079704e-61,6.50789749013464e-13,3.68233359627042,0.808,0.374,2.38195556036418e-08,6.50789749013464e-13,2.96493175639851e-65
"PTGDS",2.46075811322282e-65,4.81539925013855,0.913,0.329,9.00662077020685e-61,4.32753752214474e-21,5.42814008399114,0.962,0.389,1.5839220084802e-16,4.32753752214474e-21,4.9215162264457e-65
"MB",7.13148181594465e-65,4.66161987206566,0.978,0.47,2.6101936594539e-60,5.33345252009718e-21,4.25227331156259,1,0.495,1.95209695688077e-16,5.33345252009718e-21,1.42629636318895e-64
"S100A1",4.72247346710283e-64,3.9770819196108,0.815,0.225,1.72847251369431e-59,6.61543164557198e-07,3.03027530347452,0.5,0.202,0.024213141365958,6.61543164557198e-07,9.44494693420574e-64
"MYL3",7.28189854077589e-64,3.78172293639853,0.935,0.357,2.66524768490938e-59,1.28346166614686e-19,3.67445956148479,0.923,0.368,4.69759804426412e-15,1.28346166614686e-19,1.45637970815517e-63
"NDUFA4",1.25363298415811e-63,3.90461778022834,0.989,0.524,4.5884220853171e-59,1.6041328319208e-09,3.38840456506271,0.731,0.412,5.87128657811331e-05,1.6041328319208e-09,2.50726596831624e-63
"DES",1.33149341408767e-61,3.7262465492235,0.913,0.347,4.87339904490229e-57,2.28479935556699e-22,3.55194079846817,0.962,0.345,8.36259412131076e-18,2.28479935556699e-22,2.66298682817534e-61
"MYL2",1.64417730535541e-61,4.68718536538253,1,0.724,6.01785335533134e-57,3.87032354677343e-19,4.55662895843368,1,0.696,1.41657712135454e-14,3.87032354677343e-19,3.28835461071083e-61
"TPM1",7.73642503062346e-61,4.06877812049742,1,0.75,2.83160892545849e-56,2.89299402553455e-18,3.62311760369743,1,0.663,1.0588647432859e-13,2.89299402553455e-18,1.5472850061247e-60
"FABP3",2.0289286199091e-60,3.62973429755401,0.859,0.288,7.42608164172931e-56,3.07027407403984e-18,3.45367743368229,0.846,0.293,1.12375101383932e-13,3.07027407403984e-18,4.05785723981816e-60
"VTN",5.53446127716394e-60,2.90324867137089,0.391,0.039,2.02566817205477e-55,1.21640713667299e-25,3.06845299278283,0.385,0.032,4.45217176093681e-21,1.21640713667299e-25,1.10689225543281e-59
"MALAT1",3.11041469320795e-59,-6.22002418384433,0.174,0.993,1.13844288186104e-54,5.2998651099457e-14,-2.90313149024022,0.462,0.994,1.93980362889123e-09,5.2998651099457e-14,6.220829386416e-59
